job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_list_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
add_size_checked,TRUE,4,80,0.15,0.14,0.00,0.00,0.00,0.00,0.17
add_size_saturating,TRUE,4,91,0.17,0.16,0.00,0.00,0.00,0.00,0.18
ptr_eq,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
nospec_mask,TRUE,4,48,0.06,0.04,0.00,0.00,0.00,0.00,0.07
round_up_to_power_of_two,TRUE,4,553,0.32,0.26,0.00,0.00,0.00,0.04,0.33
array_list_get_at,TRUE,6,153,0.31,0.29,0.00,0.00,0.00,0.01,0.34
mul_size_checked,TRUE,4,51,0.58,0.57,0.00,0.00,0.00,0.00,0.59
mul_size_saturating,TRUE,4,82,0.62,0.60,0.00,0.00,0.00,0.01,0.63
array_list_capacity,TRUE,5,126,0.49,0.48,0.00,0.00,0.00,0.00,0.52
array_list_length,TRUE,5,127,0.50,0.48,0.00,0.00,0.00,0.00,0.52
array_list_sort,TRUE,5,124,0.53,0.52,0.00,0.00,0.00,0.00,0.55
array_list_get_at_ptr,TRUE,5,150,0.50,0.49,0.00,0.00,0.00,0.00,0.52
array_list_init_dynamic,TRUE,6,95,0.83,0.81,0.00,0.00,0.00,0.00,0.84
array_list_init_static,TRUE,6,158,0.92,0.90,0.00,0.00,0.00,0.00,0.93
array_list_back,TRUE,6,157,1.00,0.97,0.00,0.00,0.00,0.01,1.03
array_list_front,TRUE,6,154,1.02,1.00,0.00,0.00,0.00,0.01,1.05
array_eq_c_str_ignore_case,TRUE,5,313,0.16,0.13,0.00,0.00,0.01,0.17
byte_buf_append,TRUE,5,105,0.09,0.06,0.00,0.00,0.00,0.01,0.11
byte_buf_advance,TRUE,6,181,0.13,0.11,0.00,0.00,0.00,0.01,0.15
