job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,26,0.03,0.01,0.00,0.00,0.00,0.00,0.04
ptr_eq,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_checked,TRUE,4,80,0.16,0.14,0.00,0.00,0.00,0.00,0.17
add_size_saturating,TRUE,4,91,0.17,0.16,0.00,0.00,0.00,0.00,0.19
nospec_mask,TRUE,4,48,0.06,0.04,0.00,0.00,0.00,0.00,0.07
round_up_to_power_of_two,TRUE,4,553,0.33,0.27,0.00,0.00,0.00,0.04,0.34
mul_size_saturating,TRUE,4,82,0.56,0.54,0.00,0.00,0.00,0.01,0.58
mul_size_checked,TRUE,4,51,0.59,0.58,0.00,0.00,0.00,0.00,0.60
array_list_capacity,TRUE,5,220,0.70,0.67,0.00,0.00,0.00,0.01,0.72
array_list_length,TRUE,5,221,0.74,0.71,0.00,0.00,0.00,0.02,0.76
array_list_get_at_ptr,TRUE,5,247,0.74,0.71,0.00,0.00,0.00,0.02,0.77
array_list_sort,TRUE,5,224,0.80,0.76,0.00,0.00,0.00,0.02,0.82
array_list_init_dynamic,TRUE,6,95,0.87,0.85,0.00,0.00,0.00,0.01,0.90
array_eq_c_str_ignore_case,TRUE,5,313,0.16,0.13,0.00,0.00,0.01,0.17
array_list_init_static,TRUE,6,242,1.23,1.19,0.00,0.00,0.00,0.02,1.25
byte_buf_clean_up,TRUE,5,26,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_advance,TRUE,6,321,0.50,0.45,0.00,0.00,0.00,0.03,0.53
array_list_clear,TRUE,5,80,1.80,1.78,0.00,0.00,0.00,0.00,1.81
byte_buf_clean_up_secure,TRUE,5,26,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_append,TRUE,5,324,0.88,0.83,0.00,0.00,0.00,0.02,0.90
byte_buf_from_array,TRUE,5,46,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_eq_c_str,TRUE,6,527,0.29,0.25,0.00,0.00,0.03,0.31
byte_buf_eq_c_str_ignore_case,TRUE,6,527,0.31,0.25,0.00,0.00,0.03,0.33
array_list_back,TRUE,6,387,2.39,2.33,0.00,0.00,0.00,0.04,2.40
array_list_front,TRUE,6,379,2.45,2.40,0.00,0.00,0.00,0.03,2.47
byte_buf_from_empty_array,TRUE,5,46,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_init,TRUE,6,70,0.03,0.02,0.00,0.00,0.00,0.00,0.04
array_list_get_at,TRUE,6,382,2.70,2.65,0.00,0.00,0.00,0.03,2.73
