Name,Timing,Result
is_power_of_two_unsat_test,0.833638,passed
ptr_eq_unsat_test,0.94336,passed
array_list_clean_up_unsat_test,0.937108,passed
add_size_checked_unsat_test,0.985142,passed
nospec_mask_unsat_test,1.01542,passed
add_size_saturating_unsat_test,1.01749,passed
array_eq_c_str_ignore_case_unsat_test,1.12358,passed
round_up_to_power_of_two_unsat_test,1.12301,passed
mul_size_checked_unsat_test,1.33221,passed
mul_size_saturating_unsat_test,1.38578,passed
array_list_capacity_unsat_test,1.53536,passed
array_list_length_unsat_test,1.55723,passed
array_list_get_at_ptr_unsat_test,1.61004,passed
array_list_init_dynamic_unsat_test,1.84068,passed
array_eq_unsat_test,2.00244,passed
array_list_init_static_unsat_test,2.04223,passed
array_eq_c_str_unsat_test,2.24344,passed
byte_buf_clean_up_unsat_test,1.0134,passed
array_list_sort_unsat_test,1.59607,passed
byte_buf_clean_up_secure_unsat_test,1.05507,passed
array_list_front_unsat_test,2.43931,passed
byte_buf_advance_unsat_test,1.5496,passed
byte_buf_append_unsat_test,1.67174,passed
array_list_clear_unsat_test,2.73309,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.18215,passed
byte_buf_eq_c_str_unsat_test,1.2643,passed
byte_buf_from_array_unsat_test,1.07595,passed
array_list_get_at_unsat_test,3.20663,passed
byte_buf_from_empty_array_unsat_test,1.02278,passed
byte_buf_append_dynamic_unsat_test,2.32651,passed
array_list_back_unsat_test,3.3817,passed
byte_buf_init_unsat_test,1.05577,passed
byte_buf_from_c_str_unsat_test,1.37948,passed
array_list_ensure_capacity_unsat_test,3.43914,passed
array_list_pop_back_unsat_test,3.55878,passed
byte_buf_reserve_unsat_test,1.12508,passed
byte_buf_reserve_relative_unsat_test,1.17823,passed
array_eq_ignore_case_unsat_test,3.87951,passed
byte_buf_write_be16_unsat_test,1.34223,passed
byte_buf_reset_unsat_test,1.58748,passed
byte_buf_secure_zero_unsat_test,1.6351,passed
array_list_swap_contents_unsat_test,3.5252,passed
byte_buf_eq_unsat_test,2.97125,passed
byte_buf_write_be32_unsat_test,1.45645,passed
byte_buf_write_u8_unsat_test,1.22967,passed
byte_cursor_advance_unsat_test,1.24327,passed
