job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,6,26,0.00,0.00,0.00,0.00,0.01
add_size_saturating,TRUE,22,153,0.02,0.02,0.00,0.00,0.03
add_size_checked,TRUE,24,155,0.01,0.00,0.00,0.00,0.02
round_up_to_power_of_two,TRUE,26,638,0.10,0.05,0.00,0.04,0.11,0.00
array_list_clean_up,TRUE,76,407,0.01,0.00,0.00,0.00,0.02,0.00
ptr_eq,TRUE,6,26,0.00,0.00,0.00,0.00,0.01
nospec_mask,TRUE,12,80,0.01,0.01,0.00,0.00,0.02
mul_size_saturating,TRUE,32,178,0.16,0.15,0.00,0.00,0.18
array_list_init_static,TRUE,152,754,0.08,0.06,0.00,0.01,0.10,0.00
array_list_init_dynamic,TRUE,127,640,0.05,0.04,0.00,0.00,0.08,0.00
array_eq_c_str_ignore_case,TRUE,109,644,0.01,0.00,0.00,0.02,0.00
mul_size_checked,TRUE,24,126,0.27,0.27,0.00,0.00,0.29
array_list_capacity,TRUE,181,896,0.10,0.08,0.00,0.01,0.13,0.00
array_list_length,TRUE,179,896,0.10,0.08,0.00,0.01,0.12,0.00
array_list_clear,TRUE,134,642,0.17,0.16,0.00,0.01,0.21,0.00
array_list_get_at_ptr,TRUE,231,1130,0.12,0.11,0.00,0.01,0.16,0.00
array_eq_ignore_case,TRUE,283,2852,0.18,0.13,0.00,0.03,0.22,0.00
array_eq,TRUE,472,2187,0.22,0.19,0.00,0.01,0.23,0.00
array_eq_c_str,TRUE,606,2608,0.22,0.18,0.00,0.02,0.25,0.00
array_list_ensure_capacity,TRUE,223,1137,0.33,0.30,0.00,0.01,0.37,0.00
array_list_get_at,TRUE,255,1206,0.39,0.37,0.00,0.01,0.41,0.00
array_list_sort,TRUE,187,938,0.12,0.10,0.00,0.01,0.15,0.00
byte_buf_clean_up,TRUE,68,321,0.01,0.00,0.00,0.00,0.02,0.00
byte_buf_clean_up_secure,TRUE,77,364,0.01,0.00,0.00,0.00,0.02,0.00
byte_buf_advance,TRUE,302,1391,0.04,0.01,0.00,0.01,0.06,0.00
byte_buf_append,TRUE,219,980,0.03,0.01,0.00,0.01,0.06,0.00
array_list_comparator_string,TRUE,459,2985,1.08,0.99,0.00,0.07,1.14,0.00
byte_buf_from_array,TRUE,72,364,0.01,0.00,0.00,0.00,0.02,0.00
byte_buf_append_dynamic,TRUE,286,1317,0.05,0.03,0.00,0.01,0.08,0.00
byte_buf_append_with_lookup,TRUE,430,2050,0.10,0.04,0.00,0.03,0.12,0.00
byte_buf_eq_c_str_ignore_case,TRUE,120,696,0.02,0.00,0.01,0.04,0.00
array_list_swap_contents,TRUE,352,1720,0.27,0.23,0.00,0.02,0.31,0.00
byte_buf_from_empty_array,TRUE,72,364,0.01,0.00,0.00,0.00,0.03,0.00
byte_buf_eq_c_str,TRUE,120,696,0.01,0.00,0.00,0.03,0.00
byte_buf_init,TRUE,96,448,0.01,0.00,0.00,0.00,0.02,0.00
byte_buf_from_c_str,TRUE,364,1759,0.06,0.03,0.00,0.02,0.09,0.00
byte_buf_reserve,TRUE,119,531,0.01,0.00,0.00,0.01,0.02,0.00
byte_buf_init_copy_from_cursor,TRUE,197,913,0.04,0.01,0.00,0.02,0.06,0.00
byte_buf_eq_ignore_case,TRUE,497,3868,0.19,0.13,0.00,0.03,0.23,0.00
byte_buf_eq,TRUE,693,3173,0.33,0.28,0.00,0.02,0.37,0.00
byte_buf_init_copy,TRUE,412,2101,0.10,0.04,0.00,0.05,0.12,0.00
byte_buf_reserve_relative,TRUE,227,993,0.02,0.00,0.00,0.01,0.03,0.00
byte_buf_reset,TRUE,81,394,0.02,0.00,0.00,0.01,0.03,0.00
byte_buf_cat,TRUE,714,3224,0.62,0.54,0.00,0.03,0.66,0.00
byte_buf_secure_zero,TRUE,120,560,0.02,0.00,0.00,0.01,0.03,0.00
byte_cursor_advance,TRUE,125,614,0.03,0.02,0.00,0.01,0.05,0.00
byte_buf_write_u8,TRUE,193,893,0.02,0.00,0.00,0.01,0.03,0.00
byte_buf_write_be64,TRUE,193,895,0.02,0.00,0.00,0.01,0.04,0.00
byte_buf_write_be32,TRUE,193,895,0.02,0.00,0.00,0.01,0.04,0.00
byte_buf_write_be16,TRUE,193,895,0.02,0.00,0.00,0.01,0.04,0.00
byte_cursor_advance_nospec,TRUE,130,677,0.04,0.02,0.00,0.02,0.06,0.00
byte_buf_write,TRUE,228,1082,0.06,0.04,0.00,0.02,0.08,0.00
byte_buf_write_from_whole_cursor,TRUE,301,1427,0.09,0.04,0.00,0.03,0.11,0.00
byte_cursor_compare_lexical,TRUE,426,2042,0.12,0.09,0.00,0.01,0.14,0.00
byte_buf_write_from_whole_buffer,TRUE,372,1726,0.14,0.08,0.00,0.04,0.16,0.00
byte_buf_write_from_whole_string,TRUE,333,2855,0.25,0.14,0.00,0.08,0.28,0.00
byte_cursor_compare_lookup,TRUE,858,3528,0.08,0.03,0.00,0.02,0.11,0.00
byte_cursor_eq_c_str,TRUE,112,663,0.01,0.00,0.00,0.02,0.00
byte_cursor_eq_c_str_ignore_case,TRUE,112,663,0.02,0.00,0.01,0.04,0.00
byte_cursor_eq,TRUE,406,1917,0.10,0.08,0.00,0.01,0.13,0.00
byte_cursor_eq_byte_buf,TRUE,472,2166,0.09,0.06,0.00,0.01,0.12,0.00
byte_cursor_eq_byte_buf_ignore_case,TRUE,421,3500,0.14,0.09,0.00,0.03,0.18,0.00
byte_cursor_from_array,TRUE,47,216,0.00,0.00,0.00,0.00,0.01,0.00
byte_cursor_from_buf,TRUE,195,882,0.01,0.00,0.00,0.01,0.03,0.00
byte_cursor_eq_ignore_case,TRUE,355,3186,0.15,0.09,0.00,0.04,0.19,0.00
byte_cursor_from_c_str,TRUE,334,1594,0.03,0.01,0.00,0.01,0.06,0.00
array_list_pop_back,TRUE,210,1031,3.41,3.40,0.00,0.01,3.43,0.00
byte_cursor_left_trim_pred,TRUE,241,1078,0.02,0.00,0.00,0.01,0.04,0.00
byte_cursor_read,TRUE,162,919,0.07,0.02,0.00,0.03,0.08,0.00
byte_cursor_from_string,TRUE,101,625,0.02,0.00,0.00,0.01,0.03,0.00
byte_cursor_read_be16,TRUE,138,708,0.04,0.00,0.00,0.02,0.05,0.00
byte_cursor_read_be32,TRUE,138,730,0.04,0.01,0.00,0.02,0.06,0.00
byte_cursor_read_be64,TRUE,138,773,0.04,0.01,0.00,0.03,0.06,0.00
byte_cursor_read_u8,TRUE,135,758,0.04,0.00,0.00,0.02,0.06,0.00
byte_cursor_satisfies_pred,TRUE,216,929,0.02,0.00,0.00,0.01,0.03,0.00
byte_cursor_read_and_fill_buffer,TRUE,277,1432,0.10,0.04,0.00,0.05,0.12,0.00
byte_cursor_right_trim_pred,TRUE,241,1085,0.03,0.01,0.00,0.01,0.04,0.00
byte_cursor_trim_pred,TRUE,371,1631,0.09,0.05,0.00,0.02,0.11,0.00
hash_ptr,TRUE,12,63,0.00,0.00,0.00,0.01
hash_array_ignore_case,TRUE,110,437,0.01,0.00,0.00,0.00,0.02,0.00
hash_byte_cursor_ptr_ignore_case,TRUE,151,622,0.01,0.00,0.00,0.00,0.03,0.00
hash_string,TRUE,602,2400,0.03,0.01,0.01,0.06,0.00
hash_callback_string_destroy,TRUE,56,311,0.01,0.00,0.00,0.03,0.00
hash_c_string,TRUE,829,3387,0.04,0.00,0.02,0.08,0.00
hash_iter_begin,TRUE,837,3649,0.43,0.34,0.00,0.06,0.48,0.00
hash_table_move,TRUE,253,1245,0.32,0.27,0.00,0.04,0.35,0.00
hash_table_clean_up,TRUE,866,3317,0.23,0.17,0.00,0.04,0.26,0.00
hash_iter_done,TRUE,595,2560,0.45,0.38,0.00,0.04,0.49,0.00
hash_callback_string_eq,TRUE,598,3880,0.76,0.64,0.00,0.08,0.81,0.00
hash_table_get_entry_count,TRUE,262,1275,0.44,0.39,0.00,0.04,0.47,0.00
hash_table_clear,TRUE,959,3597,0.24,0.17,0.00,0.04,0.28,0.00
hash_iter_begin_done,TRUE,1408,5625,0.69,0.58,0.00,0.06,0.75,0.01
hash_table_init_unbounded,TRUE,158,1553,0.20,0.10,0.00,0.08,0.23,0.00
hash_byte_cursor_ptr,TRUE,1481,5554,0.08,0.00,0.00,0.03,0.16,0.00
hash_table_init_bounded,TRUE,175,1706,0.24,0.14,0.00,0.08,0.26,0.00
hash_callback_c_str_eq,TRUE,722,3568,0.84,0.77,0.00,0.04,0.88,0.00
hash_iter_delete,TRUE,598,3360,0.66,0.45,0.00,0.18,0.72,0.00
hash_iter_next,TRUE,668,3013,1.12,1.04,0.00,0.05,1.16,0.00
hash_table_find,TRUE,1189,4827,0.60,0.49,0.00,0.06,0.66,0.01
linked_list_back,TRUE,381,2272,0.23,0.17,0.00,0.04,0.26,0.00
linked_list_init,TRUE,19,105,0.01,0.00,0.00,0.00,0.02
linked_list_remove,TRUE,21,117,0.00,0.00,0.00,0.00,0.02
linked_list_node_reset,TRUE,16,106,0.00,0.00,0.00,0.00,0.01
linked_list_prev,TRUE,22,123,0.00,0.00,0.00,0.00,0.01
linked_list_next,TRUE,22,123,0.00,0.00,0.00,0.00,0.01
linked_list_begin,TRUE,379,2260,0.25,0.17,0.00,0.05,0.28,0.00
hash_table_swap,TRUE,514,2781,1.45,1.30,0.00,0.11,1.49,0.00
linked_list_end,TRUE,378,2250,0.29,0.22,0.00,0.04,0.32,0.00
linked_list_front,TRUE,447,2536,0.34,0.25,0.00,0.06,0.38,0.00
linked_list_insert_after,TRUE,23,129,0.01,0.00,0.00,0.00,0.02
linked_list_insert_before,TRUE,23,129,0.00,0.00,0.00,0.00,0.01
hash_table_create,TRUE,1316,7302,1.66,1.33,0.00,0.25,1.75,0.01
linked_list_pop_front,TRUE,649,3423,0.52,0.38,0.00,0.10,0.57,0.00
string_bytes,TRUE,61,317,0.02,0.01,0.00,0.00,0.03,0.00
linked_list_pop_back,TRUE,627,3387,0.73,0.63,0.00,0.07,0.78,0.00
linked_list_push_back,TRUE,554,3108,0.78,0.69,0.00,0.06,0.82,0.00
linked_list_rend,TRUE,390,2306,0.35,0.27,0.00,0.05,0.38,0.00
linked_list_rbegin,TRUE,454,2611,0.42,0.35,0.00,0.05,0.46,0.00
string_eq_byte_buf,TRUE,427,2320,0.28,0.24,0.00,0.02,0.30,0.00
linked_list_push_front,TRUE,623,3447,1.00,0.88,0.00,0.08,1.05,0.00
string_eq_byte_buf_ignore_case,TRUE,376,3647,0.17,0.10,0.00,0.04,0.21,0.00
string_eq_byte_cursor,TRUE,375,2098,0.27,0.24,0.00,0.02,0.30,0.00
hash_table_put,TRUE,1256,7017,2.30,1.99,0.00,0.22,2.39,0.01
string_compare,TRUE,377,2402,0.62,0.55,0.00,0.04,0.65,0.00
string_eq,TRUE,377,2360,0.62,0.56,0.00,0.04,0.65,0.00
string_eq_byte_cursor_ignore_case,TRUE,413,4778,0.25,0.17,0.00,0.06,0.31,0.00
string_new_from_array,TRUE,127,1034,0.15,0.14,0.00,0.01,0.17,0.00
string_destroy,TRUE,47,266,0.01,0.01,0.00,0.02,0.00
string_new_from_c_str,TRUE,393,1691,0.04,0.01,0.00,0.02,0.06,0.00
string_eq_c_str,TRUE,593,2963,0.51,0.45,0.00,0.03,0.54,0.00
string_new_from_string,TRUE,197,1421,0.18,0.13,0.00,0.03,0.20,0.00
string_eq_c_str_ignore_case,TRUE,587,5612,0.39,0.28,0.00,0.06,0.45,0.00
string_eq_ignore_case,TRUE,434,5235,0.38,0.25,0.00,0.09,0.45,0.00
string_destroy_secure,TRUE,73,574,0.02,0.00,0.00,0.01,0.04,0.00
priority_queue_init_static,TRUE,112,588,0.06,0.05,0.00,0.00,0.08,0.00
priority_queue_clean_up,TRUE,168,859,0.02,0.00,0.01,0.04,0.00
priority_queue_init_dynamic,TRUE,177,888,0.05,0.03,0.00,0.00,0.07,0.00
ring_buffer_clean_up,TRUE,91,447,0.01,0.00,0.00,0.01,0.04,0.00
hash_table_remove,TRUE,969,5333,3.49,3.08,0.00,0.35,3.56,0.00
array_list_shrink_to_fit,TRUE,269,1333,9.10,9.07,0.00,0.01,9.14,0.00
ring_buffer_init,TRUE,121,559,0.02,0.00,0.00,0.01,0.03,0.00
priority_queue_size,TRUE,464,2247,0.31,0.27,0.00,0.02,0.36,0.00
array_list_front,TRUE,255,1200,9.63,9.61,0.00,0.01,9.67,0.00
array_list_pop_front,TRUE,231,1144,9.63,9.59,0.00,0.03,9.67,0.00
priority_queue_capacity,TRUE,460,2227,0.37,0.33,0.00,0.02,0.42,0.00
byte_buf_eq2,TRUE,611,2744,0.27,0.23,0.00,0.02,0.31,0.00
priority_queue_top,TRUE,476,2303,0.32,0.27,0.00,0.02,0.36,0.00
array_list_copy,TRUE,313,1481,9.65,9.62,0.00,0.01,9.69,0.00
array_list_back,TRUE,260,1230,9.93,9.91,0.00,0.01,9.96,0.00
priority_queue_s_sift_either,TRUE,1100,6355,0.46,0.29,0.00,0.13,0.53,0.01
ring_buffer_buf_belongs_to_pool,TRUE,494,2246,2.09,2.07,0.00,0.01,2.12,0.00
array_list_erase,TRUE,298,1448,12.89,12.86,0.00,0.01,12.92,0.00
priority_queue_s_remove_node,TRUE,990,6210,2.11,1.66,0.00,0.39,2.22,0.01
array_list_push_back,TRUE,310,1515,13.89,13.85,0.00,0.02,13.94,0.00
linked_list_swap_contents,TRUE,1592,10393,5.55,4.76,0.00,0.66,5.65,0.02
ring_buffer_release,TRUE,444,2034,4.23,4.20,0.00,0.01,4.26,0.00
hash_table_eq,TRUE,7798,30281,8.25,7.46,0.00,0.24,8.51,0.20
hash_table_foreach,TRUE,1121,5434,10.51,9.19,0.00,1.18,10.59,0.03
priority_queue_s_swap,TRUE,703,3919,6.49,6.40,0.00,0.06,6.53,0.00
array_list_swap,TRUE,277,1539,16.06,16.01,0.00,0.03,16.09,0.00
hash_table_foreach_deep_precise,TRUE,1343,13553,6.55,2.11,0.00,4.31,6.79,0.03
array_list_set_at,TRUE,304,1599,17.81,17.74,0.00,0.05,17.86,0.00
hash_table_foreach_deep_loose,TRUE,1254,13239,7.65,2.37,0.00,5.17,7.86,0.03
array_list_pop_front_n,TRUE,240,1175,21.52,21.47,0.00,0.03,21.54,0.00
ring_buffer_acquire,TRUE,602,2773,12.85,12.78,0.00,0.03,12.90,0.00
ring_buffer_acquire_up_to,TRUE,622,2919,21.48,21.43,0.00,0.03,21.52,0.00
