Name,Timing,Result
is_power_of_two_unsat_test,0.815449,passed
add_size_saturating_unsat_test,0.838638,passed
add_size_checked_unsat_test,0.843714,passed
round_up_to_power_of_two_unsat_test,0.909904,passed
array_list_clean_up_unsat_test,0.919064,passed
ptr_eq_unsat_test,0.934897,passed
nospec_mask_unsat_test,0.975704,passed
mul_size_saturating_unsat_test,1.01058,passed
array_list_init_static_unsat_test,1.03713,passed
array_list_init_dynamic_unsat_test,1.04157,passed
array_eq_c_str_ignore_case_unsat_test,1.06496,passed
mul_size_checked_unsat_test,1.09377,passed
array_list_capacity_unsat_test,1.09283,passed
array_list_length_unsat_test,1.08899,passed
array_list_clear_unsat_test,1.1613,passed
array_list_get_at_ptr_unsat_test,1.20174,passed
array_eq_ignore_case_unsat_test,1.2754,passed
array_eq_unsat_test,1.32548,passed
array_eq_c_str_unsat_test,1.35821,passed
array_list_ensure_capacity_unsat_test,1.38458,passed
array_list_get_at_unsat_test,1.42854,passed
array_list_sort_unsat_test,1.12524,passed
byte_buf_clean_up_unsat_test,1.01479,passed
byte_buf_clean_up_secure_unsat_test,1.01463,passed
byte_buf_advance_unsat_test,1.23337,passed
byte_buf_append_unsat_test,1.22177,passed
array_list_comparator_string_unsat_test,2.14629,passed
byte_buf_from_array_unsat_test,1.00918,passed
byte_buf_append_dynamic_unsat_test,1.25465,passed
byte_buf_append_with_lookup_unsat_test,1.30632,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.19683,passed
array_list_swap_contents_unsat_test,1.4794,passed
byte_buf_from_empty_array_unsat_test,1.06899,passed
byte_buf_eq_c_str_unsat_test,1.27139,passed
byte_buf_init_unsat_test,1.0601,passed
byte_buf_from_c_str_unsat_test,1.21495,passed
byte_buf_reserve_unsat_test,1.09939,passed
byte_buf_init_copy_from_cursor_unsat_test,1.16436,passed
byte_buf_eq_ignore_case_unsat_test,1.47105,passed
byte_buf_eq_unsat_test,1.53262,passed
byte_buf_init_copy_unsat_test,1.30058,passed
byte_buf_reserve_relative_unsat_test,1.11108,passed
byte_buf_reset_unsat_test,1.06034,passed
byte_buf_cat_unsat_test,2.16141,passed
byte_buf_secure_zero_unsat_test,1.13185,passed
byte_cursor_advance_unsat_test,1.05588,passed
byte_buf_write_u8_unsat_test,1.08787,passed
byte_buf_write_be64_unsat_test,1.23626,passed
byte_buf_write_be32_unsat_test,1.28663,passed
byte_buf_write_be16_unsat_test,1.2944,passed
byte_cursor_advance_nospec_unsat_test,1.08493,passed
byte_buf_write_unsat_test,1.34558,passed
byte_buf_write_from_whole_cursor_unsat_test,1.29935,passed
byte_cursor_compare_lexical_unsat_test,1.24056,passed
byte_buf_write_from_whole_buffer_unsat_test,1.5136,passed
byte_buf_write_from_whole_string_unsat_test,1.41506,passed
byte_cursor_compare_lookup_unsat_test,1.30668,passed
byte_cursor_eq_c_str_unsat_test,1.14283,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.13643,passed
byte_cursor_eq_unsat_test,1.27277,passed
byte_cursor_eq_byte_buf_unsat_test,1.25751,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,1.32307,passed
byte_cursor_from_array_unsat_test,1.04681,passed
byte_cursor_from_buf_unsat_test,1.12181,passed
byte_cursor_eq_ignore_case_unsat_test,1.30483,passed
byte_cursor_from_c_str_unsat_test,1.16403,passed
array_list_pop_back_unsat_test,4.43135,passed
byte_cursor_left_trim_pred_unsat_test,1.13014,passed
byte_cursor_read_unsat_test,1.26957,passed
byte_cursor_from_string_unsat_test,1.41628,passed
byte_cursor_read_be16_unsat_test,1.42545,passed
byte_cursor_read_be32_unsat_test,1.41644,passed
byte_cursor_read_be64_unsat_test,1.41369,passed
byte_cursor_read_u8_unsat_test,1.42178,passed
byte_cursor_satisfies_pred_unsat_test,1.32304,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.58904,passed
byte_cursor_right_trim_pred_unsat_test,1.42233,passed
byte_cursor_trim_pred_unsat_test,1.43361,passed
hash_ptr_unsat_test,1.44331,passed
hash_array_ignore_case_unsat_test,1.43334,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.43516,passed
hash_string_unsat_test,1.60199,passed
hash_callback_string_destroy_unsat_test,1.05757,passed
hash_c_string_unsat_test,1.84573,passed
hash_iter_begin_unsat_test,1.75455,passed
hash_table_move_unsat_test,1.44255,passed
hash_table_clean_up_unsat_test,1.37167,passed
hash_iter_done_unsat_test,1.76007,passed
hash_callback_string_eq_unsat_test,2.29048,passed
hash_table_get_entry_count_unsat_test,1.598,passed
hash_table_clear_unsat_test,1.43957,passed
hash_iter_begin_done_unsat_test,2.08299,passed
hash_table_init_unbounded_unsat_test,1.32271,passed
hash_byte_cursor_ptr_unsat_test,2.76782,passed
hash_table_init_bounded_unsat_test,1.35516,passed
hash_callback_c_str_eq_unsat_test,2.36697,passed
hash_iter_delete_unsat_test,2.01768,passed
hash_iter_next_unsat_test,2.48008,passed
hash_table_find_unsat_test,2.00883,passed
linked_list_back_unsat_test,1.44739,passed
linked_list_init_unsat_test,0.838024,passed
linked_list_remove_unsat_test,0.839253,passed
linked_list_node_reset_unsat_test,0.807936,passed
linked_list_prev_unsat_test,0.883881,passed
linked_list_next_unsat_test,0.853901,passed
linked_list_begin_unsat_test,1.46347,passed
hash_table_swap_unsat_test,2.65504,passed
linked_list_end_unsat_test,1.44428,passed
linked_list_front_unsat_test,1.569,passed
linked_list_insert_after_unsat_test,0.849608,passed
linked_list_insert_before_unsat_test,0.8854,passed
hash_table_create_unsat_test,3.19613,passed
linked_list_pop_front_unsat_test,1.88399,passed
string_bytes_unsat_test,1.08675,passed
linked_list_pop_back_unsat_test,2.0133,passed
linked_list_push_back_unsat_test,2.11329,passed
linked_list_rend_unsat_test,1.50857,passed
