job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,6,30,0.02,0.01,0.00,0.00,0.03
ptr_eq,TRUE,6,30,0.02,0.01,0.00,0.00,0.03
array_list_clean_up,TRUE,76,412,0.03,0.01,0.00,0.01,0.05,0.00
add_size_checked,TRUE,24,159,0.13,0.11,0.00,0.00,0.14
nospec_mask,TRUE,12,84,0.05,0.04,0.00,0.00,0.07
add_size_saturating,TRUE,22,157,0.18,0.17,0.00,0.00,0.19
array_eq_c_str_ignore_case,TRUE,109,612,0.18,0.15,0.01,0.19,0.00
round_up_to_power_of_two,TRUE,26,642,0.42,0.36,0.00,0.04,0.43,0.00
mul_size_checked,TRUE,24,130,0.59,0.58,0.00,0.00,0.60
mul_size_saturating,TRUE,32,182,0.62,0.60,0.00,0.00,0.63
array_list_length,TRUE,179,904,0.56,0.53,0.00,0.01,0.58,0.00
array_list_capacity,TRUE,181,904,0.57,0.53,0.00,0.01,0.58,0.00
array_list_get_at_ptr,TRUE,231,1139,0.60,0.57,0.00,0.01,0.62,0.00
array_list_init_dynamic,TRUE,127,645,0.90,0.87,0.00,0.01,0.92,0.00
array_list_init_static,TRUE,152,762,1.05,1.02,0.00,0.01,1.06,0.00
byte_buf_append,TRUE,219,986,0.11,0.09,0.00,0.01,0.13,0.00
array_list_get_at,TRUE,255,1215,1.19,1.16,0.00,0.01,1.22,0.00
byte_buf_advance,TRUE,302,1400,0.28,0.23,0.00,0.02,0.30,0.00
byte_buf_clean_up,TRUE,68,326,0.03,0.01,0.00,0.00,0.04,0.00
array_list_sort,TRUE,187,946,0.60,0.56,0.00,0.01,0.62,0.00
byte_buf_append_dynamic,TRUE,286,1325,0.30,0.27,0.00,0.01,0.33,0.00
byte_buf_clean_up_secure,TRUE,77,369,0.03,0.01,0.00,0.01,0.04,0.00
array_list_back,TRUE,260,1239,1.69,1.65,0.00,0.01,1.72,0.00
array_list_clear,TRUE,134,647,1.82,1.80,0.00,0.01,1.83,0.00
byte_buf_eq_c_str,TRUE,120,664,0.19,0.16,0.01,0.21,0.00
array_eq_c_str,TRUE,606,2619,1.73,1.68,0.00,0.02,1.76,0.00
