Name,Timing,Result
is_power_of_two_unsat_test,0.827427,passed
ptr_eq_unsat_test,0.9328,passed
array_list_clean_up_unsat_test,0.9382,passed
add_size_checked_unsat_test,0.957633,passed
nospec_mask_unsat_test,1.02784,passed
add_size_saturating_unsat_test,1.02482,passed
array_eq_c_str_ignore_case_unsat_test,1.22196,passed
round_up_to_power_of_two_unsat_test,1.25291,passed
mul_size_checked_unsat_test,1.43459,passed
mul_size_saturating_unsat_test,1.46909,passed
array_list_length_unsat_test,1.54112,passed
array_list_capacity_unsat_test,1.5523,passed
array_list_get_at_ptr_unsat_test,1.6413,passed
array_list_init_dynamic_unsat_test,1.86765,passed
array_list_init_static_unsat_test,2.02728,passed
byte_buf_append_unsat_test,1.20956,passed
array_list_get_at_unsat_test,2.26569,passed
byte_buf_advance_unsat_test,1.42361,passed
byte_buf_clean_up_unsat_test,0.973049,passed
array_list_sort_unsat_test,1.61433,passed
byte_buf_append_dynamic_unsat_test,1.44739,passed
byte_buf_clean_up_secure_unsat_test,1.04249,passed
array_list_back_unsat_test,2.75167,passed
array_list_clear_unsat_test,2.81042,passed
byte_buf_eq_c_str_unsat_test,1.2842,passed
array_eq_c_str_unsat_test,2.87172,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.28983,passed
byte_buf_append_with_lookup_unsat_test,1.77265,passed
array_list_ensure_capacity_unsat_test,3.10933,passed
byte_buf_from_array_unsat_test,1.15294,passed
byte_buf_from_empty_array_unsat_test,1.12697,passed
byte_buf_init_unsat_test,1.08001,passed
byte_buf_reserve_unsat_test,1.12056,passed
byte_buf_reserve_relative_unsat_test,1.11136,passed
array_list_front_unsat_test,3.65642,passed
byte_buf_init_copy_from_cursor_unsat_test,1.32276,passed
array_eq_unsat_test,3.81631,passed
array_list_pop_back_unsat_test,3.80273,passed
array_eq_ignore_case_unsat_test,3.92127,passed
byte_buf_reset_unsat_test,1.25533,passed
byte_buf_secure_zero_unsat_test,1.23032,passed
byte_buf_write_be16_unsat_test,1.22917,passed
byte_buf_write_be32_unsat_test,1.15397,passed
byte_buf_write_be64_unsat_test,1.13703,passed
array_list_copy_unsat_test,4.40311,passed
byte_buf_write_unsat_test,1.58825,passed
byte_buf_write_u8_unsat_test,1.23674,passed
byte_cursor_advance_unsat_test,1.29569,passed
byte_buf_write_from_whole_cursor_unsat_test,1.74008,passed
array_list_pop_front_unsat_test,5.09997,passed
byte_cursor_advance_nospec_unsat_test,1.49501,passed
byte_buf_from_c_str_unsat_test,2.89905,passed
byte_cursor_from_array_unsat_test,1.03695,passed
byte_buf_write_from_whole_buffer_unsat_test,2.07838,passed
byte_cursor_eq_c_str_unsat_test,1.32633,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.29197,passed
byte_cursor_from_buf_unsat_test,1.21035,passed
array_list_swap_contents_unsat_test,4.41367,passed
array_list_shrink_to_fit_unsat_test,5.50555,passed
byte_cursor_from_string_unsat_test,1.11845,passed
array_list_push_back_unsat_test,5.63733,passed
array_list_pop_front_n_unsat_test,5.70718,passed
byte_buf_eq_unsat_test,4.19142,passed
array_list_erase_unsat_test,5.7632,passed
byte_cursor_left_trim_pred_unsat_test,1.1247,passed
array_list_set_at_unsat_test,5.84501,passed
byte_cursor_eq_byte_buf_unsat_test,2.05063,passed
byte_buf_eq_ignore_case_unsat_test,4.12647,passed
byte_cursor_compare_lexical_unsat_test,2.47607,passed
byte_buf_cat_unsat_test,4.94712,passed
byte_cursor_eq_unsat_test,2.42816,passed
byte_cursor_read_u8_unsat_test,1.25175,passed
hash_ptr_unsat_test,1.05589,passed
byte_buf_init_copy_unsat_test,4.00787,passed
byte_cursor_right_trim_pred_unsat_test,1.2292,passed
byte_cursor_satisfies_pred_unsat_test,1.14703,passed
byte_cursor_read_be16_unsat_test,1.50776,passed
byte_cursor_read_unsat_test,1.75151,passed
hash_array_ignore_case_unsat_test,1.17798,passed
byte_cursor_from_c_str_unsat_test,2.34007,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.21414,passed
byte_cursor_compare_lookup_unsat_test,3.11369,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.99588,passed
hash_string_unsat_test,1.61877,passed
byte_cursor_read_be32_unsat_test,1.92245,passed
hash_callback_string_destroy_unsat_test,1.29864,passed
byte_cursor_trim_pred_unsat_test,1.95953,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.68946,passed
hash_table_move_unsat_test,1.32243,passed
hash_table_get_entry_count_unsat_test,1.40007,passed
byte_cursor_eq_ignore_case_unsat_test,3.74834,passed
byte_cursor_read_be64_unsat_test,2.79816,passed
hash_iter_done_unsat_test,1.90693,passed
hash_byte_cursor_ptr_unsat_test,2.78771,passed
hash_c_string_unsat_test,2.7406,passed
linked_list_init_unsat_test,0.880424,passed
