Name,Timing,Result
is_power_of_two_unsat_test,0.825638,passed
array_list_clean_up_unsat_test,0.946557,passed
ptr_eq_unsat_test,0.93147,passed
add_size_checked_unsat_test,0.994486,passed
add_size_saturating_unsat_test,0.998678,passed
nospec_mask_unsat_test,0.998962,passed
round_up_to_power_of_two_unsat_test,1.15257,passed
array_list_get_at_unsat_test,1.33212,passed
mul_size_checked_unsat_test,1.43698,passed
mul_size_saturating_unsat_test,1.43912,passed
array_list_length_unsat_test,1.50913,passed
array_list_sort_unsat_test,1.52934,passed
array_list_capacity_unsat_test,1.56208,passed
array_list_get_at_ptr_unsat_test,1.56821,passed
array_list_init_dynamic_unsat_test,1.83372,passed
array_list_init_static_unsat_test,1.87102,passed
array_list_front_unsat_test,2.07831,passed
array_list_back_unsat_test,2.08794,passed
byte_buf_append_unsat_test,1.21241,passed
array_eq_c_str_ignore_case_unsat_test,1.28634,passed
byte_buf_advance_unsat_test,1.31801,passed
byte_buf_clean_up_secure_unsat_test,1.00813,passed
array_list_pop_back_unsat_test,2.4533,passed
byte_buf_append_dynamic_unsat_test,1.44827,passed
byte_buf_clean_up_unsat_test,1.07135,passed
array_list_pop_front_unsat_test,2.74936,passed
byte_buf_from_array_unsat_test,1.01532,passed
byte_buf_eq_c_str_unsat_test,1.31501,passed
array_list_clear_unsat_test,2.87607,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.33022,passed
byte_buf_append_with_lookup_unsat_test,1.82078,passed
array_list_shrink_to_fit_unsat_test,2.98092,passed
byte_buf_init_unsat_test,1.02473,passed
byte_buf_from_empty_array_unsat_test,1.05887,passed
array_list_swap_contents_unsat_test,3.2975,passed
array_list_ensure_capacity_unsat_test,3.40324,passed
byte_buf_reserve_unsat_test,1.10767,passed
byte_buf_init_copy_from_cursor_unsat_test,1.27133,passed
byte_buf_reserve_relative_unsat_test,1.14458,passed
byte_buf_reset_unsat_test,1.17535,passed
byte_buf_secure_zero_unsat_test,1.18606,passed
array_eq_c_str_unsat_test,2.89414,passed
array_list_erase_unsat_test,3.87384,passed
byte_buf_write_be16_unsat_test,1.18273,passed
byte_buf_write_be32_unsat_test,1.11284,passed
byte_buf_write_unsat_test,1.4811,passed
byte_buf_write_be64_unsat_test,1.18228,passed
array_eq_unsat_test,4.13336,passed
byte_buf_write_u8_unsat_test,1.17292,passed
byte_cursor_advance_unsat_test,1.27676,passed
byte_buf_cat_unsat_test,3.12742,passed
byte_cursor_advance_nospec_unsat_test,1.46447,passed
byte_buf_write_from_whole_cursor_unsat_test,1.73798,passed
byte_buf_write_from_whole_buffer_unsat_test,1.79295,passed
array_eq_ignore_case_unsat_test,3.84546,passed
byte_cursor_eq_c_str_unsat_test,1.24327,passed
