job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01
add_size_checked,TRUE,4,76,0.01,0.01,0.00,0.00,0.00,0.00,0.02
add_size_saturating,TRUE,4,87,0.03,0.03,0.00,0.00,0.00,0.00,0.04
ptr_eq,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01
array_list_clean_up,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.02
nospec_mask,TRUE,4,44,0.01,0.01,0.00,0.00,0.00,0.00,0.02
round_up_to_power_of_two,TRUE,4,549,0.13,0.09,0.00,0.00,0.00,0.04,0.15
mul_size_saturating,TRUE,4,78,0.12,0.11,0.00,0.00,0.00,0.01,0.14
array_list_init_dynamic,TRUE,6,90,0.04,0.03,0.00,0.00,0.00,0.00,0.06
array_list_capacity,TRUE,5,119,0.09,0.08,0.00,0.00,0.00,0.00,0.11
array_eq_c_str_ignore_case,TRUE,5,345,0.02,0.00,0.00,0.00,0.01,0.04
array_list_init_static,TRUE,6,151,0.09,0.08,0.00,0.00,0.00,0.00,0.12
array_list_length,TRUE,5,120,0.11,0.10,0.00,0.00,0.00,0.00,0.13
array_list_clear,TRUE,5,75,0.15,0.14,0.00,0.00,0.00,0.00,0.18
array_list_get_at_ptr,TRUE,5,142,0.10,0.09,0.00,0.00,0.00,0.00,0.13
array_list_get_at,TRUE,6,152,0.19,0.17,0.00,0.00,0.00,0.01,0.22
array_eq_ignore_case,TRUE,6,1956,0.18,0.09,0.00,0.00,0.00,0.08,0.23
array_list_ensure_capacity,TRUE,6,171,0.24,0.23,0.00,0.00,0.00,0.00,0.28
array_eq,TRUE,6,749,0.27,0.19,0.00,0.00,0.00,0.07,0.30
array_eq_c_str,TRUE,6,980,0.30,0.11,0.01,0.00,0.00,0.18,0.34
array_list_sort,TRUE,5,117,0.09,0.08,0.00,0.00,0.00,0.00,0.12
byte_buf_clean_up_secure,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.01
byte_buf_clean_up,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.01
byte_buf_append,TRUE,5,130,0.03,0.01,0.00,0.00,0.00,0.01,0.05
byte_buf_advance,TRUE,6,173,0.03,0.02,0.00,0.00,0.00,0.01,0.05
byte_buf_from_array,TRUE,5,41,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_append_dynamic,TRUE,7,183,0.04,0.02,0.00,0.00,0.00,0.02,0.07
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.02,0.00,0.00,0.00,0.01,0.03
array_list_swap_contents,TRUE,6,194,0.24,0.23,0.00,0.00,0.00,0.01,0.28
byte_buf_eq_c_str,TRUE,5,350,0.02,0.00,0.00,0.00,0.01,0.04
byte_buf_init,TRUE,6,65,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_append_with_lookup,TRUE,5,455,0.11,0.04,0.00,0.00,0.00,0.06,0.15
byte_buf_from_empty_array,TRUE,5,41,0.00,0.00,0.00,0.00,0.00,0.00,0.02
mul_size_checked,TRUE,4,47,1.53,1.53,0.00,0.00,0.00,0.00,1.55
byte_buf_from_c_str,TRUE,5,642,0.10,0.04,0.00,0.00,0.00,0.05,0.13
byte_buf_eq_ignore_case,TRUE,6,2044,0.19,0.10,0.00,0.00,0.00,0.07,0.24
array_list_comparator_string,TRUE,6,1619,1.45,1.15,0.00,0.00,0.00,0.28,1.50
byte_buf_init_copy_from_cursor,TRUE,6,173,0.02,0.01,0.00,0.00,0.00,0.01,0.04
byte_buf_init_copy,TRUE,5,877,0.15,0.06,0.00,0.00,0.00,0.08,0.18
byte_buf_eq,TRUE,6,787,0.48,0.39,0.01,0.00,0.00,0.07,0.52
byte_buf_reserve,TRUE,6,96,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_reserve_relative,TRUE,6,136,0.02,0.00,0.00,0.00,0.00,0.01,0.04
byte_buf_cat,TRUE,8,335,0.59,0.54,0.01,0.00,0.00,0.03,0.63
byte_buf_reset,TRUE,5,92,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_secure_zero,TRUE,5,93,0.01,0.00,0.00,0.00,0.00,0.01,0.03
byte_buf_write_be16,TRUE,5,120,0.02,0.00,0.00,0.00,0.00,0.01,0.03
byte_buf_write_be64,TRUE,5,120,0.01,0.00,0.00,0.00,0.00,0.01,0.04
byte_buf_write_be32,TRUE,5,120,0.01,0.00,0.00,0.00,0.00,0.01,0.03
byte_buf_write,TRUE,5,206,0.06,0.04,0.00,0.00,0.00,0.02,0.08
byte_buf_write_u8,TRUE,5,118,0.01,0.00,0.00,0.00,0.00,0.00,0.03
byte_cursor_advance,TRUE,4,140,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_cursor_advance_nospec,TRUE,4,175,0.05,0.03,0.00,0.00,0.00,0.02,0.07
byte_buf_write_from_whole_buffer,TRUE,6,266,0.12,0.07,0.00,0.00,0.00,0.04,0.15
byte_buf_write_from_whole_cursor,TRUE,5,246,0.08,0.05,0.00,0.00,0.00,0.03,0.11
byte_cursor_compare_lexical,TRUE,4,554,0.14,0.10,0.00,0.00,0.00,0.04,0.18
byte_cursor_eq_byte_buf,TRUE,5,513,0.09,0.05,0.00,0.00,0.00,0.03,0.12
byte_buf_write_from_whole_string,TRUE,6,1725,0.34,0.18,0.00,0.00,0.00,0.15,0.37
byte_cursor_eq,TRUE,4,533,0.17,0.12,0.00,0.00,0.00,0.04,0.20
byte_cursor_eq_c_str,TRUE,5,345,0.02,0.00,0.00,0.00,0.01,0.04
byte_cursor_compare_lookup,TRUE,4,841,0.11,0.03,0.01,0.00,0.00,0.06,0.16
byte_cursor_eq_c_str_ignore_case,TRUE,5,345,0.02,0.00,0.00,0.00,0.01,0.04
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1989,0.15,0.09,0.00,0.00,0.00,0.05,0.20
byte_cursor_from_array,TRUE,9,39,0.00,0.00,0.00,0.00,0.00,0.00,0.01
array_list_back,TRUE,6,159,3.14,3.12,0.00,0.00,0.00,0.01,3.17
byte_cursor_from_buf,TRUE,5,107,0.01,0.00,0.00,0.00,0.00,0.00,0.03
byte_cursor_from_c_str,TRUE,5,603,0.07,0.01,0.00,0.00,0.00,0.05,0.10
byte_cursor_from_string,TRUE,5,274,0.02,0.00,0.00,0.00,0.00,0.01,0.02
byte_cursor_left_trim_pred,TRUE,4,270,0.03,0.00,0.00,0.00,0.00,0.01,0.05
byte_cursor_eq_ignore_case,TRUE,4,1944,0.17,0.07,0.00,0.00,0.00,0.08,0.21
byte_cursor_read,TRUE,5,345,0.09,0.03,0.00,0.00,0.00,0.05,0.11
byte_cursor_read_be16,TRUE,4,188,0.03,0.00,0.00,0.00,0.00,0.02,0.05
byte_cursor_read_be32,TRUE,4,210,0.03,0.01,0.00,0.00,0.00,0.02,0.06
byte_cursor_read_be64,TRUE,4,253,0.03,0.01,0.00,0.00,0.00,0.02,0.05
byte_cursor_read_and_fill_buffer,TRUE,5,383,0.14,0.05,0.00,0.00,0.00,0.07,0.17
byte_cursor_right_trim_pred,TRUE,4,278,0.03,0.01,0.00,0.00,0.00,0.01,0.05
byte_cursor_read_u8,TRUE,5,248,0.05,0.01,0.00,0.00,0.00,0.03,0.06
byte_cursor_satisfies_pred,TRUE,4,226,0.02,0.00,0.00,0.00,0.00,0.01,0.04
hash_ptr,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.01
hash_array_ignore_case,TRUE,5,110,0.00,0.00,0.00,0.00,0.00,0.00,0.02
hash_byte_cursor_ptr_ignore_case,TRUE,4,106,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_cursor_trim_pred,TRUE,4,453,0.12,0.07,0.00,0.00,0.00,0.03,0.14
hash_string,TRUE,5,212,0.03,0.00,0.00,0.00,0.02,0.07
hash_callback_string_destroy,TRUE,5,147,0.01,0.00,0.00,0.00,0.00,0.02
array_list_front,TRUE,6,151,4.41,4.39,0.00,0.00,0.00,0.01,4.44
hash_c_string,TRUE,5,669,0.12,0.01,0.01,0.01,0.09,0.17
hash_table_move,TRUE,5,431,0.27,0.17,0.00,0.00,0.00,0.09,0.29
hash_table_get_entry_count,TRUE,5,432,0.35,0.24,0.00,0.00,0.00,0.10,0.38
hash_table_clean_up,TRUE,5,744,0.56,0.26,0.01,0.00,0.00,0.29,0.60
hash_iter_done,TRUE,5,551,0.68,0.46,0.01,0.00,0.00,0.21,0.72
hash_byte_cursor_ptr,TRUE,4,313,0.12,0.01,0.01,0.01,0.00,0.09,0.22
hash_callback_string_eq,TRUE,6,2098,0.97,0.58,0.00,0.00,0.00,0.36,1.02
hash_table_clear,TRUE,5,763,0.60,0.23,0.01,0.00,0.00,0.35,0.66
hash_table_init_bounded,TRUE,5,1161,0.36,0.18,0.00,0.00,0.00,0.16,0.39
