Name,Timing,Result
is_power_of_two_unsat_test,0.798459,passed
add_size_saturating_unsat_test,0.837435,passed
add_size_checked_unsat_test,0.840333,passed
array_list_clean_up_unsat_test,0.915643,passed
round_up_to_power_of_two_unsat_test,0.935167,passed
mul_size_checked_unsat_test,1.43473,passed
mul_size_saturating_unsat_test,1.435,passed
array_list_capacity_unsat_test,1.43199,passed
array_list_clear_unsat_test,1.43091,passed
array_list_init_dynamic_unsat_test,1.42458,passed
array_list_init_static_unsat_test,1.42484,passed
array_list_length_unsat_test,1.42487,passed
nospec_mask_unsat_test,1.41811,passed
ptr_eq_unsat_test,1.41818,passed
array_list_sort_unsat_test,1.60353,passed
array_list_get_at_ptr_unsat_test,1.65631,passed
array_list_get_at_unsat_test,1.69646,passed
array_list_ensure_capacity_unsat_test,1.76066,passed
array_list_swap_contents_unsat_test,2.01286,passed
byte_buf_advance_unsat_test,1.26213,passed
array_eq_c_str_ignore_case_unsat_test,1.40492,passed
byte_buf_clean_up_unsat_test,1.00138,passed
array_eq_ignore_case_unsat_test,1.62783,passed
byte_buf_clean_up_secure_unsat_test,1.0304,passed
byte_buf_append_unsat_test,1.11085,passed
byte_buf_eq_c_str_unsat_test,1.15257,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.15375,passed
byte_buf_append_dynamic_unsat_test,1.16257,passed
array_eq_unsat_test,2.61143,passed
byte_buf_from_array_unsat_test,1.07809,passed
byte_buf_from_empty_array_unsat_test,1.02377,passed
byte_buf_append_with_lookup_unsat_test,1.34732,passed
byte_buf_init_unsat_test,1.02279,passed
byte_buf_eq_ignore_case_unsat_test,1.47376,passed
byte_buf_reserve_unsat_test,0.96885,passed
byte_buf_init_copy_from_cursor_unsat_test,1.14812,passed
byte_buf_secure_zero_unsat_test,1.07939,passed
byte_buf_reserve_relative_unsat_test,1.1242,passed
byte_buf_reset_unsat_test,1.09831,passed
byte_buf_write_be32_unsat_test,1.06461,passed
byte_buf_cat_unsat_test,2.23732,passed
byte_buf_write_be16_unsat_test,1.09807,passed
byte_buf_write_be64_unsat_test,1.09493,passed
byte_buf_write_unsat_test,1.24036,passed
array_eq_c_str_unsat_test,3.00752,passed
byte_buf_write_u8_unsat_test,1.05594,passed
byte_cursor_advance_unsat_test,1.04979,passed
byte_buf_eq_unsat_test,2.42276,passed
byte_cursor_advance_nospec_unsat_test,1.12845,passed
byte_buf_write_from_whole_cursor_unsat_test,1.42256,passed
byte_buf_write_from_whole_buffer_unsat_test,1.50456,passed
byte_buf_from_c_str_unsat_test,2.72731,passed
