Name,Timing,Result
is_power_of_two_unsat_test,0.802027,passed
add_size_checked_unsat_test,0.830982,passed
add_size_saturating_unsat_test,0.855993,passed
array_list_clean_up_unsat_test,0.901971,passed
mul_size_checked_unsat_test,1.40014,passed
mul_size_saturating_unsat_test,1.40037,passed
round_up_to_power_of_two_unsat_test,1.39974,passed
array_list_capacity_unsat_test,1.39929,passed
array_list_clear_unsat_test,1.39863,passed
array_list_ensure_capacity_unsat_test,1.39775,passed
array_list_get_at_unsat_test,1.39674,passed
array_list_get_at_ptr_unsat_test,1.39712,passed
array_list_init_dynamic_unsat_test,1.39737,passed
array_list_init_static_unsat_test,1.39778,passed
array_list_length_unsat_test,1.39801,passed
nospec_mask_unsat_test,1.39141,passed
ptr_eq_unsat_test,1.39054,passed
array_list_sort_unsat_test,1.56973,passed
array_eq_unsat_test,1.66767,passed
array_list_swap_contents_unsat_test,2.03161,passed
array_eq_c_str_ignore_case_unsat_test,1.38775,passed
array_eq_ignore_case_unsat_test,1.39978,passed
byte_buf_clean_up_secure_unsat_test,0.945567,passed
byte_buf_clean_up_unsat_test,1.00658,passed
byte_buf_from_array_unsat_test,1.00639,passed
byte_buf_from_empty_array_unsat_test,1.03522,passed
byte_buf_append_unsat_test,1.11405,passed
byte_buf_eq_c_str_unsat_test,1.10754,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.10838,passed
byte_buf_advance_unsat_test,1.16369,passed
byte_buf_init_unsat_test,1.00246,passed
byte_buf_append_dynamic_unsat_test,1.21844,passed
byte_buf_eq_ignore_case_unsat_test,1.34319,passed
byte_buf_append_with_lookup_unsat_test,1.49899,passed
byte_buf_reserve_unsat_test,1.04935,passed
byte_buf_from_c_str_unsat_test,1.8882,passed
byte_buf_init_copy_from_cursor_unsat_test,1.2865,passed
byte_buf_reserve_relative_unsat_test,1.13353,passed
byte_buf_reset_unsat_test,1.04872,passed
byte_buf_write_be16_unsat_test,1.04634,passed
byte_buf_secure_zero_unsat_test,1.09907,passed
byte_buf_write_be64_unsat_test,1.07173,passed
byte_buf_write_be32_unsat_test,1.0762,passed
array_eq_c_str_unsat_test,2.87157,passed
byte_buf_write_u8_unsat_test,1.07613,passed
byte_buf_eq_unsat_test,2.31358,passed
byte_cursor_advance_unsat_test,1.02284,passed
byte_buf_cat_unsat_test,2.47001,passed
byte_buf_init_copy_unsat_test,2.30467,passed
byte_buf_write_from_whole_cursor_unsat_test,1.46185,passed
byte_buf_write_from_whole_buffer_unsat_test,1.50832,passed
byte_cursor_advance_nospec_unsat_test,1.14938,passed
byte_buf_write_unsat_test,1.81585,passed
byte_cursor_from_array_unsat_test,1.00789,passed
byte_cursor_eq_c_str_unsat_test,1.1096,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.16771,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,1.2966,passed
byte_cursor_compare_lookup_unsat_test,1.42706,passed
byte_cursor_eq_ignore_case_unsat_test,1.165,passed
byte_cursor_from_string_unsat_test,1.07729,passed
byte_cursor_from_buf_unsat_test,1.15278,passed
byte_cursor_left_trim_pred_unsat_test,1.11228,passed
byte_cursor_compare_lexical_unsat_test,1.66101,passed
byte_cursor_eq_byte_buf_unsat_test,1.62775,passed
byte_cursor_read_be32_unsat_test,1.11561,passed
array_list_comparator_string_unsat_test,5.16199,passed
byte_cursor_read_be16_unsat_test,1.15795,passed
byte_cursor_read_be64_unsat_test,1.1692,passed
byte_cursor_eq_unsat_test,1.97643,passed
byte_cursor_from_c_str_unsat_test,1.63487,passed
byte_cursor_read_unsat_test,1.49704,passed
byte_cursor_read_u8_unsat_test,1.14687,passed
hash_ptr_unsat_test,1.00059,passed
byte_cursor_satisfies_pred_unsat_test,1.09586,passed
byte_cursor_right_trim_pred_unsat_test,1.14565,passed
array_list_back_unsat_test,5.84322,passed
hash_array_ignore_case_unsat_test,1.10759,passed
byte_cursor_trim_pred_unsat_test,1.24517,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.16273,passed
byte_cursor_read_and_fill_buffer_unsat_test,2.00136,passed
hash_string_unsat_test,1.50409,passed
hash_callback_string_destroy_unsat_test,1.15358,passed
hash_c_string_unsat_test,1.7912,passed
hash_table_get_entry_count_unsat_test,1.46976,passed
hash_table_move_unsat_test,1.41935,passed
hash_iter_done_unsat_test,1.83867,passed
hash_byte_cursor_ptr_unsat_test,2.54387,passed
array_list_pop_back_unsat_test,8.31888,passed
hash_table_init_unbounded_unsat_test,2.1281,passed
hash_table_swap_unsat_test,2.7313,passed
hash_table_find_unsat_test,2.58642,passed
linked_list_init_unsat_test,0.889802,passed
linked_list_remove_unsat_test,0.860765,passed
linked_list_begin_unsat_test,2.21522,passed
linked_list_prev_unsat_test,0.833424,passed
linked_list_back_unsat_test,3.23199,passed
array_list_pop_front_unsat_test,10.0979,passed
linked_list_next_unsat_test,0.945835,passed
linked_list_front_unsat_test,2.86173,passed
linked_list_node_reset_unsat_test,0.921635,passed
linked_list_end_unsat_test,3.28997,passed
hash_table_clear_unsat_test,4.73735,passed
array_list_swap_unsat_test,11.0276,passed
linked_list_insert_after_unsat_test,0.937311,passed
linked_list_insert_before_unsat_test,0.905237,passed
linked_list_pop_front_unsat_test,2.9861,passed
byte_buf_write_from_whole_string_unsat_test,9.05578,passed
string_bytes_unsat_test,1.11151,passed
linked_list_pop_back_unsat_test,3.50316,passed
hash_callback_string_eq_unsat_test,7.20701,passed
linked_list_push_back_unsat_test,2.45339,passed
hash_table_clean_up_unsat_test,7.1472,passed
hash_iter_delete_unsat_test,7.69888,passed
string_eq_byte_buf_ignore_case_unsat_test,1.50811,passed
linked_list_rend_unsat_test,2.791,passed
string_eq_byte_cursor_ignore_case_unsat_test,1.60022,passed
string_eq_byte_buf_unsat_test,2.54696,passed
array_list_front_unsat_test,13.7587,passed
linked_list_rbegin_unsat_test,3.69315,passed
array_list_shrink_to_fit_unsat_test,13.9944,passed
string_new_from_array_unsat_test,1.11969,failed
string_eq_byte_cursor_unsat_test,2.39468,passed
string_destroy_unsat_test,1.11418,passed
string_destroy_secure_unsat_test,1.20284,passed
string_new_from_c_str_unsat_test,1.47537,passed
string_new_from_string_unsat_test,1.5446,failed
priority_queue_clean_up_unsat_test,1.14661,passed
priority_queue_init_static_unsat_test,1.19094,passed
hash_iter_begin_unsat_test,10.1048,passed
priority_queue_init_dynamic_unsat_test,1.27667,passed
ring_buffer_clean_up_unsat_test,1.0669,passed
ring_buffer_init_unsat_test,0.945822,passed
array_list_copy_unsat_test,15.4744,passed
string_eq_ignore_case_unsat_test,3.01044,passed
priority_queue_size_unsat_test,1.87421,passed
priority_queue_capacity_unsat_test,1.86601,passed
priority_queue_top_unsat_test,1.78455,passed
string_eq_unsat_test,4.8425,passed
string_eq_c_str_ignore_case_unsat_test,3.8384,passed
byte_buf_eq2_unsat_test,1.67343,passed
linked_list_push_front_unsat_test,6.12635,passed
string_compare_unsat_test,5.902,passed
hash_callback_c_str_eq_unsat_test,12.5575,passed
string_eq_c_str_unsat_test,7.11925,passed
hash_table_foreach_unsat_test,13.78,passed
hash_iter_next_unsat_test,14.679,passed
linked_list_swap_contents_unsat_test,12.7404,passed
hash_table_put_unsat_test,17.3605,passed
hash_table_init_bounded_unsat_test,18.5122,passed
hash_iter_begin_done_unsat_test,20.0122,passed
array_list_push_back_unsat_test,25.3415,passed
array_list_erase_unsat_test,28.9078,passed
hash_table_remove_unsat_test,23.1641,passed
hash_table_create_unsat_test,24.6162,passed
array_list_pop_front_n_unsat_test,34.5296,passed
hash_table_eq_unsat_test,43.9596,passed
array_list_set_at_unsat_test,152.867,passed
