Name,Timing,Result
is_power_of_two_unsat_test,0.831338,passed
array_list_clean_up_unsat_test,0.934033,passed
ptr_eq_unsat_test,0.944223,passed
add_size_checked_unsat_test,1.002,passed
add_size_saturating_unsat_test,1.00215,passed
nospec_mask_unsat_test,1.00484,passed
round_up_to_power_of_two_unsat_test,1.16362,passed
array_list_get_at_unsat_test,1.34926,passed
mul_size_checked_unsat_test,1.39206,passed
mul_size_saturating_unsat_test,1.40228,passed
array_list_sort_unsat_test,1.47006,passed
array_list_capacity_unsat_test,1.48948,passed
array_list_length_unsat_test,1.49965,passed
array_list_get_at_ptr_unsat_test,1.58718,passed
array_list_init_dynamic_unsat_test,1.8579,passed
array_list_init_static_unsat_test,1.88393,passed
array_list_front_unsat_test,2.05309,passed
array_list_back_unsat_test,2.08042,passed
array_eq_c_str_ignore_case_unsat_test,1.14727,passed
byte_buf_append_unsat_test,1.15981,passed
byte_buf_advance_unsat_test,1.25357,passed
byte_buf_clean_up_unsat_test,1.05046,passed
byte_buf_clean_up_secure_unsat_test,1.08294,passed
byte_buf_append_dynamic_unsat_test,1.5074,passed
array_list_pop_back_unsat_test,2.54128,passed
byte_buf_eq_c_str_unsat_test,1.17975,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.20974,passed
array_eq_ignore_case_unsat_test,1.76927,passed
array_list_clear_unsat_test,2.76914,passed
array_list_shrink_to_fit_unsat_test,2.91956,passed
byte_buf_from_array_unsat_test,1.07087,passed
array_list_swap_contents_unsat_test,3.05463,passed
byte_buf_from_empty_array_unsat_test,1.05634,passed
byte_buf_init_unsat_test,1.05398,passed
array_list_ensure_capacity_unsat_test,3.28199,passed
byte_buf_eq_ignore_case_unsat_test,1.73586,passed
byte_buf_reserve_unsat_test,1.128,passed
array_list_pop_front_unsat_test,3.43039,passed
byte_buf_reset_unsat_test,1.17361,passed
byte_buf_reserve_relative_unsat_test,1.23689,passed
byte_buf_secure_zero_unsat_test,1.22959,passed
byte_buf_write_be16_unsat_test,1.20907,passed
byte_buf_write_be64_unsat_test,1.15853,passed
byte_buf_write_be32_unsat_test,1.19163,passed
array_eq_unsat_test,4.01374,passed
array_list_erase_unsat_test,4.17202,passed
byte_buf_write_u8_unsat_test,1.14501,passed
byte_cursor_advance_unsat_test,1.27348,passed
byte_cursor_advance_nospec_unsat_test,1.50196,passed
byte_buf_cat_unsat_test,3.36086,passed
byte_cursor_eq_c_str_unsat_test,1.18703,passed
byte_cursor_from_array_unsat_test,1.03715,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.18435,passed
byte_cursor_from_buf_unsat_test,1.16912,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,1.47824,passed
byte_cursor_left_trim_pred_unsat_test,1.16528,passed
byte_cursor_eq_byte_buf_unsat_test,2.0127,passed
byte_buf_eq_unsat_test,4.11783,passed
byte_cursor_eq_ignore_case_unsat_test,1.754,passed
byte_cursor_compare_lexical_unsat_test,2.42948,passed
byte_cursor_eq_unsat_test,2.37771,passed
byte_cursor_from_string_unsat_test,1.62728,passed
byte_buf_write_unsat_test,3.41928,passed
byte_cursor_read_be16_unsat_test,1.52721,passed
byte_cursor_satisfies_pred_unsat_test,1.15831,passed
byte_cursor_right_trim_pred_unsat_test,1.25688,passed
array_list_copy_unsat_test,6.35613,passed
byte_cursor_read_u8_unsat_test,1.53505,passed
hash_ptr_unsat_test,1.09064,passed
hash_array_ignore_case_unsat_test,1.14014,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.20798,passed
byte_cursor_compare_lookup_unsat_test,3.80386,passed
hash_string_unsat_test,1.58082,passed
byte_cursor_trim_pred_unsat_test,1.84352,passed
hash_callback_string_destroy_unsat_test,1.32598,passed
byte_buf_init_copy_from_cursor_unsat_test,6.16445,passed
hash_iter_done_unsat_test,1.87093,passed
hash_table_move_unsat_test,1.33526,passed
hash_table_get_entry_count_unsat_test,1.44971,passed
hash_byte_cursor_ptr_unsat_test,4.97424,passed
byte_cursor_read_be32_unsat_test,6.82172,passed
byte_buf_write_from_whole_cursor_unsat_test,8.87165,passed
