job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
ptr_eq,TRUE,4,19,0.00,0.00,0.00,0.00,0.00,0.00,0.01
is_power_of_two,TRUE,4,19,0.00,0.00,0.00,0.00,0.00,0.00,0.01
array_list_clean_up,TRUE,5,26,0.00,0.00,0.00,0.00,0.00,0.00,0.01
add_size_checked,TRUE,4,80,0.00,0.00,0.00,0.00,0.00,0.00,0.01
nospec_mask,TRUE,4,48,0.01,0.01,0.00,0.00,0.00,0.00,0.02
add_size_saturating,TRUE,4,91,0.02,0.02,0.00,0.00,0.00,0.00,0.03
array_list_init_dynamic,TRUE,6,95,0.04,0.04,0.00,0.00,0.00,0.00,0.06
array_list_sort,TRUE,5,124,0.07,0.07,0.00,0.00,0.00,0.00,0.09
array_list_capacity,TRUE,5,126,0.09,0.09,0.00,0.00,0.00,0.00,0.12
array_list_init_static,TRUE,6,158,0.09,0.08,0.00,0.00,0.00,0.00,0.11
round_up_to_power_of_two,TRUE,4,553,0.11,0.07,0.00,0.00,0.00,0.03,0.12
array_list_get_at_ptr,TRUE,5,150,0.12,0.11,0.00,0.00,0.00,0.00,0.14
array_list_length,TRUE,5,127,0.13,0.12,0.00,0.00,0.00,0.00,0.15
mul_size_saturating,TRUE,4,82,0.13,0.12,0.00,0.00,0.00,0.00,0.15
array_list_clear,TRUE,5,80,0.18,0.18,0.00,0.00,0.00,0.00,0.21
array_list_swap_contents,TRUE,6,204,0.30,0.29,0.00,0.00,0.00,0.01,0.33
mul_size_checked,TRUE,4,51,0.35,0.34,0.00,0.00,0.00,0.00,0.36
array_list_ensure_capacity,TRUE,6,179,0.35,0.34,0.00,0.00,0.00,0.00,0.38
array_list_get_at,TRUE,6,194,0.70,0.69,0.00,0.00,0.00,0.00,0.71
array_eq,TRUE,6,779,1.01,0.92,0.00,0.00,0.00,0.07,1.03
byte_buf_clean_up_secure,TRUE,5,26,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_clean_up,TRUE,5,26,0.00,0.00,0.00,0.00,0.00,0.00,0.01
array_eq_c_str_ignore_case,TRUE,5,296,0.02,0.00,0.00,0.00,0.01,0.04
byte_buf_advance,TRUE,6,181,0.03,0.02,0.00,0.00,0.00,0.01,0.05
array_eq_ignore_case,TRUE,6,724,0.08,0.04,0.00,0.00,0.00,0.03,0.10
byte_buf_append,TRUE,5,174,0.05,0.03,0.00,0.00,0.00,0.01,0.07
byte_buf_eq_c_str,TRUE,5,301,0.02,0.01,0.00,0.00,0.01,0.03
byte_buf_from_array,TRUE,5,46,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_eq_c_str_ignore_case,TRUE,5,301,0.02,0.01,0.00,0.00,0.01,0.04
byte_buf_append_dynamic,TRUE,7,247,0.10,0.07,0.00,0.00,0.00,0.02,0.12
byte_buf_from_empty_array,TRUE,5,46,0.00,0.00,0.00,0.00,0.00,0.00,0.01
byte_buf_init,TRUE,6,70,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_eq_ignore_case,TRUE,6,806,0.11,0.06,0.00,0.00,0.00,0.04,0.14
byte_buf_append_with_lookup,TRUE,5,670,0.30,0.24,0.00,0.00,0.00,0.04,0.33
byte_buf_reserve,TRUE,6,101,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_init_copy_from_cursor,TRUE,6,319,0.11,0.09,0.00,0.00,0.00,0.01,0.13
byte_buf_reset,TRUE,5,208,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_reserve_relative,TRUE,6,142,0.02,0.00,0.00,0.00,0.00,0.01,0.04
