job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01
add_size_checked,TRUE,4,76,0.01,0.01,0.00,0.00,0.00,0.00,0.02
add_size_saturating,TRUE,4,87,0.03,0.03,0.00,0.00,0.00,0.00,0.04
ptr_eq,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01
array_list_clean_up,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.02
round_up_to_power_of_two,TRUE,4,549,0.13,0.08,0.00,0.00,0.00,0.04,0.14
nospec_mask,TRUE,4,44,0.01,0.01,0.00,0.00,0.00,0.00,0.02
mul_size_saturating,TRUE,4,78,0.16,0.15,0.00,0.00,0.00,0.01,0.18
array_list_init_dynamic,TRUE,6,90,0.05,0.04,0.00,0.00,0.00,0.00,0.07
array_list_init_static,TRUE,6,153,0.09,0.08,0.00,0.00,0.00,0.00,0.12
array_list_capacity,TRUE,5,121,0.10,0.10,0.00,0.00,0.00,0.00,0.12
array_eq_c_str_ignore_case,TRUE,5,345,0.03,0.00,0.00,0.00,0.01,0.05
array_list_length,TRUE,5,122,0.10,0.10,0.00,0.00,0.00,0.00,0.13
array_list_clear,TRUE,5,75,0.14,0.14,0.00,0.00,0.00,0.00,0.17
array_list_get_at_ptr,TRUE,5,144,0.09,0.08,0.00,0.00,0.00,0.00,0.11
array_list_get_at,TRUE,6,176,0.20,0.17,0.00,0.00,0.00,0.01,0.23
array_eq_ignore_case,TRUE,6,1964,0.21,0.08,0.00,0.00,0.00,0.07,0.25
array_list_ensure_capacity,TRUE,6,173,0.23,0.22,0.00,0.00,0.00,0.00,0.26
array_eq_c_str,TRUE,6,982,0.31,0.11,0.01,0.00,0.00,0.16,0.35
array_eq,TRUE,6,757,0.42,0.32,0.00,0.00,0.00,0.07,0.45
array_list_comparator_string,TRUE,6,1077,0.84,0.66,0.00,0.00,0.00,0.13,0.87
array_list_sort,TRUE,5,119,0.08,0.07,0.00,0.00,0.00,0.00,0.10
byte_buf_clean_up,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_clean_up_secure,TRUE,5,22,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_append,TRUE,5,133,0.03,0.02,0.00,0.00,0.00,0.00,0.04
byte_buf_advance,TRUE,6,175,0.03,0.02,0.00,0.00,0.00,0.01,0.05
byte_buf_append_dynamic,TRUE,7,246,0.09,0.06,0.00,0.00,0.00,0.01,0.11
byte_buf_from_array,TRUE,5,41,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_eq_c_str,TRUE,5,350,0.03,0.00,0.00,0.00,0.01,0.04
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.03,0.00,0.00,0.00,0.01,0.04
byte_buf_append_with_lookup,TRUE,5,448,0.16,0.02,0.00,0.00,0.00,0.04,0.19
array_list_swap_contents,TRUE,6,198,0.25,0.23,0.00,0.00,0.00,0.01,0.29
byte_buf_init,TRUE,6,65,0.01,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_from_empty_array,TRUE,5,41,0.00,0.00,0.00,0.00,0.00,0.00,0.01
mul_size_checked,TRUE,4,47,1.59,1.58,0.00,0.00,0.00,0.00,1.60
byte_buf_from_c_str,TRUE,5,640,0.16,0.07,0.00,0.00,0.00,0.05,0.18
byte_buf_eq_ignore_case,TRUE,6,2052,0.20,0.09,0.00,0.00,0.00,0.06,0.24
byte_buf_eq,TRUE,6,795,0.30,0.18,0.01,0.00,0.00,0.08,0.35
byte_buf_init_copy_from_cursor,TRUE,6,325,0.05,0.03,0.00,0.00,0.00,0.01,0.06
byte_buf_reserve,TRUE,6,96,0.00,0.00,0.00,0.00,0.00,0.00,0.02
byte_buf_reserve_relative,TRUE,6,136,0.01,0.00,0.00,0.00,0.00,0.01,0.03
byte_buf_reset,TRUE,5,207,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_secure_zero,TRUE,5,208,0.02,0.01,0.00,0.00,0.00,0.01,0.04
byte_buf_write_be16,TRUE,5,124,0.02,0.00,0.00,0.00,0.00,0.01,0.04
byte_buf_write,TRUE,5,346,0.14,0.08,0.00,0.00,0.00,0.01,0.17
byte_buf_write_be32,TRUE,5,124,0.02,0.00,0.00,0.00,0.00,0.00,0.04
byte_buf_write_be64,TRUE,5,124,0.02,0.00,0.00,0.00,0.00,0.00,0.03
byte_buf_init_copy,TRUE,5,1075,0.78,0.60,0.00,0.00,0.00,0.06,0.81
byte_cursor_advance,TRUE,4,140,0.03,0.02,0.00,0.00,0.00,0.00,0.04
byte_buf_cat,TRUE,8,396,0.84,0.74,0.01,0.00,0.00,0.03,0.89
byte_buf_write_u8,TRUE,5,122,0.02,0.00,0.00,0.00,0.00,0.01,0.04
byte_cursor_advance_nospec,TRUE,4,175,0.05,0.03,0.00,0.00,0.00,0.02,0.07
byte_buf_write_from_whole_cursor,TRUE,5,387,0.18,0.09,0.00,0.00,0.00,0.02,0.20
byte_buf_write_from_whole_buffer,TRUE,6,412,0.27,0.12,0.00,0.00,0.00,0.02,0.30
byte_cursor_compare_lexical,TRUE,4,557,0.16,0.11,0.00,0.00,0.00,0.04,0.19
byte_cursor_eq_byte_buf,TRUE,5,515,0.10,0.05,0.00,0.00,0.00,0.03,0.13
byte_cursor_eq,TRUE,4,536,0.18,0.12,0.00,0.00,0.00,0.04,0.20
byte_cursor_compare_lookup,TRUE,4,864,0.13,0.03,0.01,0.00,0.00,0.06,0.18
byte_cursor_eq_c_str,TRUE,5,345,0.02,0.00,0.00,0.00,0.01,0.04
byte_cursor_from_array,TRUE,9,39,0.00,0.00,0.00,0.00,0.00,0.00,0.01
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1991,0.18,0.08,0.00,0.00,0.00,0.05,0.23
array_list_back,TRUE,6,183,3.16,3.13,0.00,0.00,0.00,0.01,3.19
byte_cursor_eq_c_str_ignore_case,TRUE,5,345,0.03,0.00,0.00,0.00,0.01,0.04
byte_buf_write_from_whole_string,TRUE,6,1386,0.71,0.34,0.00,0.00,0.00,0.08,0.73
byte_cursor_from_buf,TRUE,5,109,0.01,0.00,0.00,0.00,0.00,0.00,0.03
byte_cursor_from_string,TRUE,5,201,0.02,0.01,0.00,0.00,0.00,0.01,0.04
byte_cursor_left_trim_pred,TRUE,4,270,0.03,0.00,0.00,0.00,0.00,0.01,0.05
byte_cursor_from_c_str,TRUE,5,608,0.09,0.01,0.00,0.00,0.00,0.05,0.11
byte_cursor_eq_ignore_case,TRUE,4,1947,0.21,0.08,0.00,0.00,0.00,0.07,0.26
byte_cursor_read_be16,TRUE,4,188,0.03,0.00,0.00,0.00,0.00,0.02,0.04
byte_cursor_read_be32,TRUE,4,210,0.03,0.01,0.00,0.00,0.00,0.01,0.05
byte_cursor_read_be64,TRUE,4,253,0.06,0.01,0.00,0.00,0.00,0.02,0.08
byte_cursor_read,TRUE,5,641,0.22,0.10,0.00,0.00,0.00,0.04,0.24
byte_cursor_read_u8,TRUE,5,248,0.08,0.01,0.00,0.00,0.00,0.02,0.10
byte_cursor_right_trim_pred,TRUE,4,278,0.03,0.01,0.00,0.00,0.00,0.01,0.05
byte_cursor_satisfies_pred,TRUE,4,226,0.03,0.00,0.00,0.00,0.00,0.01,0.05
hash_ptr,TRUE,4,15,0.00,0.00,0.00,0.00,0.00,0.01
byte_cursor_read_and_fill_buffer,TRUE,5,906,0.35,0.16,0.00,0.00,0.00,0.05,0.37
byte_cursor_trim_pred,TRUE,4,453,0.13,0.06,0.00,0.00,0.00,0.04,0.15
hash_array_ignore_case,TRUE,5,110,0.01,0.00,0.00,0.00,0.00,0.01,0.02
hash_byte_cursor_ptr_ignore_case,TRUE,4,106,0.01,0.00,0.00,0.00,0.00,0.00,0.02
hash_string,TRUE,5,187,0.04,0.01,0.00,0.00,0.02,0.08
hash_callback_string_destroy,TRUE,5,149,0.02,0.00,0.00,0.00,0.01,0.04
array_list_front,TRUE,6,175,4.61,4.58,0.00,0.00,0.00,0.01,4.64
hash_c_string,TRUE,5,674,0.13,0.01,0.01,0.01,0.09,0.18
hash_table_move,TRUE,5,432,0.28,0.16,0.00,0.00,0.00,0.10,0.30
hash_table_get_entry_count,TRUE,5,432,0.36,0.25,0.00,0.00,0.00,0.10,0.39
hash_byte_cursor_ptr,TRUE,4,313,0.12,0.01,0.02,0.01,0.00,0.09,0.20
hash_iter_done,TRUE,5,1009,0.68,0.25,0.01,0.00,0.00,0.39,0.73
hash_callback_string_eq,TRUE,6,1125,1.05,0.81,0.00,0.00,0.00,0.17,1.10
hash_table_clean_up,TRUE,5,958,0.77,0.39,0.01,0.00,0.00,0.36,0.83
hash_table_init_unbounded,TRUE,5,1155,0.55,0.34,0.00,0.00,0.00,0.14,0.58
hash_table_clear,TRUE,5,977,0.96,0.52,0.01,0.00,0.00,0.41,1.01
