job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.01,0.01,0.00,0.00,0.00,0.00,0.02
array_list_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
ptr_eq,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_checked,TRUE,4,76,0.13,0.12,0.00,0.00,0.00,0.00,0.14
add_size_saturating,TRUE,4,87,0.18,0.16,0.00,0.00,0.00,0.00,0.19
nospec_mask,TRUE,4,44,0.04,0.03,0.00,0.00,0.00,0.00,0.05
array_eq_c_str_ignore_case,TRUE,5,276,0.05,0.03,0.00,0.00,0.01,0.07
round_up_to_power_of_two,TRUE,4,549,0.29,0.24,0.00,0.00,0.00,0.04,0.31
mul_size_checked,TRUE,4,47,0.50,0.49,0.00,0.00,0.00,0.00,0.50
mul_size_saturating,TRUE,4,78,0.55,0.53,0.00,0.00,0.00,0.01,0.56
array_list_capacity,TRUE,5,119,0.47,0.46,0.00,0.00,0.00,0.00,0.49
array_eq_ignore_case,TRUE,6,719,0.42,0.37,0.00,0.00,0.00,0.03,0.44
array_list_length,TRUE,5,120,0.49,0.47,0.00,0.00,0.00,0.00,0.51
array_list_get_at_ptr,TRUE,5,142,0.52,0.50,0.00,0.00,0.00,0.00,0.54
array_list_init_dynamic,TRUE,6,90,0.82,0.80,0.00,0.00,0.00,0.00,0.84
array_eq,TRUE,6,749,0.72,0.62,0.00,0.00,0.00,0.07,0.75
array_list_get_at,TRUE,6,183,0.78,0.75,0.00,0.00,0.00,0.01,0.80
array_eq_c_str,TRUE,6,885,0.73,0.56,0.01,0.00,0.00,0.15,0.76
array_list_init_static,TRUE,6,151,0.95,0.94,0.00,0.00,0.00,0.00,0.97
array_list_back,TRUE,6,190,0.99,0.96,0.00,0.00,0.00,0.01,1.01
array_list_front,TRUE,6,182,1.07,1.04,0.00,0.00,0.00,0.01,1.10
byte_buf_append,TRUE,5,164,0.10,0.08,0.00,0.00,0.00,0.01,0.13
byte_buf_advance,TRUE,6,173,0.13,0.11,0.00,0.00,0.00,0.01,0.16
byte_buf_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_sort,TRUE,5,117,0.49,0.47,0.00,0.00,0.00,0.00,0.51
byte_buf_clean_up_secure,TRUE,5,22,0.03,0.01,0.00,0.00,0.00,0.00,0.04
array_list_pop_back,TRUE,5,142,1.40,1.38,0.00,0.00,0.00,0.00,1.43
byte_buf_append_dynamic,TRUE,7,235,0.45,0.42,0.00,0.00,0.00,0.01,0.47
byte_buf_eq_c_str_ignore_case,TRUE,5,281,0.05,0.03,0.00,0.00,0.01,0.07
array_list_clear,TRUE,5,75,1.74,1.73,0.00,0.00,0.00,0.00,1.76
byte_buf_eq_c_str,TRUE,5,281,0.06,0.04,0.00,0.00,0.01,0.08
byte_buf_from_empty_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_from_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_init,TRUE,6,65,0.03,0.01,0.00,0.00,0.00,0.00,0.05
byte_buf_from_c_str,TRUE,5,514,0.20,0.15,0.00,0.00,0.00,0.03,0.22
array_list_ensure_capacity,TRUE,6,171,2.15,2.12,0.00,0.00,0.00,0.01,2.16
byte_buf_eq_ignore_case,TRUE,6,794,0.40,0.35,0.00,0.00,0.00,0.03,0.43
byte_buf_reserve,TRUE,6,96,0.05,0.03,0.00,0.00,0.00,0.00,0.07
byte_buf_reset,TRUE,5,203,0.05,0.04,0.00,0.00,0.00,0.00,0.06
byte_buf_init_copy_from_cursor,TRUE,6,312,0.23,0.21,0.00,0.00,0.00,0.01,0.25
byte_buf_secure_zero,TRUE,5,204,0.07,0.04,0.00,0.00,0.00,0.00,0.08
byte_buf_reserve_relative,TRUE,6,136,0.10,0.08,0.00,0.00,0.00,0.01,0.12
byte_buf_eq,TRUE,6,787,0.76,0.66,0.01,0.00,0.00,0.08,0.79
byte_buf_write_be16,TRUE,5,147,0.07,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_write_be32,TRUE,5,147,0.06,0.04,0.00,0.00,0.00,0.00,0.08
byte_buf_write_be64,TRUE,5,147,0.07,0.05,0.00,0.00,0.00,0.00,0.08
byte_buf_write_u8,TRUE,5,145,0.08,0.06,0.00,0.00,0.00,0.00,0.10
array_list_swap_contents,TRUE,6,194,1.76,1.73,0.00,0.00,0.00,0.01,1.79
byte_cursor_advance,TRUE,4,140,0.10,0.09,0.00,0.00,0.00,0.00,0.11
byte_cursor_advance_nospec,TRUE,4,175,0.27,0.24,0.00,0.00,0.00,0.02,0.29
byte_cursor_eq_c_str_ignore_case,TRUE,5,276,0.05,0.03,0.00,0.00,0.01,0.07
byte_cursor_from_array,TRUE,9,39,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_cursor_eq_c_str,TRUE,5,276,0.05,0.03,0.00,0.00,0.01,0.07
array_list_comparator_string,TRUE,6,990,3.57,3.43,0.00,0.00,0.00,0.12,3.60
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,739,0.12,0.08,0.00,0.00,0.00,0.02,0.16
byte_cursor_from_buf,TRUE,5,107,0.05,0.04,0.00,0.00,0.00,0.00,0.07
byte_cursor_eq_ignore_case,TRUE,4,707,0.25,0.21,0.00,0.00,0.00,0.02,0.28
byte_cursor_compare_lexical,TRUE,4,554,0.45,0.41,0.00,0.00,0.00,0.02,0.48
byte_cursor_eq_byte_buf,TRUE,5,513,0.32,0.27,0.00,0.00,0.00,0.03,0.35
byte_cursor_from_c_str,TRUE,5,485,0.11,0.06,0.00,0.00,0.00,0.04,0.14
byte_cursor_eq,TRUE,4,533,0.50,0.45,0.00,0.00,0.00,0.03,0.53
