job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.01,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
ptr_eq,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.04
add_size_checked,TRUE,4,76,0.14,0.12,0.00,0.00,0.00,0.00,0.15
add_size_saturating,TRUE,4,87,0.17,0.16,0.00,0.00,0.00,0.00,0.18
round_up_to_power_of_two,TRUE,4,549,0.30,0.24,0.00,0.00,0.00,0.04,0.31
nospec_mask,TRUE,4,44,0.05,0.04,0.00,0.00,0.00,0.00,0.06
array_eq_c_str_ignore_case,TRUE,5,345,0.08,0.04,0.00,0.00,0.01,0.09
mul_size_checked,TRUE,4,47,0.47,0.46,0.00,0.00,0.00,0.00,0.49
mul_size_saturating,TRUE,4,78,0.54,0.52,0.00,0.00,0.00,0.01,0.55
array_list_capacity,TRUE,5,121,0.50,0.48,0.00,0.00,0.00,0.00,0.52
array_list_length,TRUE,5,122,0.50,0.48,0.00,0.00,0.00,0.00,0.53
array_list_get_at_ptr,TRUE,5,144,0.51,0.49,0.00,0.00,0.00,0.00,0.53
array_list_init_dynamic,TRUE,6,90,0.81,0.79,0.00,0.00,0.00,0.00,0.83
array_eq,TRUE,6,757,0.70,0.59,0.00,0.00,0.00,0.07,0.73
array_eq_c_str,TRUE,6,982,0.74,0.51,0.01,0.00,0.00,0.18,0.78
array_list_get_at,TRUE,6,176,0.81,0.78,0.00,0.00,0.00,0.01,0.83
array_list_init_static,TRUE,6,153,0.89,0.87,0.00,0.00,0.00,0.00,0.91
array_list_front,TRUE,6,175,1.03,0.99,0.00,0.00,0.00,0.01,1.05
array_list_back,TRUE,6,183,1.06,1.03,0.00,0.00,0.00,0.01,1.09
byte_buf_append,TRUE,5,133,0.12,0.09,0.00,0.00,0.00,0.01,0.14
byte_buf_advance,TRUE,6,175,0.15,0.12,0.00,0.00,0.00,0.01,0.17
byte_buf_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_list_sort,TRUE,5,119,0.51,0.49,0.00,0.00,0.00,0.00,0.53
byte_buf_clean_up_secure,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_append_dynamic,TRUE,7,246,0.20,0.15,0.00,0.00,0.00,0.01,0.22
array_list_clear,TRUE,5,75,1.69,1.68,0.00,0.00,0.00,0.00,1.71
byte_buf_eq_c_str,TRUE,5,350,0.09,0.05,0.00,0.00,0.01,0.11
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.08,0.05,0.00,0.00,0.01,0.10
byte_buf_from_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_init,TRUE,6,65,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_from_empty_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_append_with_lookup,TRUE,5,448,0.57,0.43,0.00,0.00,0.00,0.04,0.61
array_list_ensure_capacity,TRUE,6,173,2.20,2.18,0.00,0.00,0.00,0.00,2.23
byte_buf_reserve,TRUE,6,96,0.04,0.03,0.00,0.00,0.00,0.00,0.06
byte_buf_reserve_relative,TRUE,6,136,0.10,0.08,0.00,0.00,0.00,0.01,0.13
array_eq_ignore_case,TRUE,6,1964,2.20,2.07,0.00,0.00,0.00,0.06,2.22
byte_buf_init_copy_from_cursor,TRUE,6,325,0.21,0.18,0.00,0.00,0.00,0.01,0.22
byte_buf_reset,TRUE,5,207,0.06,0.04,0.00,0.00,0.00,0.00,0.07
byte_buf_eq,TRUE,6,795,0.77,0.65,0.01,0.00,0.00,0.08,0.80
byte_buf_secure_zero,TRUE,5,208,0.07,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_from_c_str,TRUE,5,640,0.50,0.41,0.00,0.00,0.00,0.05,0.53
byte_buf_write_be16,TRUE,5,124,0.08,0.05,0.00,0.00,0.00,0.01,0.09
array_list_pop_back,TRUE,5,145,2.69,2.67,0.00,0.00,0.00,0.00,2.71
byte_buf_write_be32,TRUE,5,124,0.07,0.05,0.00,0.00,0.00,0.00,0.09
byte_buf_write_be64,TRUE,5,124,0.08,0.06,0.00,0.00,0.00,0.00,0.10
array_list_swap_contents,TRUE,6,198,1.77,1.74,0.00,0.00,0.00,0.01,1.80
byte_buf_write_u8,TRUE,5,122,0.08,0.06,0.00,0.00,0.00,0.00,0.10
byte_cursor_advance,TRUE,4,140,0.11,0.09,0.00,0.00,0.00,0.00,0.12
array_list_pop_front,TRUE,5,169,3.09,3.03,0.00,0.00,0.00,0.01,3.11
byte_buf_write,TRUE,5,346,0.77,0.70,0.00,0.00,0.00,0.01,0.79
byte_buf_eq_ignore_case,TRUE,6,2052,1.32,1.20,0.00,0.00,0.00,0.06,1.36
byte_buf_write_from_whole_cursor,TRUE,5,387,0.59,0.47,0.00,0.00,0.00,0.02,0.62
byte_buf_write_from_whole_buffer,TRUE,6,412,0.60,0.45,0.00,0.00,0.00,0.02,0.62
byte_cursor_advance_nospec,TRUE,4,175,0.28,0.23,0.00,0.00,0.00,0.02,0.30
byte_cursor_eq_c_str,TRUE,5,345,0.07,0.04,0.00,0.00,0.01,0.08
byte_cursor_eq_c_str_ignore_case,TRUE,5,345,0.07,0.04,0.00,0.00,0.01,0.09
byte_cursor_from_array,TRUE,9,39,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_cursor_compare_lexical,TRUE,4,557,0.48,0.42,0.00,0.00,0.00,0.03,0.51
byte_cursor_from_buf,TRUE,5,109,0.05,0.03,0.00,0.00,0.00,0.00,0.07
byte_cursor_left_trim_pred,TRUE,4,270,0.06,0.03,0.00,0.00,0.00,0.01,0.09
byte_cursor_eq_byte_buf,TRUE,5,515,0.32,0.25,0.00,0.00,0.00,0.03,0.35
byte_cursor_from_string,TRUE,5,201,0.26,0.23,0.00,0.00,0.00,0.01,0.28
byte_cursor_from_c_str,TRUE,5,608,0.13,0.06,0.00,0.00,0.00,0.04,0.15
array_list_shrink_to_fit,TRUE,6,205,4.11,4.08,0.00,0.00,0.00,0.01,4.14
byte_cursor_eq,TRUE,4,536,0.52,0.45,0.00,0.00,0.00,0.04,0.54
array_list_push_back,TRUE,7,258,4.11,4.08,0.00,0.00,0.00,0.01,4.14
byte_cursor_read_be16,TRUE,4,188,0.08,0.05,0.00,0.00,0.00,0.01,0.10
byte_cursor_read_be64,TRUE,4,253,0.10,0.05,0.00,0.00,0.00,0.02,0.11
byte_cursor_compare_lookup,TRUE,4,864,0.84,0.71,0.01,0.00,0.00,0.07,0.89
byte_cursor_read_be32,TRUE,4,210,0.10,0.05,0.00,0.00,0.00,0.02,0.12
byte_cursor_satisfies_pred,TRUE,4,226,0.06,0.03,0.00,0.00,0.00,0.01,0.08
byte_cursor_read,TRUE,5,641,0.54,0.40,0.00,0.00,0.00,0.04,0.56
byte_cursor_read_u8,TRUE,5,248,0.15,0.07,0.00,0.00,0.00,0.02,0.17
byte_cursor_right_trim_pred,TRUE,4,278,0.12,0.08,0.00,0.00,0.00,0.01,0.14
hash_ptr,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.03
array_list_comparator_string,TRUE,6,1077,4.77,4.58,0.00,0.00,0.00,0.14,4.79
hash_array_ignore_case,TRUE,5,110,0.03,0.02,0.00,0.00,0.00,0.00,0.04
byte_cursor_eq_ignore_case,TRUE,4,1947,1.30,1.17,0.00,0.00,0.00,0.06,1.32
hash_byte_cursor_ptr_ignore_case,TRUE,4,106,0.03,0.01,0.00,0.00,0.00,0.00,0.05
hash_string,TRUE,5,187,0.11,0.06,0.00,0.00,0.02,0.15
hash_callback_string_destroy,TRUE,5,149,0.05,0.03,0.00,0.00,0.00,0.07
byte_cursor_trim_pred,TRUE,4,453,0.70,0.62,0.00,0.00,0.00,0.04,0.73
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,1991,2.05,1.94,0.00,0.00,0.00,0.05,2.09
hash_c_string,TRUE,5,674,0.22,0.07,0.01,0.01,0.10,0.27
hash_table_get_entry_count,TRUE,5,432,0.31,0.19,0.00,0.00,0.00,0.09,0.34
hash_table_move,TRUE,5,432,0.32,0.20,0.00,0.00,0.00,0.09,0.34
