Name,Timing,Result
is_power_of_two_unsat_test,0.819433,passed
array_list_clean_up_unsat_test,0.9265,passed
ptr_eq_unsat_test,0.942596,passed
add_size_checked_unsat_test,0.9399,passed
add_size_saturating_unsat_test,0.985808,passed
round_up_to_power_of_two_unsat_test,1.10783,passed
nospec_mask_unsat_test,1.1364,passed
array_eq_c_str_ignore_case_unsat_test,1.2647,passed
mul_size_checked_unsat_test,1.31551,passed
mul_size_saturating_unsat_test,1.37982,passed
array_list_capacity_unsat_test,1.46553,passed
array_list_length_unsat_test,1.50029,passed
array_list_get_at_ptr_unsat_test,1.52832,passed
array_list_init_dynamic_unsat_test,1.78129,passed
array_eq_unsat_test,1.81151,passed
array_eq_c_str_unsat_test,1.86121,passed
array_list_get_at_unsat_test,1.85229,passed
array_list_init_static_unsat_test,1.86566,passed
array_list_front_unsat_test,2.08725,passed
array_list_back_unsat_test,2.14699,passed
byte_buf_append_unsat_test,1.25473,passed
byte_buf_advance_unsat_test,1.30441,passed
byte_buf_clean_up_unsat_test,1.04024,passed
array_list_sort_unsat_test,1.54053,passed
byte_buf_clean_up_secure_unsat_test,1.04591,passed
byte_buf_append_dynamic_unsat_test,1.3759,passed
array_list_clear_unsat_test,2.66854,passed
byte_buf_eq_c_str_unsat_test,1.19642,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.21108,passed
byte_buf_from_array_unsat_test,0.967798,passed
byte_buf_init_unsat_test,0.993539,passed
byte_buf_from_empty_array_unsat_test,1.06392,passed
byte_buf_append_with_lookup_unsat_test,1.80224,passed
array_list_ensure_capacity_unsat_test,3.26691,passed
byte_buf_reserve_unsat_test,1.09848,passed
byte_buf_reserve_relative_unsat_test,1.16426,passed
array_eq_ignore_case_unsat_test,3.45316,passed
byte_buf_init_copy_from_cursor_unsat_test,1.31955,passed
byte_buf_reset_unsat_test,1.13823,passed
byte_buf_eq_unsat_test,2.03374,passed
byte_buf_secure_zero_unsat_test,1.14782,passed
byte_buf_from_c_str_unsat_test,1.66046,passed
byte_buf_write_be16_unsat_test,1.22261,passed
array_list_pop_back_unsat_test,3.78218,passed
byte_buf_write_be32_unsat_test,1.19659,passed
byte_buf_write_be64_unsat_test,1.16525,passed
array_list_swap_contents_unsat_test,2.98789,passed
byte_buf_write_u8_unsat_test,1.12722,passed
byte_cursor_advance_unsat_test,1.17759,passed
array_list_pop_front_unsat_test,4.22583,passed
byte_buf_write_unsat_test,1.94285,passed
byte_buf_eq_ignore_case_unsat_test,2.59651,passed
byte_buf_write_from_whole_cursor_unsat_test,1.79992,passed
byte_buf_write_from_whole_buffer_unsat_test,1.8608,passed
byte_cursor_advance_nospec_unsat_test,1.34206,passed
byte_cursor_eq_c_str_unsat_test,1.22514,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.25076,passed
byte_cursor_from_array_unsat_test,1.07665,passed
byte_cursor_compare_lexical_unsat_test,1.60173,passed
byte_cursor_from_buf_unsat_test,1.15085,passed
byte_cursor_left_trim_pred_unsat_test,1.13884,passed
byte_cursor_eq_byte_buf_unsat_test,1.6122,passed
byte_cursor_from_string_unsat_test,1.25908,passed
byte_cursor_from_c_str_unsat_test,1.29425,passed
array_list_shrink_to_fit_unsat_test,5.1689,passed
byte_cursor_eq_unsat_test,1.75977,passed
