Name,Timing,Result
is_power_of_two_unsat_test,0.842057,passed
ptr_eq_unsat_test,0.897391,passed
add_size_checked_unsat_test,0.964566,passed
add_size_saturating_unsat_test,0.984853,passed
array_list_clean_up_unsat_test,0.989864,passed
round_up_to_power_of_two_unsat_test,1.06951,passed
nospec_mask_unsat_test,1.08272,passed
array_eq_c_str_ignore_case_unsat_test,1.13823,passed
mul_size_checked_unsat_test,1.27066,passed
mul_size_saturating_unsat_test,1.45464,passed
array_list_capacity_unsat_test,1.47775,passed
array_list_length_unsat_test,1.53461,passed
array_list_get_at_ptr_unsat_test,1.56802,passed
array_eq_c_str_unsat_test,1.67563,passed
array_eq_unsat_test,1.79212,passed
array_list_init_dynamic_unsat_test,1.86312,passed
array_list_init_static_unsat_test,1.88312,passed
array_list_get_at_unsat_test,1.92402,passed
array_list_front_unsat_test,2.03018,passed
array_list_back_unsat_test,2.20713,passed
byte_buf_append_unsat_test,1.22701,passed
byte_buf_advance_unsat_test,1.25935,passed
byte_buf_clean_up_unsat_test,1.06839,passed
array_list_sort_unsat_test,1.52896,passed
array_eq_ignore_case_unsat_test,2.38779,passed
byte_buf_clean_up_secure_unsat_test,1.03022,passed
byte_buf_append_dynamic_unsat_test,1.44427,passed
byte_buf_eq_c_str_unsat_test,1.1871,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.16499,passed
array_list_clear_unsat_test,2.79991,passed
byte_buf_from_array_unsat_test,1.05933,passed
byte_buf_append_with_lookup_unsat_test,1.78893,passed
byte_buf_from_empty_array_unsat_test,1.0192,passed
byte_buf_init_unsat_test,1.06797,passed
array_list_ensure_capacity_unsat_test,3.17651,passed
byte_buf_from_c_str_unsat_test,1.34806,passed
array_list_pop_front_unsat_test,3.31662,passed
byte_buf_reserve_unsat_test,1.12539,passed
byte_buf_eq_unsat_test,1.92248,passed
byte_buf_init_copy_from_cursor_unsat_test,1.20239,passed
byte_buf_reserve_relative_unsat_test,1.18946,passed
byte_buf_reset_unsat_test,1.12783,passed
byte_buf_secure_zero_unsat_test,1.17942,passed
byte_buf_write_be16_unsat_test,1.20145,passed
byte_buf_write_be32_unsat_test,1.18639,passed
byte_buf_write_unsat_test,1.4654,passed
byte_buf_write_be64_unsat_test,1.14087,passed
byte_buf_write_u8_unsat_test,1.18889,passed
byte_cursor_advance_unsat_test,1.1463,passed
array_list_swap_contents_unsat_test,3.11049,passed
array_list_pop_front_n_unsat_test,4.16218,passed
byte_cursor_advance_nospec_unsat_test,1.23531,passed
array_list_pop_back_unsat_test,4.31204,passed
byte_buf_write_from_whole_cursor_unsat_test,1.5825,passed
byte_buf_write_from_whole_buffer_unsat_test,1.67109,passed
array_list_comparator_string_unsat_test,4.42139,passed
byte_buf_init_copy_unsat_test,2.41767,passed
byte_cursor_from_array_unsat_test,1.00232,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.15682,passed
byte_cursor_eq_c_str_unsat_test,1.18946,passed
