job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,26,0.03,0.01,0.00,0.00,0.00,0.00,0.04
add_size_checked,TRUE,4,80,0.14,0.13,0.00,0.00,0.00,0.00,0.15
ptr_eq,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_saturating,TRUE,4,91,0.18,0.17,0.00,0.00,0.00,0.00,0.19
nospec_mask,TRUE,4,48,0.05,0.04,0.00,0.00,0.00,0.00,0.06
round_up_to_power_of_two,TRUE,4,551,0.32,0.26,0.00,0.00,0.00,0.04,0.33
mul_size_checked,TRUE,4,51,0.56,0.55,0.00,0.00,0.00,0.00,0.57
mul_size_saturating,TRUE,4,82,0.56,0.54,0.00,0.00,0.00,0.01,0.57
array_list_capacity,TRUE,5,114,0.51,0.49,0.00,0.00,0.00,0.00,0.53
array_list_sort,TRUE,5,112,0.50,0.48,0.00,0.00,0.00,0.00,0.52
array_list_length,TRUE,5,115,0.49,0.47,0.00,0.00,0.00,0.00,0.51
array_list_get_at_ptr,TRUE,5,138,0.51,0.49,0.00,0.00,0.00,0.01,0.53
array_list_init_dynamic,TRUE,6,95,0.83,0.81,0.00,0.00,0.00,0.00,0.85
array_list_front,TRUE,6,202,0.87,0.81,0.00,0.00,0.00,0.04,0.90
array_list_init_static,TRUE,6,146,0.96,0.95,0.00,0.00,0.00,0.00,0.98
array_eq_c_str_ignore_case,TRUE,5,240,0.05,0.02,0.00,0.00,0.01,0.06
array_list_back,TRUE,6,210,0.97,0.91,0.00,0.00,0.00,0.04,0.99
byte_buf_append,TRUE,5,230,0.14,0.09,0.00,0.00,0.00,0.03,0.16
array_list_get_at,TRUE,6,203,1.23,1.16,0.00,0.00,0.00,0.04,1.25
byte_buf_advance,TRUE,6,169,0.22,0.20,0.00,0.00,0.00,0.00,0.24
byte_buf_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_eq_c_str,TRUE,6,769,0.46,0.31,0.01,0.00,0.00,0.12,0.49
byte_buf_clean_up_secure,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_append_dynamic,TRUE,7,437,0.34,0.26,0.00,0.00,0.00,0.06,0.37
array_list_pop_back,TRUE,5,181,1.65,1.61,0.00,0.00,0.00,0.02,1.67
byte_buf_eq_c_str,TRUE,5,245,0.05,0.03,0.00,0.00,0.01,0.07
array_list_clear,TRUE,5,80,1.78,1.76,0.00,0.00,0.00,0.00,1.80
byte_buf_eq_c_str_ignore_case,TRUE,5,245,0.05,0.03,0.00,0.00,0.01,0.07
