job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
ptr_eq,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
add_size_checked,TRUE,4,80,0.15,0.13,0.00,0.00,0.00,0.00,0.16
add_size_saturating,TRUE,4,91,0.17,0.16,0.00,0.00,0.00,0.00,0.19
nospec_mask,TRUE,4,48,0.06,0.04,0.00,0.00,0.00,0.00,0.07
round_up_to_power_of_two,TRUE,4,553,0.32,0.26,0.00,0.00,0.00,0.04,0.33
array_eq_c_str_ignore_case,TRUE,5,313,0.15,0.12,0.00,0.00,0.01,0.15
mul_size_checked,TRUE,4,51,0.53,0.52,0.00,0.00,0.00,0.00,0.55
mul_size_saturating,TRUE,4,82,0.57,0.55,0.00,0.00,0.00,0.01,0.58
array_list_capacity,TRUE,5,126,0.53,0.51,0.00,0.00,0.00,0.00,0.55
array_list_length,TRUE,5,127,0.52,0.51,0.00,0.00,0.00,0.00,0.54
array_list_get_at_ptr,TRUE,5,150,0.51,0.49,0.00,0.00,0.00,0.00,0.53
array_list_get_at,TRUE,6,160,0.74,0.71,0.00,0.00,0.00,0.01,0.76
array_list_init_dynamic,TRUE,6,95,0.89,0.88,0.00,0.00,0.00,0.00,0.91
array_list_init_static,TRUE,6,158,0.96,0.94,0.00,0.00,0.00,0.00,0.97
array_list_front,TRUE,6,159,0.86,0.84,0.00,0.00,0.00,0.01,0.89
array_list_back,TRUE,6,167,1.06,1.04,0.00,0.00,0.00,0.01,1.09
byte_buf_append,TRUE,5,136,0.11,0.08,0.00,0.00,0.00,0.01,0.13
byte_buf_advance,TRUE,6,181,0.14,0.12,0.00,0.00,0.00,0.00,0.17
array_list_sort,TRUE,5,124,0.52,0.51,0.00,0.00,0.00,0.00,0.55
byte_buf_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_clean_up_secure,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_append_dynamic,TRUE,7,191,0.27,0.23,0.00,0.00,0.00,0.02,0.30
array_list_pop_back,TRUE,5,149,1.42,1.40,0.00,0.00,0.00,0.01,1.44
array_eq_c_str,TRUE,6,990,1.64,1.44,0.01,0.00,0.00,0.19,1.68
array_list_clear,TRUE,5,80,1.83,1.82,0.00,0.00,0.00,0.00,1.85
byte_buf_eq_c_str_ignore_case,TRUE,5,318,0.16,0.13,0.00,0.00,0.01,0.17
byte_buf_eq_c_str,TRUE,5,318,0.15,0.13,0.00,0.00,0.01,0.17
byte_buf_append_with_lookup,TRUE,5,501,0.61,0.51,0.00,0.00,0.00,0.07,0.64
byte_buf_from_array,TRUE,5,46,0.03,0.01,0.00,0.00,0.00,0.00,0.05
byte_buf_from_empty_array,TRUE,5,46,0.03,0.01,0.00,0.00,0.00,0.00,0.04
array_list_ensure_capacity,TRUE,6,179,2.02,2.00,0.00,0.00,0.00,0.00,2.05
byte_buf_init,TRUE,6,70,0.03,0.02,0.00,0.00,0.00,0.00,0.05
array_list_pop_front,TRUE,5,195,2.16,2.11,0.00,0.00,0.00,0.03,2.18
byte_buf_reserve,TRUE,6,101,0.04,0.03,0.00,0.00,0.00,0.00,0.05
byte_buf_init_copy_from_cursor,TRUE,6,180,0.19,0.16,0.00,0.00,0.00,0.01,0.21
byte_buf_reserve_relative,TRUE,6,142,0.11,0.09,0.00,0.00,0.00,0.01,0.13
byte_buf_secure_zero,TRUE,5,98,0.12,0.10,0.00,0.00,0.00,0.00,0.14
byte_buf_reset,TRUE,5,97,0.12,0.10,0.00,0.00,0.00,0.00,0.14
array_eq_ignore_case,TRUE,6,1961,2.69,2.58,0.00,0.00,0.00,0.08,2.71
array_eq,TRUE,6,779,2.79,2.69,0.00,0.00,0.00,0.08,2.82
byte_buf_write,TRUE,5,236,0.34,0.29,0.00,0.00,0.00,0.03,0.37
byte_buf_write_be64,TRUE,5,127,0.07,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_write_be32,TRUE,5,127,0.08,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_write_be16,TRUE,5,127,0.09,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_cat,TRUE,8,349,1.38,1.31,0.01,0.00,0.00,0.04,1.42
array_list_swap_contents,TRUE,6,204,2.03,2.01,0.00,0.00,0.00,0.01,2.06
byte_buf_write_u8,TRUE,5,125,0.09,0.07,0.00,0.00,0.00,0.01,0.11
array_list_pop_front_n,TRUE,5,213,3.17,3.10,0.00,0.00,0.00,0.06,3.19
byte_cursor_advance,TRUE,4,147,0.20,0.18,0.00,0.00,0.00,0.01,0.22
byte_buf_write_from_whole_cursor,TRUE,5,292,0.39,0.33,0.00,0.00,0.00,0.05,0.43
byte_buf_write_from_whole_buffer,TRUE,6,309,0.53,0.45,0.00,0.00,0.00,0.06,0.56
byte_cursor_advance_nospec,TRUE,4,182,0.39,0.35,0.00,0.00,0.00,0.02,0.41
array_list_shrink_to_fit,TRUE,6,206,3.77,3.74,0.00,0.00,0.00,0.01,3.79
byte_cursor_eq_c_str,TRUE,5,313,0.15,0.12,0.00,0.00,0.01,0.17
byte_cursor_from_array,TRUE,9,44,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_cursor_eq_c_str_ignore_case,TRUE,5,313,0.16,0.13,0.00,0.00,0.01,0.18
byte_cursor_from_string,TRUE,5,279,0.10,0.07,0.00,0.00,0.00,0.01,0.11
byte_buf_from_c_str,TRUE,5,748,2.02,1.93,0.00,0.00,0.00,0.07,2.05
byte_cursor_from_buf,TRUE,5,114,0.05,0.04,0.00,0.00,0.00,0.00,0.07
byte_cursor_left_trim_pred,TRUE,4,277,0.06,0.03,0.00,0.00,0.00,0.01,0.08
array_list_push_back,TRUE,7,225,4.20,4.17,0.00,0.00,0.00,0.02,4.23
byte_cursor_read_be16,TRUE,4,194,0.09,0.07,0.00,0.00,0.00,0.01,0.11
byte_buf_eq,TRUE,6,817,2.66,2.55,0.01,0.00,0.00,0.08,2.70
byte_buf_eq_ignore_case,TRUE,6,2056,2.60,2.50,0.00,0.00,0.00,0.08,2.64
byte_cursor_eq_byte_buf,TRUE,5,567,0.84,0.77,0.00,0.00,0.00,0.05,0.87
byte_cursor_compare_lexical,TRUE,4,575,1.25,1.19,0.00,0.00,0.00,0.05,1.28
byte_cursor_read_u8,TRUE,5,279,0.18,0.12,0.00,0.00,0.00,0.04,0.20
byte_cursor_right_trim_pred,TRUE,4,285,0.12,0.09,0.00,0.00,0.00,0.01,0.14
byte_cursor_read,TRUE,5,396,0.55,0.47,0.00,0.00,0.00,0.06,0.57
byte_cursor_eq,TRUE,4,554,1.19,1.13,0.00,0.00,0.00,0.04,1.22
byte_cursor_read_and_fill_buffer,TRUE,5,447,0.62,0.50,0.00,0.00,0.00,0.09,0.65
byte_cursor_satisfies_pred,TRUE,4,233,0.06,0.03,0.00,0.00,0.00,0.01,0.08
hash_ptr,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.03
array_list_copy,TRUE,7,159,5.03,5.00,0.00,0.00,0.00,0.01,5.06
byte_cursor_read_be32,TRUE,4,216,0.79,0.75,0.00,0.00,0.00,0.02,0.81
hash_array_ignore_case,TRUE,5,115,0.04,0.02,0.00,0.00,0.00,0.01,0.05
hash_byte_cursor_ptr_ignore_case,TRUE,4,111,0.03,0.02,0.00,0.00,0.00,0.00,0.05
byte_cursor_from_c_str,TRUE,5,709,1.44,1.37,0.00,0.00,0.00,0.06,1.46
byte_cursor_trim_pred,TRUE,4,460,0.66,0.60,0.00,0.00,0.00,0.04,0.69
byte_cursor_eq_ignore_case,TRUE,4,1949,1.68,1.58,0.00,0.00,0.00,0.08,1.72
hash_string,TRUE,5,371,0.24,0.20,0.00,0.00,0.03,0.28
hash_callback_string_destroy,TRUE,5,155,0.21,0.19,0.00,0.00,0.01,0.23
byte_cursor_compare_lookup,TRUE,4,874,2.36,2.23,0.01,0.00,0.00,0.09,2.41
byte_cursor_read_be64,TRUE,4,259,1.59,1.55,0.00,0.00,0.00,0.02,1.61
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,2034,2.31,2.21,0.00,0.00,0.00,0.08,2.34
hash_table_move,TRUE,5,438,0.34,0.22,0.00,0.00,0.00,0.10,0.36
hash_table_get_entry_count,TRUE,5,439,0.43,0.30,0.00,0.00,0.00,0.11,0.46
hash_iter_done,TRUE,5,558,0.63,0.41,0.01,0.00,0.00,0.19,0.67
byte_buf_init_copy,TRUE,5,899,4.46,4.34,0.00,0.00,0.00,0.09,4.48
array_list_erase,TRUE,5,190,7.01,6.98,0.00,0.00,0.00,0.01,7.04
hash_c_string,TRUE,5,914,1.39,1.22,0.01,0.00,0.14,1.44
linked_list_init,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
linked_list_remove,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.04
hash_table_clear,TRUE,5,770,0.98,0.61,0.01,0.00,0.00,0.35,1.03
hash_table_clean_up,TRUE,5,751,1.18,0.85,0.01,0.00,0.00,0.30,1.21
