job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_checked,TRUE,4,76,0.14,0.13,0.00,0.00,0.00,0.00,0.16
ptr_eq,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_list_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
add_size_saturating,TRUE,4,87,0.18,0.16,0.00,0.00,0.00,0.00,0.19
round_up_to_power_of_two,TRUE,4,549,0.29,0.23,0.00,0.00,0.00,0.04,0.30
nospec_mask,TRUE,4,44,0.05,0.03,0.00,0.00,0.00,0.00,0.06
mul_size_checked,TRUE,4,47,0.49,0.48,0.00,0.00,0.00,0.00,0.51
mul_size_saturating,TRUE,4,78,0.53,0.52,0.00,0.00,0.00,0.00,0.54
array_list_capacity,TRUE,5,119,0.49,0.47,0.00,0.00,0.00,0.00,0.50
array_list_sort,TRUE,5,117,0.47,0.46,0.00,0.00,0.00,0.00,0.49
array_list_get_at,TRUE,6,145,0.28,0.25,0.00,0.00,0.00,0.01,0.30
array_list_get_at_ptr,TRUE,5,142,0.49,0.48,0.00,0.00,0.00,0.00,0.51
array_list_length,TRUE,5,120,0.47,0.46,0.00,0.00,0.00,0.00,0.49
array_list_init_dynamic,TRUE,6,90,0.82,0.80,0.00,0.00,0.00,0.00,0.84
array_list_back,TRUE,6,149,0.79,0.76,0.00,0.00,0.00,0.01,0.82
array_eq,TRUE,6,749,0.68,0.60,0.00,0.00,0.00,0.06,0.71
array_list_init_static,TRUE,6,151,0.88,0.86,0.00,0.00,0.00,0.00,0.90
array_list_front,TRUE,6,146,1.04,1.01,0.00,0.00,0.00,0.01,1.06
array_eq_c_str_ignore_case,TRUE,5,345,0.07,0.04,0.00,0.00,0.01,0.08
byte_buf_append,TRUE,5,99,0.08,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_advance,TRUE,6,173,0.14,0.12,0.00,0.00,0.00,0.00,0.16
array_list_pop_back,TRUE,5,142,1.38,1.36,0.00,0.00,0.00,0.01,1.40
array_list_pop_front,TRUE,5,161,1.51,1.47,0.00,0.00,0.00,0.02,1.54
byte_buf_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_clean_up_secure,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clear,TRUE,5,75,1.78,1.76,0.00,0.00,0.00,0.00,1.80
byte_buf_append_dynamic,TRUE,7,165,0.24,0.21,0.00,0.00,0.00,0.01,0.27
byte_buf_eq_c_str,TRUE,5,350,0.07,0.05,0.00,0.00,0.01,0.09
array_eq_c_str,TRUE,6,980,0.71,0.50,0.01,0.00,0.00,0.18,0.75
byte_buf_from_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_erase,TRUE,5,164,1.85,1.82,0.00,0.00,0.00,0.01,1.88
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.07,0.04,0.00,0.00,0.01,0.09
byte_buf_from_empty_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_init,TRUE,6,65,0.03,0.02,0.00,0.00,0.00,0.00,0.04
byte_buf_append_with_lookup,TRUE,5,455,0.47,0.40,0.00,0.00,0.00,0.05,0.50
array_list_swap_contents,TRUE,6,194,1.80,1.78,0.00,0.00,0.00,0.01,1.83
array_list_ensure_capacity,TRUE,6,166,2.16,2.14,0.00,0.00,0.00,0.01,2.19
byte_buf_from_c_str,TRUE,5,642,0.22,0.15,0.00,0.00,0.00,0.05,0.25
array_list_push_back,TRUE,7,204,2.29,2.27,0.00,0.00,0.00,0.01,2.32
array_list_shrink_to_fit,TRUE,6,190,2.48,2.45,0.00,0.00,0.00,0.01,2.51
byte_buf_init_copy_from_cursor,TRUE,6,161,0.09,0.06,0.00,0.00,0.00,0.01,0.11
byte_buf_reserve,TRUE,12,82,0.04,0.02,0.00,0.00,0.00,0.00,0.06
byte_buf_reserve_relative,TRUE,6,132,0.08,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_reset,TRUE,5,92,0.06,0.05,0.00,0.00,0.00,0.00,0.08
byte_buf_eq,TRUE,6,787,0.76,0.65,0.01,0.00,0.00,0.08,0.80
byte_buf_write_be16,TRUE,5,119,0.06,0.05,0.00,0.00,0.00,0.00,0.08
byte_buf_secure_zero,TRUE,5,93,0.08,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_cat,TRUE,8,316,0.92,0.86,0.01,0.00,0.00,0.03,0.97
byte_buf_write_be32,TRUE,5,119,0.07,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_write,TRUE,5,195,0.22,0.19,0.00,0.00,0.00,0.02,0.24
byte_buf_write_be64,TRUE,5,119,0.07,0.05,0.00,0.00,0.00,0.01,0.09
array_list_pop_front_n,TRUE,5,178,3.13,3.07,0.00,0.00,0.00,0.03,3.16
byte_buf_write_u8,TRUE,5,116,0.07,0.05,0.00,0.00,0.00,0.01,0.09
