Name,Timing,Result
is_power_of_two_unsat_test,0.861491,passed
add_size_checked_unsat_test,0.97571,passed
ptr_eq_unsat_test,1.01207,passed
array_list_clean_up_unsat_test,1.03517,passed
add_size_saturating_unsat_test,1.08165,passed
round_up_to_power_of_two_unsat_test,1.19393,passed
nospec_mask_unsat_test,1.24067,passed
mul_size_checked_unsat_test,1.34219,passed
mul_size_saturating_unsat_test,1.44175,passed
array_list_capacity_unsat_test,1.4861,passed
array_list_sort_unsat_test,1.50238,passed
array_list_get_at_unsat_test,1.54216,passed
array_list_get_at_ptr_unsat_test,1.63134,passed
array_list_length_unsat_test,1.63528,passed
array_list_init_dynamic_unsat_test,1.8593,passed
array_list_back_unsat_test,1.8781,passed
array_eq_unsat_test,1.8769,passed
array_list_init_static_unsat_test,1.9249,passed
array_list_front_unsat_test,2.21275,passed
array_eq_c_str_ignore_case_unsat_test,1.35527,passed
byte_buf_append_unsat_test,1.42063,passed
byte_buf_advance_unsat_test,1.47286,passed
array_list_pop_back_unsat_test,2.53585,passed
array_list_pop_front_unsat_test,2.65792,passed
byte_buf_clean_up_unsat_test,1.24,passed
byte_buf_clean_up_secure_unsat_test,1.2043,passed
array_list_clear_unsat_test,2.82123,passed
byte_buf_append_dynamic_unsat_test,1.73408,passed
byte_buf_eq_c_str_unsat_test,1.41836,passed
array_eq_c_str_unsat_test,2.12413,passed
byte_buf_from_array_unsat_test,1.14958,passed
array_list_erase_unsat_test,3.01423,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.41752,passed
byte_buf_from_empty_array_unsat_test,1.21624,passed
byte_buf_init_unsat_test,1.21734,passed
byte_buf_append_with_lookup_unsat_test,1.94003,passed
array_list_swap_contents_unsat_test,3.22274,passed
array_list_ensure_capacity_unsat_test,3.26935,passed
byte_buf_from_c_str_unsat_test,1.55417,passed
array_list_push_back_unsat_test,3.52712,passed
array_list_shrink_to_fit_unsat_test,3.61634,passed
byte_buf_init_copy_from_cursor_unsat_test,1.38209,passed
byte_buf_reserve_unsat_test,1.2364,passed
byte_buf_reserve_relative_unsat_test,1.25741,passed
byte_buf_reset_unsat_test,1.27347,passed
byte_buf_eq_unsat_test,2.32004,passed
byte_buf_write_be16_unsat_test,1.25716,passed
byte_buf_secure_zero_unsat_test,1.31282,passed
byte_buf_cat_unsat_test,2.69722,passed
byte_buf_write_be32_unsat_test,1.23441,passed
byte_buf_write_unsat_test,1.41279,passed
byte_buf_write_be64_unsat_test,1.28663,passed
array_list_pop_front_n_unsat_test,4.24701,passed
byte_buf_write_u8_unsat_test,1.24339,passed
byte_cursor_advance_unsat_test,1.27827,passed
byte_buf_init_copy_unsat_test,2.18521,passed
array_eq_ignore_case_unsat_test,3.51269,passed
byte_cursor_advance_nospec_unsat_test,1.44067,passed
byte_buf_write_from_whole_cursor_unsat_test,1.65135,passed
byte_buf_write_from_whole_buffer_unsat_test,1.68611,passed
byte_cursor_eq_c_str_unsat_test,1.25891,passed
byte_cursor_from_array_unsat_test,1.13209,passed
byte_cursor_compare_lexical_unsat_test,1.79676,passed
byte_cursor_eq_byte_buf_unsat_test,1.67909,passed
byte_cursor_eq_unsat_test,1.7672,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.38697,passed
byte_cursor_from_buf_unsat_test,1.29217,passed
byte_cursor_from_string_unsat_test,1.28445,passed
byte_cursor_from_c_str_unsat_test,1.3582,passed
byte_cursor_left_trim_pred_unsat_test,1.3102,passed
byte_buf_eq_ignore_case_unsat_test,3.64622,passed
byte_cursor_read_be16_unsat_test,1.28397,passed
byte_cursor_read_be32_unsat_test,1.29625,passed
byte_cursor_read_be64_unsat_test,1.29435,passed
byte_cursor_read_u8_unsat_test,1.29061,passed
byte_cursor_satisfies_pred_unsat_test,1.24885,passed
byte_cursor_right_trim_pred_unsat_test,1.35484,passed
hash_ptr_unsat_test,1.14874,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.68923,passed
byte_cursor_read_unsat_test,1.75241,passed
byte_buf_write_from_whole_string_unsat_test,2.77155,passed
byte_cursor_compare_lookup_unsat_test,2.65073,passed
hash_array_ignore_case_unsat_test,1.23941,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.28774,passed
hash_string_unsat_test,1.71957,passed
byte_cursor_trim_pred_unsat_test,2.01804,passed
array_list_copy_unsat_test,6.4499,passed
byte_cursor_eq_ignore_case_unsat_test,2.76428,passed
hash_callback_string_destroy_unsat_test,1.4985,passed
array_list_comparator_string_unsat_test,6.66263,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.3175,passed
hash_c_string_unsat_test,1.91247,passed
hash_table_get_entry_count_unsat_test,1.6158,passed
hash_table_move_unsat_test,1.58655,passed
hash_iter_done_unsat_test,1.99429,passed
linked_list_init_unsat_test,0.962786,passed
hash_table_init_unbounded_unsat_test,1.69381,passed
hash_table_clean_up_unsat_test,1.94536,passed
hash_table_clear_unsat_test,1.9484,passed
linked_list_remove_unsat_test,1.03855,passed
hash_callback_c_str_eq_unsat_test,2.66417,passed
linked_list_prev_unsat_test,1.06045,passed
hash_table_init_bounded_unsat_test,2.19465,passed
hash_table_swap_unsat_test,2.46014,passed
linked_list_next_unsat_test,1.05268,passed
linked_list_node_reset_unsat_test,1.05575,passed
hash_iter_begin_unsat_test,3.06198,passed
hash_callback_string_eq_unsat_test,3.51801,passed
linked_list_insert_after_unsat_test,1.02226,passed
hash_byte_cursor_ptr_unsat_test,3.9214,passed
linked_list_insert_before_unsat_test,1.04198,passed
hash_iter_begin_done_unsat_test,3.6117,passed
hash_iter_next_unsat_test,3.64498,passed
linked_list_front_unsat_test,2.67347,passed
string_bytes_unsat_test,1.40195,passed
linked_list_begin_unsat_test,3.08173,passed
linked_list_back_unsat_test,3.36631,passed
linked_list_end_unsat_test,3.26144,passed
linked_list_pop_back_unsat_test,3.49316,passed
string_new_from_c_str_unsat_test,1.68546,passed
linked_list_pop_front_unsat_test,3.70616,passed
linked_list_rend_unsat_test,3.02217,passed
string_destroy_unsat_test,1.38386,passed
linked_list_rbegin_unsat_test,3.31229,passed
linked_list_push_back_unsat_test,3.72883,passed
string_destroy_secure_unsat_test,1.57546,passed
hash_table_find_unsat_test,5.38164,passed
string_new_from_array_unsat_test,2.56754,passed
linked_list_push_front_unsat_test,3.87397,passed
string_new_from_string_unsat_test,2.20607,passed
string_eq_byte_buf_ignore_case_unsat_test,3.30748,passed
string_eq_c_str_unsat_test,2.97236,passed
string_eq_ignore_case_unsat_test,3.23022,passed
priority_queue_clean_up_unsat_test,1.23465,passed
ring_buffer_clean_up_unsat_test,1.23272,passed
string_eq_unsat_test,4.00273,passed
ring_buffer_init_unsat_test,1.08586,passed
string_eq_byte_cursor_unsat_test,3.91259,passed
priority_queue_init_static_unsat_test,1.68557,passed
priority_queue_size_unsat_test,2.81719,passed
string_eq_byte_buf_unsat_test,4.2863,passed
priority_queue_capacity_unsat_test,2.78533,passed
string_compare_unsat_test,4.53638,passed
priority_queue_init_dynamic_unsat_test,2.24806,passed
byte_buf_eq2_unsat_test,1.88033,passed
priority_queue_top_unsat_test,2.97139,passed
string_eq_byte_cursor_ignore_case_unsat_test,5.53996,passed
string_eq_c_str_ignore_case_unsat_test,5.56906,passed
hash_table_remove_unsat_test,8.79821,passed
hash_table_foreach_unsat_test,9.42348,passed
priority_queue_s_sift_either_unsat_test,5.66389,passed
hash_table_create_unsat_test,11.7254,passed
priority_queue_s_remove_node_unsat_test,6.5542,passed
priority_queue_s_sift_down_unsat_test,6.68445,passed
hash_table_put_unsat_test,12.1442,passed
priority_queue_remove_unsat_test,6.77029,passed
array_list_swap_unsat_test,18.5131,passed
priority_queue_s_sift_up_unsat_test,7.64777,passed
linked_list_swap_contents_unsat_test,11.4017,passed
priority_queue_pop_unsat_test,7.58284,passed
array_list_set_at_unsat_test,19.9912,passed
ring_buffer_acquire_unsat_test,10.2665,passed
ring_buffer_buf_belongs_to_pool_unsat_test,16.1062,passed
ring_buffer_acquire_up_to_unsat_test,24.0323,passed
hash_table_eq_unsat_test,31.7372,passed
ring_buffer_release_unsat_test,25.4116,passed
hash_iter_delete_unsat_test,36.679,passed
hash_table_foreach_deep_loose_unsat_test,30.4819,passed
hash_table_foreach_deep_precise_unsat_test,34.9788,passed
priority_queue_push_ref_unsat_test,54.5124,passed
priority_queue_push_unsat_test,56.4071,passed
priority_queue_s_swap_unsat_test,58.5018,passed
