Name,Timing,Result
is_power_of_two_unsat_test,0.850212,passed
array_list_clean_up_unsat_test,0.935632,passed
ptr_eq_unsat_test,0.954372,passed
add_size_checked_unsat_test,1.00126,passed
add_size_saturating_unsat_test,1.00716,passed
nospec_mask_unsat_test,1.01161,passed
round_up_to_power_of_two_unsat_test,1.16772,passed
array_list_get_at_unsat_test,1.32811,passed
mul_size_checked_unsat_test,1.40356,passed
mul_size_saturating_unsat_test,1.42821,passed
array_list_capacity_unsat_test,1.49391,passed
array_list_length_unsat_test,1.487,passed
array_list_sort_unsat_test,1.49718,passed
array_list_get_at_ptr_unsat_test,1.57262,passed
array_list_init_dynamic_unsat_test,1.85554,passed
array_list_init_static_unsat_test,1.95625,passed
array_list_front_unsat_test,2.04922,passed
array_list_back_unsat_test,2.08727,passed
byte_buf_append_unsat_test,1.1498,passed
array_eq_c_str_ignore_case_unsat_test,1.29839,passed
byte_buf_advance_unsat_test,1.29869,passed
byte_buf_clean_up_unsat_test,1.04048,passed
byte_buf_append_dynamic_unsat_test,1.44494,passed
byte_buf_clean_up_secure_unsat_test,1.05183,passed
array_list_pop_back_unsat_test,2.55266,passed
array_list_pop_front_unsat_test,2.74745,passed
byte_buf_eq_c_str_unsat_test,1.26342,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.27158,passed
array_list_clear_unsat_test,2.84761,passed
byte_buf_from_array_unsat_test,1.0445,passed
byte_buf_append_with_lookup_unsat_test,1.83813,passed
array_list_shrink_to_fit_unsat_test,3.0556,passed
byte_buf_from_empty_array_unsat_test,1.06068,passed
byte_buf_init_unsat_test,1.0775,passed
array_list_swap_contents_unsat_test,3.20688,passed
byte_buf_reserve_unsat_test,1.10378,passed
array_list_ensure_capacity_unsat_test,3.47974,passed
byte_buf_init_copy_from_cursor_unsat_test,1.2975,passed
byte_buf_reserve_relative_unsat_test,1.21673,passed
byte_buf_secure_zero_unsat_test,1.20754,passed
byte_buf_reset_unsat_test,1.22379,passed
array_eq_c_str_unsat_test,2.96636,passed
array_list_erase_unsat_test,3.90282,passed
byte_buf_write_be16_unsat_test,1.15881,passed
byte_buf_write_be32_unsat_test,1.19385,passed
array_eq_unsat_test,3.94315,passed
byte_buf_write_be64_unsat_test,1.20201,passed
byte_buf_write_unsat_test,1.47259,passed
byte_buf_write_u8_unsat_test,1.18922,passed
byte_cursor_advance_unsat_test,1.26651,passed
byte_buf_cat_unsat_test,3.11349,passed
byte_cursor_advance_nospec_unsat_test,1.44065,passed
byte_buf_write_from_whole_cursor_unsat_test,1.70449,passed
byte_buf_write_from_whole_buffer_unsat_test,1.78006,passed
array_eq_ignore_case_unsat_test,3.68934,passed
byte_cursor_from_array_unsat_test,1.02442,passed
byte_cursor_eq_c_str_unsat_test,1.28906,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.28753,passed
byte_cursor_from_buf_unsat_test,1.12415,passed
byte_cursor_from_string_unsat_test,1.15704,passed
byte_cursor_left_trim_pred_unsat_test,1.22205,passed
byte_buf_from_c_str_unsat_test,3.26417,passed
byte_buf_eq_ignore_case_unsat_test,3.86663,passed
byte_buf_eq_unsat_test,3.99069,passed
byte_cursor_compare_lexical_unsat_test,2.37903,passed
byte_cursor_read_be16_unsat_test,1.27645,passed
