job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
ptr_eq,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_checked,TRUE,4,76,0.14,0.13,0.00,0.00,0.00,0.00,0.16
array_list_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
add_size_saturating,TRUE,4,87,0.17,0.16,0.00,0.00,0.00,0.00,0.19
round_up_to_power_of_two,TRUE,4,549,0.28,0.23,0.00,0.00,0.00,0.04,0.30
nospec_mask,TRUE,4,44,0.04,0.03,0.00,0.00,0.00,0.00,0.06
array_eq_c_str_ignore_case,TRUE,5,345,0.07,0.04,0.00,0.00,0.01,0.08
mul_size_checked,TRUE,4,47,0.51,0.50,0.00,0.00,0.00,0.00,0.52
array_list_length,TRUE,5,120,0.47,0.45,0.00,0.00,0.00,0.00,0.49
mul_size_saturating,TRUE,4,78,0.58,0.56,0.00,0.00,0.00,0.01,0.59
array_list_capacity,TRUE,5,119,0.46,0.45,0.00,0.00,0.00,0.00,0.49
array_list_get_at_ptr,TRUE,5,142,0.52,0.50,0.00,0.00,0.00,0.00,0.54
array_eq,TRUE,6,749,0.67,0.58,0.00,0.00,0.00,0.06,0.69
array_list_init_dynamic,TRUE,6,90,0.82,0.80,0.00,0.00,0.00,0.00,0.84
array_list_get_at,TRUE,6,152,0.76,0.75,0.00,0.00,0.00,0.01,0.79
array_list_init_static,TRUE,6,151,0.96,0.94,0.00,0.00,0.00,0.01,0.98
array_eq_c_str,TRUE,6,980,0.70,0.49,0.01,0.00,0.00,0.18,0.74
array_list_back,TRUE,6,159,0.98,0.95,0.00,0.00,0.00,0.01,1.01
array_list_front,TRUE,6,151,1.05,1.02,0.00,0.00,0.00,0.01,1.08
byte_buf_advance,TRUE,6,173,0.13,0.11,0.00,0.00,0.00,0.00,0.16
byte_buf_append,TRUE,5,130,0.11,0.09,0.00,0.00,0.00,0.01,0.13
byte_buf_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_clean_up_secure,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_list_sort,TRUE,5,117,0.50,0.48,0.00,0.00,0.00,0.00,0.52
array_list_pop_back,TRUE,5,142,1.35,1.33,0.00,0.00,0.00,0.01,1.37
byte_buf_append_dynamic,TRUE,7,183,0.20,0.17,0.00,0.00,0.00,0.01,0.22
array_list_clear,TRUE,5,75,1.74,1.72,0.00,0.00,0.00,0.00,1.76
byte_buf_eq_c_str,TRUE,5,350,0.08,0.05,0.00,0.00,0.01,0.09
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.07,0.05,0.00,0.00,0.01,0.09
byte_buf_from_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_append_with_lookup,TRUE,5,455,0.51,0.43,0.00,0.00,0.00,0.06,0.54
byte_buf_from_empty_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
