Name,Timing,Result
is_power_of_two_unsat_test,0.877323,passed
ptr_eq_unsat_test,0.953239,passed
add_size_checked_unsat_test,0.96513,passed
array_list_clean_up_unsat_test,0.96985,passed
add_size_saturating_unsat_test,1.03462,passed
round_up_to_power_of_two_unsat_test,1.1501,passed
nospec_mask_unsat_test,1.19469,passed
array_eq_c_str_ignore_case_unsat_test,1.32045,passed
mul_size_checked_unsat_test,1.38137,passed
array_list_length_unsat_test,1.38011,passed
mul_size_saturating_unsat_test,1.45034,passed
array_list_capacity_unsat_test,1.4988,passed
array_list_get_at_ptr_unsat_test,1.60226,passed
array_eq_unsat_test,1.76374,passed
array_list_init_dynamic_unsat_test,1.81859,passed
array_list_get_at_unsat_test,1.87427,passed
array_list_init_static_unsat_test,2.00536,passed
array_eq_c_str_unsat_test,2.04632,passed
array_list_back_unsat_test,2.10316,passed
array_list_front_unsat_test,2.11213,passed
byte_buf_advance_unsat_test,1.29233,passed
byte_buf_append_unsat_test,1.26415,passed
byte_buf_clean_up_unsat_test,1.02732,passed
byte_buf_clean_up_secure_unsat_test,1.02827,passed
array_list_sort_unsat_test,1.55428,passed
array_list_pop_back_unsat_test,2.43233,passed
byte_buf_append_dynamic_unsat_test,1.37559,passed
array_list_clear_unsat_test,2.68111,passed
byte_buf_eq_c_str_unsat_test,1.24383,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.19998,passed
byte_buf_from_array_unsat_test,1.04429,passed
byte_buf_append_with_lookup_unsat_test,1.7212,passed
byte_buf_from_empty_array_unsat_test,1.06358,passed
byte_buf_init_unsat_test,1.07201,passed
byte_buf_from_c_str_unsat_test,1.35843,passed
array_list_ensure_capacity_unsat_test,3.30602,passed
byte_buf_init_copy_from_cursor_unsat_test,1.19754,passed
byte_buf_reserve_unsat_test,1.05242,passed
array_eq_ignore_case_unsat_test,3.44952,passed
byte_buf_reserve_relative_unsat_test,1.18699,passed
byte_buf_eq_unsat_test,2.07458,passed
byte_buf_reset_unsat_test,1.11901,passed
byte_buf_secure_zero_unsat_test,1.14855,passed
byte_buf_write_be16_unsat_test,1.14365,passed
array_list_pop_front_unsat_test,3.57884,passed
byte_buf_write_be32_unsat_test,1.15686,passed
byte_buf_write_unsat_test,1.36506,passed
array_list_pop_front_n_unsat_test,3.80589,passed
byte_buf_write_be64_unsat_test,1.14553,passed
array_list_swap_contents_unsat_test,3.08245,passed
byte_buf_write_u8_unsat_test,1.15195,passed
byte_buf_init_copy_unsat_test,2.05003,passed
byte_cursor_advance_unsat_test,1.14415,passed
byte_buf_write_from_whole_buffer_unsat_test,1.61439,passed
byte_cursor_advance_nospec_unsat_test,1.28239,passed
byte_buf_write_from_whole_cursor_unsat_test,1.62028,passed
byte_buf_cat_unsat_test,3.27392,passed
byte_cursor_from_array_unsat_test,1.06069,passed
byte_cursor_eq_c_str_unsat_test,1.21714,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.20987,passed
byte_cursor_from_buf_unsat_test,1.17229,passed
byte_cursor_eq_byte_buf_unsat_test,1.48262,passed
byte_cursor_from_string_unsat_test,1.17706,passed
byte_cursor_from_c_str_unsat_test,1.29311,passed
byte_cursor_eq_unsat_test,1.60415,passed
byte_cursor_compare_lexical_unsat_test,1.68526,passed
byte_cursor_left_trim_pred_unsat_test,1.15997,passed
array_list_shrink_to_fit_unsat_test,4.99432,passed
byte_buf_eq_ignore_case_unsat_test,3.41122,passed
byte_cursor_read_be16_unsat_test,1.16465,passed
byte_cursor_read_unsat_test,1.44202,passed
byte_cursor_read_be32_unsat_test,1.22469,passed
byte_cursor_read_be64_unsat_test,1.14543,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.52632,passed
byte_cursor_read_u8_unsat_test,1.20991,passed
byte_cursor_satisfies_pred_unsat_test,1.13442,passed
byte_cursor_right_trim_pred_unsat_test,1.17553,passed
hash_ptr_unsat_test,1.02617,passed
hash_array_ignore_case_unsat_test,1.10451,passed
byte_cursor_eq_ignore_case_unsat_test,2.43214,passed
byte_buf_write_from_whole_string_unsat_test,3.0955,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.21588,passed
byte_cursor_compare_lookup_unsat_test,2.67113,passed
array_list_push_back_unsat_test,6.17952,passed
byte_cursor_trim_pred_unsat_test,1.7711,passed
hash_string_unsat_test,1.59283,passed
hash_callback_string_destroy_unsat_test,1.32856,passed
array_list_comparator_string_unsat_test,6.42398,passed
hash_c_string_unsat_test,1.77556,passed
hash_table_move_unsat_test,1.43324,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.29596,passed
hash_table_get_entry_count_unsat_test,1.47239,passed
hash_iter_done_unsat_test,1.93451,passed
array_list_copy_unsat_test,7.14272,passed
hash_table_clean_up_unsat_test,1.82073,passed
linked_list_init_unsat_test,0.853579,passed
hash_callback_c_str_eq_unsat_test,2.42454,passed
hash_table_clear_unsat_test,1.88668,passed
linked_list_remove_unsat_test,0.884238,passed
hash_table_init_unbounded_unsat_test,1.67533,passed
linked_list_prev_unsat_test,0.8951,passed
hash_table_swap_unsat_test,2.31075,passed
hash_iter_begin_unsat_test,2.98602,passed
linked_list_next_unsat_test,0.857096,passed
linked_list_node_reset_unsat_test,0.877221,passed
hash_table_init_bounded_unsat_test,2.08181,passed
hash_callback_string_eq_unsat_test,3.22283,passed
linked_list_insert_after_unsat_test,0.840557,passed
linked_list_insert_before_unsat_test,0.833914,passed
hash_iter_begin_done_unsat_test,3.34726,passed
array_list_erase_unsat_test,8.57026,passed
hash_iter_next_unsat_test,3.58852,passed
hash_byte_cursor_ptr_unsat_test,3.88549,passed
linked_list_front_unsat_test,2.53909,passed
string_bytes_unsat_test,1.2177,passed
linked_list_begin_unsat_test,2.79366,passed
linked_list_back_unsat_test,3.19596,passed
linked_list_end_unsat_test,3.17947,passed
linked_list_pop_front_unsat_test,3.14992,passed
linked_list_pop_back_unsat_test,3.22351,passed
string_destroy_unsat_test,1.12167,passed
string_new_from_c_str_unsat_test,1.43615,passed
string_destroy_secure_unsat_test,1.22376,passed
linked_list_rend_unsat_test,2.81315,passed
linked_list_rbegin_unsat_test,2.93726,passed
string_new_from_string_unsat_test,1.80639,passed
hash_table_find_unsat_test,4.92624,passed
linked_list_push_back_unsat_test,3.48106,passed
linked_list_push_front_unsat_test,3.5498,passed
string_new_from_array_unsat_test,2.34345,passed
priority_queue_clean_up_unsat_test,1.04545,passed
string_eq_c_str_unsat_test,2.80971,passed
string_eq_byte_buf_ignore_case_unsat_test,3.14006,passed
ring_buffer_clean_up_unsat_test,1.11717,passed
priority_queue_init_static_unsat_test,1.5382,passed
ring_buffer_init_unsat_test,1.00529,passed
string_eq_ignore_case_unsat_test,3.05482,passed
string_eq_unsat_test,3.83607,passed
string_eq_byte_buf_unsat_test,3.7881,passed
string_eq_byte_cursor_unsat_test,3.75756,passed
priority_queue_size_unsat_test,2.47664,passed
priority_queue_capacity_unsat_test,2.56506,passed
priority_queue_init_dynamic_unsat_test,1.97709,passed
string_compare_unsat_test,4.08316,passed
byte_buf_eq2_unsat_test,1.55829,passed
priority_queue_top_unsat_test,2.55607,passed
string_eq_byte_cursor_ignore_case_unsat_test,4.90575,passed
