job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,15,0.01,0.01,0.00,0.00,0.00,0.00,0.02
ptr_eq,TRUE,4,15,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
add_size_checked,TRUE,4,76,0.14,0.13,0.00,0.00,0.00,0.00,0.15
add_size_saturating,TRUE,4,87,0.17,0.16,0.00,0.00,0.00,0.00,0.18
nospec_mask,TRUE,4,44,0.04,0.03,0.00,0.00,0.00,0.00,0.06
round_up_to_power_of_two,TRUE,4,549,0.28,0.23,0.00,0.00,0.00,0.04,0.29
array_eq_c_str_ignore_case,TRUE,5,345,0.06,0.04,0.00,0.00,0.01,0.08
mul_size_checked,TRUE,4,47,0.47,0.45,0.00,0.00,0.00,0.00,0.48
mul_size_saturating,TRUE,4,78,0.53,0.51,0.00,0.00,0.00,0.01,0.54
array_list_capacity,TRUE,5,119,0.45,0.44,0.00,0.00,0.00,0.00,0.47
array_list_length,TRUE,5,120,0.48,0.46,0.00,0.00,0.00,0.00,0.49
array_list_get_at_ptr,TRUE,5,142,0.49,0.48,0.00,0.00,0.00,0.00,0.51
array_eq,TRUE,6,749,0.69,0.60,0.00,0.00,0.00,0.07,0.73
array_list_init_dynamic,TRUE,6,90,0.88,0.86,0.00,0.00,0.00,0.00,0.89
array_list_init_static,TRUE,6,151,0.89,0.87,0.00,0.00,0.00,0.00,0.91
array_eq_c_str,TRUE,6,980,0.72,0.51,0.01,0.00,0.00,0.18,0.76
array_list_get_at,TRUE,6,152,0.80,0.78,0.00,0.00,0.00,0.01,0.83
array_list_back,TRUE,6,159,1.01,0.98,0.00,0.00,0.00,0.01,1.03
array_list_front,TRUE,6,151,1.03,1.00,0.00,0.00,0.00,0.01,1.05
byte_buf_append,TRUE,5,130,0.11,0.09,0.00,0.00,0.00,0.01,0.14
byte_buf_advance,TRUE,6,173,0.14,0.12,0.00,0.00,0.00,0.01,0.16
array_list_sort,TRUE,5,117,0.47,0.45,0.00,0.00,0.00,0.00,0.48
byte_buf_clean_up,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_append_dynamic,TRUE,7,183,0.19,0.17,0.00,0.00,0.00,0.01,0.22
byte_buf_clean_up_secure,TRUE,5,22,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_list_pop_back,TRUE,5,142,1.37,1.35,0.00,0.00,0.00,0.01,1.39
byte_buf_eq_c_str,TRUE,5,350,0.07,0.05,0.00,0.00,0.01,0.09
array_list_clear,TRUE,5,75,1.74,1.73,0.00,0.00,0.00,0.00,1.75
byte_buf_eq_c_str_ignore_case,TRUE,5,350,0.08,0.05,0.00,0.00,0.01,0.09
byte_buf_append_with_lookup,TRUE,5,455,0.49,0.41,0.00,0.00,0.00,0.06,0.53
byte_buf_init,TRUE,6,65,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_from_array,TRUE,5,41,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_from_empty_array,TRUE,5,41,0.02,0.01,0.00,0.00,0.00,0.00,0.04
array_eq_ignore_case,TRUE,6,1956,2.10,2.01,0.00,0.00,0.00,0.07,2.12
byte_buf_init_copy_from_cursor,TRUE,6,173,0.09,0.06,0.00,0.00,0.00,0.01,0.11
byte_buf_from_c_str,TRUE,5,642,0.22,0.15,0.00,0.00,0.00,0.05,0.25
byte_buf_reset,TRUE,5,92,0.06,0.05,0.00,0.00,0.00,0.00,0.08
byte_buf_reserve,TRUE,6,96,0.05,0.03,0.00,0.00,0.00,0.00,0.06
array_list_ensure_capacity,TRUE,6,171,2.27,2.24,0.00,0.00,0.00,0.01,2.29
byte_buf_secure_zero,TRUE,5,93,0.07,0.05,0.00,0.00,0.00,0.00,0.09
byte_buf_reserve_relative,TRUE,6,136,0.09,0.08,0.00,0.00,0.00,0.01,0.12
array_list_pop_front,TRUE,5,167,2.41,2.37,0.00,0.00,0.00,0.02,2.43
byte_buf_eq,TRUE,6,787,0.76,0.66,0.01,0.00,0.00,0.08,0.81
byte_buf_write_be16,TRUE,5,120,0.07,0.05,0.00,0.00,0.00,0.00,0.09
byte_buf_write_be32,TRUE,5,120,0.07,0.05,0.00,0.00,0.00,0.01,0.08
byte_buf_write,TRUE,5,206,0.29,0.25,0.00,0.00,0.00,0.02,0.31
byte_buf_write_be64,TRUE,5,120,0.06,0.04,0.00,0.00,0.00,0.00,0.08
byte_buf_init_copy,TRUE,5,877,0.83,0.73,0.00,0.00,0.00,0.08,0.86
byte_buf_write_u8,TRUE,5,118,0.09,0.06,0.00,0.00,0.00,0.01,0.10
array_list_swap_contents,TRUE,6,194,1.87,1.85,0.00,0.00,0.00,0.00,1.90
array_list_pop_front_n,TRUE,5,184,2.90,2.84,0.00,0.00,0.00,0.03,2.92
byte_cursor_advance,TRUE,4,140,0.11,0.09,0.00,0.00,0.00,0.00,0.12
byte_cursor_advance_nospec,TRUE,4,175,0.28,0.25,0.00,0.00,0.00,0.02,0.30
byte_buf_write_from_whole_buffer,TRUE,6,266,0.37,0.31,0.00,0.00,0.00,0.03,0.40
byte_buf_write_from_whole_cursor,TRUE,5,246,0.40,0.35,0.00,0.00,0.00,0.02,0.42
