Name,Timing,Result
is_power_of_two_unsat_test,0.831946,passed
ptr_eq_unsat_test,0.934424,passed
array_list_clean_up_unsat_test,0.94098,passed
add_size_checked_unsat_test,0.976948,passed
add_size_saturating_unsat_test,0.983146,passed
nospec_mask_unsat_test,1.00289,passed
round_up_to_power_of_two_unsat_test,1.11847,passed
array_eq_c_str_ignore_case_unsat_test,1.16929,passed
mul_size_checked_unsat_test,1.31432,passed
mul_size_saturating_unsat_test,1.36375,passed
array_list_capacity_unsat_test,1.43533,passed
array_list_length_unsat_test,1.51584,passed
array_list_get_at_ptr_unsat_test,1.53978,passed
array_eq_unsat_test,1.86964,passed
array_list_init_dynamic_unsat_test,1.85288,passed
array_list_init_static_unsat_test,1.85418,passed
array_eq_c_str_unsat_test,1.89845,passed
array_list_get_at_unsat_test,1.88397,passed
array_list_back_unsat_test,2.06559,passed
array_list_front_unsat_test,2.06742,passed
byte_buf_append_unsat_test,1.24527,passed
byte_buf_advance_unsat_test,1.26114,passed
array_list_sort_unsat_test,1.41501,passed
byte_buf_clean_up_unsat_test,1.01885,passed
byte_buf_append_dynamic_unsat_test,1.37848,passed
byte_buf_clean_up_secure_unsat_test,1.03609,passed
array_list_pop_back_unsat_test,2.4121,passed
byte_buf_eq_c_str_unsat_test,1.1828,passed
array_list_clear_unsat_test,2.72359,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.21457,passed
byte_buf_append_with_lookup_unsat_test,1.70696,passed
byte_buf_init_unsat_test,1.01715,passed
byte_buf_from_array_unsat_test,1.0714,passed
byte_buf_from_empty_array_unsat_test,1.05525,passed
array_eq_ignore_case_unsat_test,3.222,passed
byte_buf_init_copy_from_cursor_unsat_test,1.16553,passed
byte_buf_from_c_str_unsat_test,1.39048,passed
byte_buf_reset_unsat_test,1.03487,passed
byte_buf_reserve_unsat_test,1.10568,passed
array_list_ensure_capacity_unsat_test,3.3321,passed
byte_buf_secure_zero_unsat_test,1.07454,passed
byte_buf_reserve_relative_unsat_test,1.19434,passed
array_list_pop_front_unsat_test,3.47625,passed
byte_buf_eq_unsat_test,2.05314,passed
byte_buf_write_be16_unsat_test,1.18512,passed
byte_buf_write_be32_unsat_test,1.16798,passed
byte_buf_write_unsat_test,1.38591,passed
byte_buf_write_be64_unsat_test,1.12245,passed
byte_buf_init_copy_unsat_test,1.98068,passed
byte_buf_write_u8_unsat_test,1.13793,passed
