Name,Timing,Result
is_power_of_two_unsat_test,0.822715,passed
array_list_clean_up_unsat_test,0.929064,passed
add_size_checked_unsat_test,0.967255,passed
ptr_eq_unsat_test,0.941303,passed
add_size_saturating_unsat_test,1.01373,passed
nospec_mask_unsat_test,1.00453,passed
round_up_to_power_of_two_unsat_test,1.17151,passed
mul_size_checked_unsat_test,1.38758,passed
mul_size_saturating_unsat_test,1.4347,passed
array_list_capacity_unsat_test,1.5186,passed
array_list_length_unsat_test,1.53898,passed
array_list_sort_unsat_test,1.53665,passed
array_list_get_at_ptr_unsat_test,1.61218,passed
array_list_get_at_unsat_test,1.68005,passed
array_list_init_dynamic_unsat_test,1.8435,passed
array_list_init_static_unsat_test,1.93008,passed
array_list_back_unsat_test,2.18847,passed
array_eq_c_str_ignore_case_unsat_test,1.28208,passed
byte_buf_append_unsat_test,1.23991,passed
byte_buf_advance_unsat_test,1.34671,passed
byte_buf_clean_up_unsat_test,0.992884,passed
byte_buf_append_dynamic_unsat_test,1.41659,passed
array_list_front_unsat_test,2.46211,passed
byte_buf_clean_up_secure_unsat_test,1.02232,passed
array_list_pop_back_unsat_test,2.66762,passed
array_list_clear_unsat_test,2.81216,passed
byte_buf_eq_c_str_unsat_test,1.33377,passed
byte_buf_from_array_unsat_test,1.08908,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.37536,passed
byte_buf_append_with_lookup_unsat_test,1.89644,passed
array_list_erase_unsat_test,3.14599,passed
byte_buf_from_empty_array_unsat_test,1.05574,passed
array_list_shrink_to_fit_unsat_test,3.29858,passed
byte_buf_init_unsat_test,1.12541,passed
array_list_ensure_capacity_unsat_test,3.44681,passed
byte_buf_reserve_unsat_test,1.14699,passed
byte_buf_init_copy_from_cursor_unsat_test,1.30838,passed
array_list_swap_contents_unsat_test,3.61233,passed
byte_buf_reserve_relative_unsat_test,1.24191,passed
byte_buf_reset_unsat_test,1.27542,passed
byte_buf_secure_zero_unsat_test,1.24685,passed
array_eq_unsat_test,3.90655,passed
byte_buf_write_be16_unsat_test,1.22456,passed
byte_buf_write_be32_unsat_test,1.19554,passed
array_eq_c_str_unsat_test,3.37213,passed
byte_buf_write_be64_unsat_test,1.25649,passed
byte_buf_write_unsat_test,1.5765,passed
byte_buf_write_u8_unsat_test,1.20252,passed
array_list_pop_front_unsat_test,4.58188,passed
byte_cursor_advance_unsat_test,1.29509,passed
byte_buf_from_c_str_unsat_test,2.80431,passed
byte_cursor_advance_nospec_unsat_test,1.46053,passed
array_eq_ignore_case_unsat_test,3.89543,passed
byte_buf_write_from_whole_cursor_unsat_test,1.79634,passed
byte_buf_cat_unsat_test,3.48714,passed
byte_buf_write_from_whole_buffer_unsat_test,2.0148,passed
byte_cursor_eq_c_str_unsat_test,1.30045,passed
byte_cursor_from_array_unsat_test,1.02534,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.29683,passed
byte_cursor_from_buf_unsat_test,1.19061,passed
byte_cursor_from_string_unsat_test,1.18995,passed
byte_cursor_left_trim_pred_unsat_test,1.20668,passed
byte_buf_eq_ignore_case_unsat_test,4.00276,passed
byte_buf_eq_unsat_test,4.14426,passed
byte_cursor_eq_byte_buf_unsat_test,2.12523,passed
byte_cursor_read_be16_unsat_test,1.22024,passed
byte_cursor_compare_lexical_unsat_test,2.45615,passed
byte_cursor_eq_unsat_test,2.43581,passed
byte_cursor_satisfies_pred_unsat_test,1.19775,passed
byte_cursor_read_u8_unsat_test,1.22791,passed
hash_ptr_unsat_test,1.04444,passed
byte_cursor_right_trim_pred_unsat_test,1.23024,passed
byte_cursor_read_unsat_test,1.69815,passed
array_list_copy_unsat_test,6.1928,passed
hash_array_ignore_case_unsat_test,1.15346,passed
array_list_pop_front_n_unsat_test,6.44308,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,2.84701,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.16946,passed
byte_cursor_from_c_str_unsat_test,2.38351,passed
byte_cursor_read_be32_unsat_test,1.8333,passed
byte_cursor_read_and_fill_buffer_unsat_test,2.07423,passed
byte_cursor_eq_ignore_case_unsat_test,2.91834,passed
hash_string_unsat_test,1.78744,passed
byte_cursor_trim_pred_unsat_test,1.97008,passed
hash_callback_string_destroy_unsat_test,1.38107,passed
byte_buf_init_copy_unsat_test,4.96377,passed
byte_cursor_read_be64_unsat_test,2.74505,passed
hash_table_move_unsat_test,1.42932,passed
byte_cursor_compare_lookup_unsat_test,4.02897,passed
hash_table_get_entry_count_unsat_test,1.58124,passed
