Name,Timing,Result
add_size_checked_unsat_test,0.525396,passed
ptr_eq_unsat_test,0.575211,passed
add_size_saturating_unsat_test,0.599433,passed
nospec_mask_unsat_test,0.665047,passed
array_eq_c_str_ignore_case_unsat_test,0.695452,passed
array_eq_ignore_case_unsat_test,0.759615,passed
is_power_of_two_unsat_test,0.504689,passed
mul_size_saturating_unsat_test,0.592854,passed
array_eq_unsat_test,1.23253,passed
round_up_to_power_of_two_unsat_test,0.590844,passed
mul_size_checked_unsat_test,0.732189,passed
array_list_capacity_unsat_test,0.636065,passed
array_eq_c_str_unsat_test,1.50614,passed
array_list_clean_up_unsat_test,0.590433,passed
array_list_clear_unsat_test,0.677162,passed
array_list_ensure_capacity_unsat_test,0.795693,passed
array_list_get_at_ptr_unsat_test,0.670041,passed
array_list_get_at_unsat_test,0.905559,passed
array_list_init_dynamic_unsat_test,0.626963,passed
array_list_init_static_unsat_test,0.631175,passed
array_list_length_unsat_test,0.626822,passed
array_list_comparator_string_unsat_test,4.03227,passed
array_list_front_unsat_test,5.4982,passed
array_list_back_unsat_test,6.36667,passed
array_list_pop_back_unsat_test,4.50515,passed
array_list_pop_front_unsat_test,6.4468,passed
array_list_sort_unsat_test,0.644112,passed
array_list_copy_unsat_test,10.1641,passed
array_list_swap_contents_unsat_test,0.853669,passed
byte_buf_advance_unsat_test,0.690166,passed
array_list_shrink_to_fit_unsat_test,5.8686,passed
byte_buf_append_unsat_test,0.670128,passed
byte_buf_append_dynamic_unsat_test,0.731767,passed
array_list_swap_unsat_test,3.73496,passed
byte_buf_append_with_lookup_unsat_test,0.816219,passed
byte_buf_clean_up_unsat_test,0.617587,passed
byte_buf_clean_up_secure_unsat_test,0.59615,passed
byte_buf_cat_unsat_test,1.61362,passed
byte_buf_eq_c_str_unsat_test,0.677302,passed
byte_buf_eq_unsat_test,1.31478,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.666727,passed
byte_buf_from_array_unsat_test,0.623127,passed
byte_buf_eq_ignore_case_unsat_test,0.851016,passed
byte_buf_from_empty_array_unsat_test,0.620492,passed
byte_buf_init_unsat_test,0.615934,passed
array_list_push_back_unsat_test,12.1297,passed
byte_buf_from_c_str_unsat_test,1.38209,passed
array_list_push_front_unsat_test,10.713,passed
byte_buf_init_copy_from_cursor_unsat_test,0.68066,passed
byte_buf_reserve_unsat_test,0.626131,passed
byte_buf_reserve_relative_unsat_test,0.680066,passed
byte_buf_reset_unsat_test,0.636671,passed
byte_buf_secure_zero_unsat_test,0.655972,passed
byte_buf_write_unsat_test,0.762684,passed
byte_buf_write_be16_unsat_test,0.65628,passed
byte_buf_init_copy_unsat_test,1.71611,passed
byte_buf_write_be32_unsat_test,0.664869,passed
byte_buf_write_be64_unsat_test,0.661985,passed
byte_buf_write_from_whole_cursor_unsat_test,0.791114,passed
byte_buf_write_u8_unsat_test,0.646892,passed
byte_buf_write_from_whole_buffer_unsat_test,0.928945,passed
byte_cursor_advance_unsat_test,0.694795,passed
byte_cursor_advance_nospec_unsat_test,0.697902,passed
byte_cursor_compare_lookup_unsat_test,0.854808,passed
byte_cursor_compare_lexical_unsat_test,0.981262,passed
array_list_pop_front_n_unsat_test,17.7181,passed
byte_cursor_eq_unsat_test,1.12266,passed
byte_cursor_eq_byte_buf_unsat_test,0.92565,passed
byte_cursor_eq_c_str_unsat_test,0.648948,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.804319,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.65419,passed
byte_cursor_eq_ignore_case_unsat_test,0.763132,passed
byte_cursor_from_array_unsat_test,0.596464,passed
byte_buf_write_from_whole_string_unsat_test,2.9932,passed
byte_cursor_from_buf_unsat_test,0.644692,passed
byte_cursor_from_string_unsat_test,0.654956,passed
byte_cursor_left_trim_pred_unsat_test,0.667731,passed
byte_cursor_read_unsat_test,0.754576,passed
byte_cursor_from_c_str_unsat_test,1.22482,passed
byte_cursor_read_be16_unsat_test,0.69037,passed
byte_cursor_read_and_fill_buffer_unsat_test,0.87995,passed
byte_cursor_read_be32_unsat_test,0.721275,passed
byte_cursor_read_be64_unsat_test,0.690792,passed
byte_cursor_read_u8_unsat_test,0.678007,passed
byte_cursor_right_trim_pred_unsat_test,0.670311,passed
byte_cursor_satisfies_pred_unsat_test,0.66431,passed
byte_cursor_trim_pred_unsat_test,0.784349,passed
hash_ptr_unsat_test,0.627257,passed
hash_string_unsat_test,0.705394,passed
hash_array_ignore_case_unsat_test,0.679659,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,0.702448,passed
hash_c_string_unsat_test,0.889849,passed
hash_callback_string_destroy_unsat_test,0.72253,passed
hash_byte_cursor_ptr_unsat_test,1.4397,passed
array_list_erase_unsat_test,23.6502,passed
hash_iter_done_unsat_test,1.0462,passed
hash_iter_delete_unsat_test,1.82144,passed
hash_table_get_entry_count_unsat_test,0.772888,passed
hash_iter_begin_unsat_test,3.87888,passed
array_list_set_at_unsat_test,21.244,passed
hash_table_move_unsat_test,0.769774,passed
hash_iter_begin_done_unsat_test,4.79587,passed
hash_table_clean_up_unsat_test,1.13303,passed
hash_iter_next_unsat_test,4.87784,passed
hash_table_clear_unsat_test,1.20345,passed
hash_table_swap_unsat_test,1.7505,passed
hash_callback_string_eq_unsat_test,6.7261,passed
hash_table_init_unbounded_unsat_test,2.1447,passed
hash_table_find_unsat_test,3.21856,passed
hash_callback_c_str_eq_unsat_test,9.1294,passed
linked_list_begin_unsat_test,1.68475,passed
linked_list_back_unsat_test,2.13372,passed
linked_list_end_unsat_test,1.40606,passed
