job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
ptr_eq,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
nospec_mask,TRUE,4,48,0.05,0.04,0.00,0.00,0.00,0.00,0.06
add_size_saturating,TRUE,4,91,0.18,0.17,0.00,0.00,0.00,0.00,0.19
add_size_checked,TRUE,4,80,0.16,0.14,0.00,0.00,0.00,0.00,0.17
array_eq_c_str_ignore_case,TRUE,5,288,0.07,0.04,0.00,0.00,0.01,0.08
round_up_to_power_of_two,TRUE,4,553,0.33,0.27,0.00,0.00,0.00,0.04,0.34
mul_size_checked,TRUE,4,51,0.54,0.52,0.00,0.00,0.00,0.00,0.55
array_list_capacity,TRUE,5,126,0.49,0.47,0.00,0.00,0.00,0.00,0.51
mul_size_saturating,TRUE,4,82,0.64,0.62,0.00,0.00,0.00,0.01,0.65
array_list_length,TRUE,5,127,0.53,0.52,0.00,0.00,0.00,0.00,0.55
array_list_get_at_ptr,TRUE,5,150,0.54,0.52,0.00,0.00,0.00,0.00,0.56
array_eq_ignore_case,TRUE,6,724,0.61,0.56,0.00,0.00,0.00,0.03,0.63
array_list_init_dynamic,TRUE,6,95,0.83,0.81,0.00,0.00,0.00,0.00,0.85
array_list_get_at,TRUE,6,194,0.81,0.78,0.00,0.00,0.00,0.01,0.83
array_list_front,TRUE,6,193,0.93,0.91,0.00,0.00,0.00,0.01,0.96
array_list_init_static,TRUE,6,158,0.97,0.95,0.00,0.00,0.00,0.00,0.99
array_list_back,TRUE,6,201,1.09,1.06,0.00,0.00,0.00,0.01,1.12
byte_buf_append,TRUE,5,174,0.09,0.06,0.00,0.00,0.00,0.01,0.11
byte_buf_advance,TRUE,6,182,0.16,0.14,0.00,0.00,0.00,0.01,0.19
array_list_sort,TRUE,5,124,0.55,0.53,0.00,0.00,0.00,0.00,0.58
array_list_pop_back,TRUE,5,149,1.42,1.40,0.00,0.00,0.00,0.01,1.44
byte_buf_clean_up,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_buf_clean_up_secure,TRUE,5,26,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_append_dynamic,TRUE,7,247,0.57,0.53,0.00,0.00,0.00,0.01,0.59
byte_buf_eq_c_str,TRUE,5,293,0.06,0.03,0.00,0.00,0.01,0.08
array_list_clear,TRUE,5,80,1.92,1.90,0.00,0.00,0.00,0.00,1.93
byte_buf_eq_c_str_ignore_case,TRUE,5,293,0.07,0.05,0.00,0.00,0.01,0.08
byte_buf_from_array,TRUE,5,46,0.03,0.01,0.00,0.00,0.00,0.00,0.04
array_list_ensure_capacity,TRUE,6,179,1.99,1.97,0.00,0.00,0.00,0.00,2.01
byte_buf_from_empty_array,TRUE,5,46,0.03,0.01,0.00,0.00,0.00,0.00,0.05
byte_buf_init,TRUE,6,70,0.02,0.02,0.00,0.00,0.00,0.00,0.03
byte_buf_eq_ignore_case,TRUE,6,806,0.49,0.44,0.00,0.00,0.00,0.03,0.52
byte_buf_reserve,TRUE,6,101,0.04,0.03,0.00,0.00,0.00,0.00,0.06
byte_buf_reserve_relative,TRUE,6,142,0.11,0.09,0.00,0.00,0.00,0.01,0.13
byte_buf_reset,TRUE,5,208,0.13,0.11,0.00,0.00,0.00,0.00,0.14
byte_buf_secure_zero,TRUE,5,209,0.17,0.15,0.00,0.00,0.00,0.01,0.19
array_eq,TRUE,6,779,2.84,2.76,0.00,0.00,0.00,0.07,2.87
byte_buf_write_be64,TRUE,5,158,0.08,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_write_be16,TRUE,5,158,0.08,0.06,0.00,0.00,0.00,0.01,0.10
byte_buf_write_be32,TRUE,5,158,0.07,0.05,0.00,0.00,0.00,0.01,0.09
byte_buf_write_u8,TRUE,5,156,0.08,0.06,0.00,0.00,0.00,0.01,0.10
array_list_swap_contents,TRUE,6,204,2.17,2.14,0.00,0.00,0.00,0.01,2.20
byte_cursor_advance,TRUE,4,163,0.25,0.23,0.00,0.00,0.00,0.00,0.26
array_list_shrink_to_fit,TRUE,6,206,3.84,3.81,0.00,0.00,0.00,0.01,3.87
byte_cursor_advance_nospec,TRUE,4,188,0.55,0.51,0.00,0.00,0.00,0.02,0.57
byte_cursor_eq_c_str,TRUE,5,288,0.07,0.04,0.00,0.00,0.01,0.08
byte_cursor_eq_c_str_ignore_case,TRUE,5,288,0.06,0.04,0.00,0.00,0.01,0.08
byte_buf_eq,TRUE,6,817,2.71,2.61,0.01,0.00,0.00,0.07,2.75
byte_cursor_eq_byte_buf_ignore_case,TRUE,5,784,0.25,0.20,0.00,0.00,0.00,0.03,0.28
byte_cursor_from_array,TRUE,9,44,0.03,0.01,0.00,0.00,0.00,0.00,0.04
byte_cursor_from_buf,TRUE,5,114,0.06,0.04,0.00,0.00,0.00,0.00,0.08
byte_cursor_compare_lexical,TRUE,4,575,1.25,1.19,0.00,0.00,0.00,0.03,1.27
array_list_copy,TRUE,7,218,5.09,5.06,0.00,0.00,0.00,0.01,5.11
byte_cursor_eq_byte_buf,TRUE,5,567,0.90,0.84,0.00,0.00,0.00,0.04,0.93
byte_cursor_eq_ignore_case,TRUE,4,712,0.61,0.55,0.00,0.00,0.00,0.04,0.65
byte_buf_write,TRUE,5,593,2.63,2.60,0.00,0.00,0.00,0.02,2.66
byte_cursor_eq,TRUE,4,554,1.19,1.13,0.00,0.00,0.00,0.04,1.22
byte_cursor_left_trim_pred,TRUE,4,277,0.06,0.03,0.00,0.00,0.00,0.01,0.08
byte_cursor_from_string,TRUE,5,190,0.57,0.56,0.00,0.00,0.00,0.00,0.59
array_list_pop_front,TRUE,5,457,6.04,6.01,0.00,0.00,0.00,0.01,6.06
byte_cursor_right_trim_pred,TRUE,4,285,0.12,0.09,0.00,0.00,0.00,0.01,0.13
byte_cursor_satisfies_pred,TRUE,4,233,0.05,0.03,0.00,0.00,0.00,0.00,0.07
hash_ptr,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.03
byte_cursor_compare_lookup,TRUE,4,882,2.56,2.45,0.01,0.00,0.00,0.08,2.61
byte_cursor_read_u8,TRUE,5,409,0.71,0.67,0.00,0.00,0.00,0.02,0.72
hash_array_ignore_case,TRUE,5,131,0.04,0.02,0.00,0.00,0.00,0.01,0.06
hash_string,TRUE,5,185,0.10,0.08,0.00,0.00,0.01,0.12
byte_cursor_trim_pred,TRUE,4,460,0.67,0.60,0.00,0.00,0.00,0.03,0.70
hash_byte_cursor_ptr_ignore_case,TRUE,4,127,0.04,0.02,0.00,0.00,0.00,0.00,0.05
hash_callback_string_destroy,TRUE,5,134,0.06,0.05,0.00,0.00,0.00,0.07
byte_buf_cat,TRUE,8,488,6.85,6.77,0.01,0.00,0.00,0.04,6.90
hash_iter_done,TRUE,5,557,0.47,0.24,0.01,0.00,0.00,0.20,0.51
array_list_erase,TRUE,5,243,9.21,9.18,0.00,0.00,0.00,0.01,9.24
array_list_push_back,TRUE,7,293,9.10,9.07,0.00,0.00,0.00,0.02,9.13
hash_table_get_entry_count,TRUE,5,434,0.24,0.10,0.00,0.00,0.00,0.11,0.27
byte_cursor_read_be16,TRUE,4,197,4.30,4.27,0.00,0.00,0.00,0.01,4.33
hash_table_move,TRUE,5,433,0.24,0.13,0.00,0.00,0.00,0.10,0.27
byte_buf_init_copy_from_cursor,TRUE,6,319,7.95,7.92,0.00,0.00,0.00,0.01,7.96
hash_byte_cursor_ptr,TRUE,4,877,2.57,2.44,0.01,0.01,0.00,0.09,2.67
byte_buf_write_from_whole_buffer,TRUE,6,716,8.58,8.52,0.00,0.00,0.00,0.03,8.61
byte_buf_write_from_whole_cursor,TRUE,5,694,10.09,10.03,0.00,0.00,0.00,0.03,10.11
byte_cursor_read_be32,TRUE,4,225,8.32,8.29,0.00,0.00,0.00,0.02,8.33
hash_table_find,TRUE,5,1185,2.64,1.93,0.01,0.01,0.00,0.67,2.72
byte_buf_append_with_lookup,TRUE,5,670,14.14,14.08,0.00,0.00,0.00,0.04,14.18
hash_callback_string_eq,TRUE,6,988,11.18,11.03,0.00,0.00,0.00,0.13,11.21
hash_table_swap,TRUE,6,922,9.30,8.83,0.00,0.00,0.00,0.44,9.34
linked_list_init,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
array_list_comparator_string,TRUE,6,1003,22.55,22.41,0.00,0.00,0.00,0.12,22.58
linked_list_remove,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_cursor_read_be64,TRUE,4,280,20.33,20.29,0.00,0.00,0.00,0.02,20.35
linked_list_prev,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
byte_cursor_read,TRUE,5,675,23.83,23.76,0.00,0.00,0.00,0.04,23.84
linked_list_next,TRUE,4,19,0.02,0.01,0.00,0.00,0.00,0.00,0.03
hash_callback_c_str_eq,TRUE,6,1271,22.68,22.44,0.01,0.00,0.00,0.22,22.73
linked_list_node_reset,TRUE,4,112,1.76,1.74,0.00,0.00,0.00,0.00,1.76
