Name,Timing,Result
add_size_checked_unsat_test,0.507573,passed
add_size_saturating_unsat_test,0.53703,passed
ptr_eq_unsat_test,0.579197,passed
nospec_mask_unsat_test,0.595942,passed
array_eq_c_str_ignore_case_unsat_test,0.659228,passed
array_eq_ignore_case_unsat_test,0.716639,passed
mul_size_saturating_unsat_test,0.642991,passed
is_power_of_two_unsat_test,0.611118,passed
array_eq_unsat_test,1.21536,passed
mul_size_checked_unsat_test,0.752111,passed
round_up_to_power_of_two_unsat_test,0.69241,passed
array_list_capacity_unsat_test,0.681101,passed
array_eq_c_str_unsat_test,1.69562,passed
array_list_clean_up_unsat_test,0.559415,passed
array_list_clear_unsat_test,0.654247,passed
array_list_ensure_capacity_unsat_test,0.818545,passed
array_list_get_at_ptr_unsat_test,0.722661,passed
array_list_get_at_unsat_test,0.889724,passed
array_list_init_dynamic_unsat_test,0.637909,passed
array_list_init_static_unsat_test,0.636127,passed
array_list_length_unsat_test,0.640677,passed
array_list_comparator_string_unsat_test,2.83763,passed
array_list_front_unsat_test,4.00142,passed
array_list_pop_back_unsat_test,4.41726,passed
array_list_pop_front_unsat_test,4.12414,passed
array_list_back_unsat_test,7.2014,passed
array_list_push_back_unsat_test,4.1264,passed
array_list_sort_unsat_test,0.671552,passed
array_list_swap_contents_unsat_test,0.877558,passed
byte_buf_advance_unsat_test,0.698978,passed
byte_buf_append_unsat_test,0.698999,passed
byte_buf_append_dynamic_unsat_test,0.759757,passed
byte_buf_append_with_lookup_unsat_test,0.863302,passed
array_list_shrink_to_fit_unsat_test,6.27214,passed
array_list_copy_unsat_test,12.549,passed
byte_buf_cat_unsat_test,1.62885,passed
byte_buf_clean_up_unsat_test,0.631039,passed
byte_buf_clean_up_secure_unsat_test,0.641736,passed
byte_buf_eq_c_str_unsat_test,0.720364,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.685727,passed
byte_buf_eq_unsat_test,1.32073,passed
byte_buf_eq_ignore_case_unsat_test,0.816828,passed
byte_buf_from_array_unsat_test,0.643158,passed
array_list_swap_unsat_test,7.6827,passed
byte_buf_from_empty_array_unsat_test,0.675803,passed
byte_buf_init_unsat_test,0.708194,passed
byte_buf_from_c_str_unsat_test,1.26127,passed
byte_buf_reserve_unsat_test,0.669342,passed
byte_buf_init_copy_from_cursor_unsat_test,0.737134,passed
byte_buf_init_copy_unsat_test,1.38048,passed
byte_buf_reserve_relative_unsat_test,0.683719,passed
byte_buf_secure_zero_unsat_test,0.6487,passed
byte_buf_reset_unsat_test,0.671528,passed
byte_buf_write_be16_unsat_test,0.687906,passed
byte_buf_write_be64_unsat_test,0.656691,passed
byte_buf_write_be32_unsat_test,0.707337,passed
byte_buf_write_unsat_test,1.38271,passed
byte_buf_write_from_whole_buffer_unsat_test,0.882184,passed
byte_buf_write_u8_unsat_test,0.652629,passed
byte_buf_write_from_whole_cursor_unsat_test,0.871558,passed
byte_cursor_advance_unsat_test,0.686324,passed
byte_cursor_advance_nospec_unsat_test,0.685483,passed
byte_cursor_compare_lexical_unsat_test,1.00868,passed
byte_cursor_compare_lookup_unsat_test,0.885493,passed
byte_cursor_eq_unsat_test,1.12506,passed
array_list_pop_front_n_unsat_test,17.8804,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.753456,passed
byte_cursor_eq_byte_buf_unsat_test,0.975804,passed
byte_cursor_eq_c_str_unsat_test,0.681041,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.679276,passed
byte_cursor_eq_ignore_case_unsat_test,0.711247,passed
byte_cursor_from_array_unsat_test,0.602394,passed
byte_cursor_from_buf_unsat_test,0.687464,passed
byte_cursor_from_string_unsat_test,0.626304,passed
byte_cursor_left_trim_pred_unsat_test,0.648357,passed
byte_buf_write_from_whole_string_unsat_test,4.15592,passed
byte_cursor_from_c_str_unsat_test,1.01193,passed
byte_cursor_read_be16_unsat_test,0.660868,passed
byte_cursor_read_unsat_test,0.841925,passed
byte_cursor_read_be32_unsat_test,0.673259,passed
byte_cursor_read_be64_unsat_test,0.692037,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.0075,passed
byte_cursor_read_u8_unsat_test,0.671632,passed
byte_cursor_right_trim_pred_unsat_test,0.666615,passed
byte_cursor_satisfies_pred_unsat_test,0.6844,passed
hash_ptr_unsat_test,0.611915,passed
byte_cursor_trim_pred_unsat_test,0.760618,passed
hash_string_unsat_test,0.70464,passed
hash_array_ignore_case_unsat_test,0.681729,passed
array_list_push_front_unsat_test,19.3696,passed
array_list_erase_unsat_test,23.8751,passed
hash_byte_cursor_ptr_unsat_test,1.4116,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,2.1854,passed
hash_callback_string_destroy_unsat_test,1.33487,passed
hash_c_string_unsat_test,2.32198,passed
hash_iter_done_unsat_test,1.15119,passed
hash_callback_string_eq_unsat_test,4.597,passed
hash_iter_delete_unsat_test,3.22349,passed
hash_table_get_entry_count_unsat_test,0.870728,passed
hash_table_move_unsat_test,0.771215,passed
hash_iter_begin_unsat_test,5.39796,passed
hash_table_swap_unsat_test,1.45096,passed
hash_table_clear_unsat_test,2.62904,passed
hash_table_clean_up_unsat_test,3.38021,passed
hash_iter_next_unsat_test,7.77477,passed
hash_table_find_unsat_test,1.38987,passed
hash_callback_c_str_eq_unsat_test,11.3118,passed
hash_table_init_unbounded_unsat_test,1.17397,passed
hash_iter_begin_done_unsat_test,11.7937,passed
linked_list_back_unsat_test,1.55841,passed
linked_list_begin_unsat_test,1.65063,passed
linked_list_end_unsat_test,1.25025,passed
linked_list_front_unsat_test,2.08485,passed
linked_list_init_unsat_test,0.532697,passed
hash_table_init_bounded_unsat_test,10.6208,passed
linked_list_remove_unsat_test,0.506132,passed
linked_list_pop_front_unsat_test,1.71754,passed
linked_list_pop_back_unsat_test,1.86966,passed
linked_list_prev_unsat_test,0.544572,passed
linked_list_next_unsat_test,0.518811,passed
linked_list_node_reset_unsat_test,0.522069,passed
hash_table_put_unsat_test,12.4363,passed
linked_list_push_back_unsat_test,1.68491,passed
