job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_build_arm,hybrid_load,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
ptr_eq,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
add_size_checked,TRUE,4,89,0.13,0.11,n/a,n/a,n/a,n/a,n/a,0.14
nospec_mask,TRUE,4,50,0.05,0.04,n/a,n/a,n/a,n/a,n/a,0.07
add_size_saturating,TRUE,4,81,0.17,0.16,n/a,n/a,n/a,n/a,n/a,0.18
array_list_clean_up,TRUE,19,94,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.04
round_up_to_power_of_two,TRUE,4,104,0.33,0.31,n/a,n/a,n/a,n/a,n/a,0.34
array_eq_c_str_ignore_case,TRUE,5,303,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.15
mul_size_checked,TRUE,4,80,0.57,0.56,n/a,n/a,n/a,n/a,n/a,0.58
array_list_capacity,TRUE,5,158,0.44,0.43,0.00,0.00,0.00,0.00,0.00,0.46
mul_size_saturating,TRUE,4,125,0.58,0.57,n/a,n/a,n/a,n/a,n/a,0.59
array_list_get_at_ptr,TRUE,5,186,0.48,0.46,0.00,0.00,0.00,0.00,0.00,0.50
array_list_length,TRUE,5,158,0.53,0.52,0.00,0.00,0.00,0.00,0.00,0.55
array_list_front,TRUE,6,244,0.76,0.74,0.00,0.00,0.00,0.00,0.00,0.79
array_list_init_dynamic,TRUE,6,124,0.81,0.80,n/a,n/a,n/a,n/a,n/a,0.83
array_list_get_at,TRUE,6,237,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.86
array_list_init_static,TRUE,6,193,0.95,0.94,0.00,0.00,0.00,0.00,0.00,0.98
array_list_back,TRUE,6,251,0.91,0.89,0.00,0.00,0.00,0.00,0.00,0.94
byte_buf_append,TRUE,5,217,0.10,0.09,0.00,0.00,0.00,0.00,0.00,0.12
byte_buf_advance,TRUE,6,201,0.15,0.13,0.00,0.00,0.00,0.00,0.00,0.18
byte_buf_clean_up,TRUE,13,63,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
array_list_sort,TRUE,5,154,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.54
array_list_pop_back,TRUE,5,203,1.54,1.53,0.00,0.00,0.00,0.00,0.00,1.56
byte_buf_clean_up_secure,TRUE,13,63,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.04
