Name,Timing,Result
is_power_of_two_unsat_test,0.885177,passed
ptr_eq_unsat_test,0.954724,passed
add_size_checked_unsat_test,0.982595,passed
array_list_clean_up_unsat_test,1.008,passed
add_size_saturating_unsat_test,1.02345,passed
nospec_mask_unsat_test,1.04331,passed
round_up_to_power_of_two_unsat_test,1.20503,passed
array_eq_c_str_ignore_case_unsat_test,1.34218,passed
mul_size_checked_unsat_test,1.41925,passed
mul_size_saturating_unsat_test,1.4795,passed
array_list_length_unsat_test,1.51663,passed
array_list_capacity_unsat_test,1.5408,passed
array_list_get_at_ptr_unsat_test,1.63517,passed
array_list_init_dynamic_unsat_test,1.93581,passed
array_list_get_at_unsat_test,1.97919,passed
array_list_init_static_unsat_test,2.07316,passed
array_list_back_unsat_test,2.16962,passed
array_list_front_unsat_test,2.23744,passed
byte_buf_append_unsat_test,1.25458,passed
byte_buf_advance_unsat_test,1.35839,passed
array_list_sort_unsat_test,1.52868,passed
array_list_pop_back_unsat_test,2.47407,passed
byte_buf_clean_up_unsat_test,1.11142,passed
byte_buf_clean_up_secure_unsat_test,1.06311,passed
byte_buf_append_dynamic_unsat_test,1.44008,passed
array_eq_c_str_unsat_test,2.72839,passed
array_list_clear_unsat_test,2.84363,passed
byte_buf_eq_c_str_unsat_test,1.28221,passed
byte_buf_from_array_unsat_test,1.10628,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.37845,passed
byte_buf_from_empty_array_unsat_test,1.11491,passed
array_list_ensure_capacity_unsat_test,3.37312,passed
byte_buf_init_unsat_test,1.10037,passed
byte_buf_append_with_lookup_unsat_test,2.2367,passed
byte_buf_reserve_unsat_test,1.12527,passed
byte_buf_reset_unsat_test,1.24407,passed
byte_buf_secure_zero_unsat_test,1.21287,passed
array_eq_ignore_case_unsat_test,3.87965,passed
byte_buf_init_copy_from_cursor_unsat_test,1.40081,passed
byte_buf_reserve_relative_unsat_test,1.31138,passed
byte_buf_write_be16_unsat_test,1.19955,passed
byte_buf_write_be32_unsat_test,1.2215,passed
byte_buf_write_unsat_test,1.56403,passed
array_eq_unsat_test,4.34209,passed
byte_buf_write_be64_unsat_test,1.15649,passed
array_list_pop_front_unsat_test,4.44004,passed
array_list_swap_contents_unsat_test,3.46376,passed
byte_buf_write_u8_unsat_test,1.18992,passed
array_list_pop_front_n_unsat_test,4.58984,passed
byte_cursor_advance_unsat_test,1.36353,passed
byte_buf_cat_unsat_test,3.64245,passed
byte_cursor_advance_nospec_unsat_test,1.45627,passed
array_list_push_front_unsat_test,5.35532,passed
byte_cursor_eq_c_str_unsat_test,1.32266,passed
byte_cursor_from_array_unsat_test,1.08773,passed
byte_buf_write_from_whole_cursor_unsat_test,2.09711,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.31352,passed
byte_buf_from_c_str_unsat_test,3.31221,passed
byte_cursor_from_buf_unsat_test,1.22812,passed
byte_cursor_from_string_unsat_test,1.12335,passed
byte_cursor_left_trim_pred_unsat_test,1.16341,passed
byte_buf_write_from_whole_buffer_unsat_test,2.43948,passed
byte_cursor_eq_byte_buf_unsat_test,1.94415,passed
byte_buf_eq_unsat_test,4.43965,passed
byte_buf_eq_ignore_case_unsat_test,4.09689,passed
array_list_push_back_unsat_test,6.07846,passed
byte_cursor_read_be16_unsat_test,1.16415,passed
byte_cursor_eq_unsat_test,2.41071,passed
byte_cursor_compare_lexical_unsat_test,2.48019,passed
byte_cursor_read_be32_unsat_test,1.29331,passed
byte_cursor_read_unsat_test,1.87768,passed
array_list_shrink_to_fit_unsat_test,5.65914,passed
hash_ptr_unsat_test,1.10237,passed
byte_cursor_satisfies_pred_unsat_test,1.17081,passed
byte_cursor_right_trim_pred_unsat_test,1.23075,passed
byte_cursor_read_u8_unsat_test,1.28936,passed
byte_cursor_read_be64_unsat_test,1.39515,passed
hash_array_ignore_case_unsat_test,1.21499,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.93927,passed
hash_string_unsat_test,1.36657,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.23206,passed
byte_cursor_from_c_str_unsat_test,2.71282,passed
byte_cursor_trim_pred_unsat_test,1.74849,passed
hash_callback_string_destroy_unsat_test,1.3848,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.69049,passed
array_list_copy_unsat_test,7.66984,passed
array_list_erase_unsat_test,7.81545,passed
hash_table_get_entry_count_unsat_test,1.39739,passed
hash_table_move_unsat_test,1.3588,passed
byte_buf_init_copy_unsat_test,5.76393,passed
byte_cursor_compare_lookup_unsat_test,4.32745,passed
hash_iter_done_unsat_test,1.82893,passed
byte_cursor_eq_ignore_case_unsat_test,3.97716,passed
hash_c_string_unsat_test,2.80263,passed
hash_table_clean_up_unsat_test,2.05982,passed
hash_table_clear_unsat_test,2.12373,passed
linked_list_init_unsat_test,0.900447,passed
linked_list_remove_unsat_test,0.896742,passed
hash_table_swap_unsat_test,2.4616,passed
linked_list_prev_unsat_test,0.901096,passed
hash_iter_begin_unsat_test,3.07001,passed
linked_list_next_unsat_test,0.906628,passed
hash_iter_begin_done_unsat_test,3.27332,passed
linked_list_node_reset_unsat_test,0.90445,passed
hash_iter_next_unsat_test,3.41779,passed
linked_list_insert_after_unsat_test,0.876936,passed
linked_list_insert_before_unsat_test,0.914545,passed
hash_byte_cursor_ptr_unsat_test,4.89157,passed
string_bytes_unsat_test,1.52897,passed
linked_list_back_unsat_test,4.82487,passed
