job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_thm_skip_store,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
array_list_clean_up,TRUE,23,106,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
add_size_checked,TRUE,5,93,0.13,0.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.14
ptr_eq,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
nospec_mask,TRUE,5,54,0.05,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06
add_size_saturating,TRUE,5,85,0.18,0.17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.19
array_eq_c_str_ignore_case,TRUE,9,313,0.15,0.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
round_up_to_power_of_two,TRUE,5,108,0.33,0.32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.35
mul_size_checked,TRUE,5,84,0.57,0.57,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.58
mul_size_saturating,TRUE,5,129,0.58,0.57,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.59
array_list_capacity,TRUE,9,167,0.51,0.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.52
array_list_length,TRUE,9,167,0.53,0.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.55
array_list_get_at_ptr,TRUE,11,201,0.54,0.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.56
array_list_init_static,TRUE,12,211,0.86,0.84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.88
array_list_init_dynamic,TRUE,12,145,0.93,0.92,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.95
array_list_get_at,TRUE,18,281,0.86,0.84,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.89
array_list_back,TRUE,18,295,1.10,1.08,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.13
array_list_front,TRUE,18,288,1.12,1.11,6,5,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.15
byte_buf_advance,TRUE,12,216,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
byte_buf_append,TRUE,15,245,0.12,0.11,4,3,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.14
array_list_pop_back,TRUE,11,221,1.44,1.42,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.47
byte_buf_clean_up,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
array_list_sort,TRUE,9,163,0.49,0.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.51
byte_buf_clean_up_secure,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
array_eq_c_str,TRUE,12,1132,1.57,1.53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.60
byte_buf_append_dynamic,TRUE,21,350,0.27,0.25,4,6,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.30
array_list_clear,TRUE,9,126,1.77,1.76,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.79
byte_buf_eq_c_str,TRUE,9,319,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_buf_from_array,TRUE,9,127,0.02,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
byte_buf_eq_c_str_ignore_case,TRUE,9,319,0.17,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
array_list_ensure_capacity,TRUE,12,240,2.29,2.28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.31
byte_buf_from_empty_array,TRUE,9,127,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.03
byte_buf_init,TRUE,12,100,0.04,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06
byte_buf_append_with_lookup,TRUE,17,699,1.03,0.99,4,52,76,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.06
byte_buf_reserve,TRUE,14,157,0.05,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.07
array_eq_ignore_case,TRUE,12,2276,2.60,2.54,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,2.63
byte_buf_reset,TRUE,9,126,0.13,0.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.15
