job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_selects,hybrid_stores,hybrid_thm_skip_store,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_eager_rw_ite,hybrid_row,hybrid_smap_find_hit,hybrid_smap_find_miss,opsem_simp_time,seahorn_total_time,loop_size
ptr_eq,TRUE,7,26,0.01,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a
add_size_checked,TRUE,5,93,0.08,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,n/a
add_size_saturating,TRUE,5,85,0.10,0.10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.11,n/a
nospec_mask,TRUE,5,54,0.03,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,n/a
array_eq_c_str_ignore_case,TRUE,9,313,0.09,0.08,n/a,n/a,n/a,n/a,n/a,n/a,10,1,n/a,n/a,n/a,n/a,0.00,0.00,19,n/a,n/a,0.00,0.10,n/a
is_power_of_two,TRUE,7,26,0.01,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a
round_up_to_power_of_two,TRUE,5,108,0.19,0.19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.20,n/a
mul_size_saturating,TRUE,5,129,0.30,0.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.31,n/a
mul_size_checked,TRUE,5,84,0.29,0.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.30,n/a
array_eq_c_str,TRUE,12,1132,0.88,0.87,n/a,n/a,n/a,n/a,n/a,n/a,57,1,n/a,n/a,n/a,n/a,0.00,0.00,59,n/a,n/a,0.00,0.91,n/a
array_list_clean_up,TRUE,23,106,0.01,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,n/a
array_list_back,TRUE,18,295,0.55,0.54,6,5,13,n/a,n/a,n/a,19,18,n/a,n/a,n/a,n/a,0.00,0.00,40,8,5,0.00,0.56,n/a
array_list_capacity,TRUE,9,167,0.25,0.25,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,0.00,1,n/a,n/a,0.00,0.27,n/a
array_eq_ignore_case,TRUE,12,2276,1.44,1.41,n/a,n/a,n/a,n/a,n/a,n/a,44,n/a,n/a,n/a,n/a,n/a,n/a,0.00,682,n/a,n/a,0.01,1.46,n/a
array_eq,TRUE,12,1121,1.69,1.68,n/a,n/a,n/a,n/a,n/a,n/a,46,n/a,n/a,n/a,n/a,n/a,n/a,0.00,44,n/a,n/a,0.00,1.71,n/a
array_list_clear,TRUE,9,126,1.01,1.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.02,n/a
array_list_get_at,TRUE,18,281,0.46,0.45,6,5,13,n/a,n/a,n/a,19,18,n/a,n/a,n/a,n/a,0.00,0.00,40,8,5,0.00,0.48,n/a
array_list_front,TRUE,18,288,0.59,0.58,6,5,13,n/a,n/a,n/a,19,18,n/a,n/a,n/a,n/a,0.00,0.00,40,8,5,0.00,0.61,n/a
