Name,Timing,Result
add_size_checked_unsat_test,0.51269,passed
add_size_saturating_unsat_test,0.546343,passed
ptr_eq_unsat_test,0.561248,passed
nospec_mask_unsat_test,0.589302,passed
array_eq_c_str_ignore_case_unsat_test,0.654251,passed
array_eq_ignore_case_unsat_test,0.760097,passed
is_power_of_two_unsat_test,0.549771,passed
round_up_to_power_of_two_unsat_test,0.532103,passed
mul_size_saturating_unsat_test,0.586731,passed
mul_size_checked_unsat_test,0.696109,passed
array_list_capacity_unsat_test,0.635155,passed
array_list_clean_up_unsat_test,0.57493,passed
array_eq_c_str_unsat_test,1.68804,passed
array_list_clear_unsat_test,0.710115,passed
array_eq_unsat_test,2.13158,passed
array_list_ensure_capacity_unsat_test,0.835313,passed
array_list_get_at_unsat_test,0.810517,passed
array_list_get_at_ptr_unsat_test,0.667906,passed
array_list_init_dynamic_unsat_test,0.625765,passed
array_list_init_static_unsat_test,0.61876,passed
array_list_length_unsat_test,0.653398,passed
array_list_pop_back_unsat_test,2.60173,passed
array_list_back_unsat_test,4.93309,passed
array_list_front_unsat_test,5.31489,passed
array_list_comparator_string_unsat_test,5.9197,passed
array_list_pop_front_unsat_test,5.6096,passed
array_list_sort_unsat_test,0.665286,passed
array_list_copy_unsat_test,8.90736,passed
array_list_swap_contents_unsat_test,0.83589,passed
byte_buf_advance_unsat_test,0.712914,passed
byte_buf_append_unsat_test,0.6892,passed
array_list_erase_unsat_test,11.0266,passed
byte_buf_append_dynamic_unsat_test,0.735458,passed
array_list_push_front_unsat_test,7.69328,passed
byte_buf_append_with_lookup_unsat_test,0.823434,passed
byte_buf_clean_up_unsat_test,0.618144,passed
byte_buf_clean_up_secure_unsat_test,0.61948,passed
byte_buf_cat_unsat_test,1.22595,passed
array_list_swap_unsat_test,5.08367,passed
array_list_push_back_unsat_test,9.264,passed
byte_buf_eq_c_str_unsat_test,0.690911,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.701723,passed
byte_buf_from_array_unsat_test,0.606143,passed
byte_buf_eq_ignore_case_unsat_test,0.835957,passed
byte_buf_from_empty_array_unsat_test,0.609495,passed
byte_buf_eq_unsat_test,2.03454,passed
byte_buf_init_unsat_test,0.604002,passed
byte_buf_from_c_str_unsat_test,1.40963,passed
byte_buf_init_copy_from_cursor_unsat_test,0.71733,passed
byte_buf_reserve_unsat_test,0.644175,passed
byte_buf_reserve_relative_unsat_test,0.670178,passed
byte_buf_reset_unsat_test,0.659889,passed
byte_buf_secure_zero_unsat_test,0.661326,passed
byte_buf_write_be16_unsat_test,0.650563,passed
byte_buf_init_copy_unsat_test,1.83403,passed
byte_buf_write_unsat_test,0.835544,passed
array_list_shrink_to_fit_unsat_test,10.4133,passed
byte_buf_write_be32_unsat_test,0.689259,passed
byte_buf_write_be64_unsat_test,0.663745,passed
byte_buf_write_from_whole_buffer_unsat_test,1.08031,passed
array_list_pop_front_n_unsat_test,15.9692,passed
array_list_set_at_unsat_test,12.4207,passed
byte_buf_write_from_whole_cursor_unsat_test,2.135,passed
byte_buf_write_u8_unsat_test,2.20594,passed
byte_cursor_advance_nospec_unsat_test,2.0275,passed
byte_cursor_advance_unsat_test,2.09967,passed
byte_cursor_compare_lookup_unsat_test,1.01216,passed
byte_cursor_eq_c_str_unsat_test,0.765981,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.765495,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.93183,passed
byte_cursor_compare_lexical_unsat_test,1.34787,passed
byte_cursor_eq_byte_buf_unsat_test,1.35689,passed
byte_cursor_eq_unsat_test,1.53944,passed
byte_cursor_from_array_unsat_test,0.724858,passed
byte_cursor_from_buf_unsat_test,0.749772,passed
byte_cursor_eq_ignore_case_unsat_test,0.87877,passed
byte_cursor_from_string_unsat_test,0.749048,passed
byte_cursor_left_trim_pred_unsat_test,0.79588,passed
byte_cursor_read_unsat_test,0.918478,passed
byte_cursor_from_c_str_unsat_test,1.31547,passed
byte_cursor_read_be16_unsat_test,0.779495,passed
byte_buf_write_from_whole_string_unsat_test,4.63166,passed
byte_cursor_read_be32_unsat_test,0.763591,passed
byte_cursor_read_and_fill_buffer_unsat_test,0.960128,passed
byte_cursor_read_be64_unsat_test,0.795277,passed
byte_cursor_read_u8_unsat_test,0.749793,passed
byte_cursor_right_trim_pred_unsat_test,0.775405,passed
byte_cursor_satisfies_pred_unsat_test,0.750072,passed
hash_ptr_unsat_test,0.692663,passed
byte_cursor_trim_pred_unsat_test,0.835183,passed
hash_string_unsat_test,0.829289,passed
hash_array_ignore_case_unsat_test,0.771835,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,0.812876,passed
hash_callback_string_destroy_unsat_test,0.811239,passed
hash_c_string_unsat_test,1.04756,passed
hash_byte_cursor_ptr_unsat_test,1.63338,passed
hash_iter_done_unsat_test,1.08709,passed
hash_table_get_entry_count_unsat_test,0.764171,passed
hash_table_move_unsat_test,0.767064,passed
hash_iter_delete_unsat_test,3.61404,passed
hash_table_swap_unsat_test,1.17855,passed
hash_table_clear_unsat_test,0.973215,passed
hash_iter_begin_unsat_test,6.04814,passed
hash_table_clean_up_unsat_test,2.00173,passed
hash_iter_next_unsat_test,7.24958,passed
hash_table_find_unsat_test,1.32354,passed
hash_callback_string_eq_unsat_test,8.24838,passed
hash_iter_begin_done_unsat_test,8.92825,passed
hash_callback_c_str_eq_unsat_test,9.62622,passed
hash_table_init_unbounded_unsat_test,2.005,passed
hash_table_init_bounded_unsat_test,2.31043,passed
linked_list_back_unsat_test,2.27867,passed
linked_list_end_unsat_test,2.47833,passed
linked_list_init_unsat_test,0.531022,passed
linked_list_remove_unsat_test,0.514145,passed
linked_list_begin_unsat_test,4.06853,passed
linked_list_pop_back_unsat_test,2.51167,passed
linked_list_pop_front_unsat_test,2.1412,passed
linked_list_front_unsat_test,4.23944,passed
linked_list_prev_unsat_test,0.553356,passed
linked_list_next_unsat_test,0.552752,passed
linked_list_node_reset_unsat_test,0.552321,passed
linked_list_push_back_unsat_test,2.08244,passed
linked_list_insert_after_unsat_test,0.543805,passed
linked_list_insert_before_unsat_test,0.526139,passed
hash_table_put_unsat_test,12.3243,passed
linked_list_rbegin_unsat_test,0.8714,passed
hash_table_foreach_unsat_test,14.5521,passed
string_bytes_unsat_test,0.653247,passed
linked_list_push_front_unsat_test,7.26457,passed
linked_list_rend_unsat_test,3.7622,passed
string_eq_byte_buf_ignore_case_unsat_test,0.884626,passed
string_eq_unsat_test,4.41496,passed
string_compare_unsat_test,5.34273,passed
string_eq_byte_buf_unsat_test,2.44559,passed
string_eq_byte_cursor_ignore_case_unsat_test,0.955102,passed
string_eq_byte_cursor_unsat_test,2.34026,passed
string_eq_ignore_case_unsat_test,1.20108,passed
hash_table_remove_unsat_test,19.2169,passed
string_new_from_c_str_unsat_test,1.12402,passed
string_new_from_array_unsat_test,1.56403,passed
string_eq_c_str_ignore_case_unsat_test,3.14168,passed
string_destroy_unsat_test,0.638183,passed
string_destroy_secure_unsat_test,0.675044,passed
priority_queue_size_unsat_test,1.1428,passed
priority_queue_capacity_unsat_test,1.12571,passed
priority_queue_top_unsat_test,1.09799,passed
priority_queue_init_static_unsat_test,0.683874,passed
priority_queue_init_dynamic_unsat_test,0.730749,passed
priority_queue_clean_up_unsat_test,0.624171,passed
ring_buffer_clean_up_unsat_test,0.650732,passed
ring_buffer_init_unsat_test,0.584125,passed
string_eq_c_str_unsat_test,6.29478,passed
array_eq2_unsat_test,1.04504,passed
array_eq_c_str_ignore_case2_unsat_test,0.652093,passed
string_new_from_string_unsat_test,4.47708,passed
array_eq_ignore_case2_unsat_test,0.728599,passed
array_list_capacity2_unsat_test,0.620051,passed
array_list_ensure_capacity2_unsat_test,0.741403,passed
array_eq_c_str2_unsat_test,1.5815,passed
array_list_get_at2_unsat_test,0.733032,passed
array_list_get_at_ptr2_unsat_test,0.641085,passed
array_list_init_static2_unsat_test,0.632181,passed
array_list_length2_unsat_test,0.620845,passed
array_list_back2_unsat_test,3.74345,passed
array_list_front2_unsat_test,3.76891,passed
array_list_pop_back2_unsat_test,6.39639,passed
array_list_sort2_unsat_test,0.644603,passed
array_list_pop_front2_unsat_test,7.28635,passed
byte_buf_advance2_unsat_test,0.690196,passed
byte_buf_append2_unsat_test,0.691561,passed
byte_buf_eq2_unsat_test,1.76983,passed
byte_buf_append_dynamic2_unsat_test,0.725432,passed
byte_buf_append_with_lookup2_unsat_test,0.742543,passed
byte_buf_eq_c_str2_unsat_test,0.687885,passed
byte_buf_cat2_unsat_test,1.29593,passed
byte_buf_eq_c_str_ignore_case2_unsat_test,0.685392,passed
array_list_push_back2_unsat_test,10.5405,passed
byte_buf_eq_ignore_case2_unsat_test,0.776547,passed
array_list_clear2_unsat_test,0.763782,passed
byte_buf_init_copy2_unsat_test,1.30629,passed
byte_buf_write2_unsat_test,0.867186,passed
byte_buf_write_be162_unsat_test,0.663911,passed
byte_buf_write_be322_unsat_test,0.658634,passed
byte_buf_write_be642_unsat_test,0.667906,passed
byte_buf_write_from_whole_buffer2_unsat_test,0.763807,passed
array_list_shrink_to_fit2_unsat_test,13.7732,passed
byte_buf_write_from_whole_cursor2_unsat_test,0.917663,passed
byte_buf_write_u82_unsat_test,0.649328,passed
byte_cursor_advance2_unsat_test,0.64933,passed
byte_buf_write_from_whole_string2_unsat_test,1.8514,passed
byte_cursor_read2_unsat_test,0.736888,passed
byte_cursor_read_u8_2_unsat_test,0.670658,passed
byte_cursor_from_buf2_unsat_test,0.644919,passed
byte_cursor_eq2_unsat_test,1.02653,passed
byte_cursor_read_be32_2_unsat_test,0.682157,passed
array_list_set_at2_unsat_test,18.3166,passed
byte_cursor_eq_byte_buf_ignore_case2_unsat_test,0.781973,passed
byte_cursor_eq_c_str2_unsat_test,0.685081,passed
byte_cursor_read_be64_2_unsat_test,0.69577,passed
byte_cursor_compare_lookup2_unsat_test,0.801206,passed
byte_cursor_left_trim_pred2_unsat_test,0.666613,passed
byte_cursor_trim_pred2_unsat_test,0.72346,passed
byte_cursor_advance_nospec2_unsat_test,0.653087,passed
byte_cursor_read_be16_2_unsat_test,0.667964,passed
byte_cursor_eq_c_str_ignore_case2_unsat_test,0.669316,passed
byte_cursor_right_trim_pred2_unsat_test,0.673802,passed
byte_cursor_eq_byte_buf2_unsat_test,1.01021,passed
