job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
is_power_of_two,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.03
ptr_eq,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.03
array_list_clean_up,TRUE,19,94,0.02,0.01,0.00,0.00,0.00,0.04
add_size_saturating,TRUE,4,81,0.17,0.16,0.00,0.00,0.00,0.18
nospec_mask,TRUE,4,50,0.06,0.04,0.00,0.00,0.00,0.07
add_size_checked,TRUE,4,89,0.13,0.12,0.00,0.00,0.00,0.14
round_up_to_power_of_two,TRUE,4,104,0.33,0.32,0.00,0.00,0.00,0.34
array_eq_c_str_ignore_case,TRUE,5,303,0.15,0.13,0.00,0.00,0.00,0.16
mul_size_checked,TRUE,4,80,0.59,0.58,0.00,0.00,0.00,0.60
mul_size_saturating,TRUE,4,125,0.57,0.56,0.00,0.00,0.00,0.58
array_list_capacity,TRUE,5,158,0.51,0.50,0.00,0.00,0.00,0.00,0.53
array_list_get_at_ptr,TRUE,5,186,0.50,0.49,0.00,0.00,0.00,0.00,0.53
array_list_length,TRUE,5,158,0.58,0.56,0.00,0.00,0.00,0.00,0.59
array_list_init_static,TRUE,6,193,0.89,0.87,0.00,0.00,0.00,0.00,0.91
array_list_back,TRUE,6,251,0.84,0.82,0.00,0.00,0.00,0.00,0.86
array_list_get_at,TRUE,6,237,0.83,0.81,0.00,0.00,0.00,0.00,0.86
array_list_front,TRUE,6,244,0.84,0.82,0.00,0.00,0.00,0.00,0.88
array_list_init_dynamic,TRUE,6,124,0.89,0.88,0.00,0.00,0.00,0.92
byte_buf_append,TRUE,5,217,0.09,0.08,0.00,0.00,0.00,0.00,0.11
byte_buf_advance,TRUE,6,201,0.13,0.11,0.00,0.00,0.00,0.00,0.15
array_list_sort,TRUE,5,154,0.50,0.49,0.00,0.00,0.00,0.00,0.52
byte_buf_clean_up_secure,TRUE,13,63,0.02,0.01,0.00,0.00,0.00,0.04
byte_buf_clean_up,TRUE,13,63,0.02,0.01,0.00,0.00,0.00,0.03
array_eq_c_str,TRUE,6,1255,1.40,1.37,0.01,0.00,0.00,0.01,1.43
array_list_pop_back,TRUE,5,203,1.60,1.58,0.00,0.00,0.00,0.00,1.63
byte_buf_append_dynamic,TRUE,7,310,0.26,0.24,0.00,0.00,0.00,0.00,0.29
array_list_clear,TRUE,5,114,1.87,1.86,0.00,0.00,0.00,1.89
byte_buf_eq_c_str,TRUE,5,309,0.15,0.13,0.00,0.00,0.00,0.16
byte_buf_eq_c_str_ignore_case,TRUE,5,309,0.15,0.13,0.00,0.00,0.00,0.16
byte_buf_from_array,TRUE,5,118,0.02,0.01,0.00,0.00,0.00,0.00,0.04
byte_buf_init,TRUE,6,79,0.03,0.02,0.00,0.00,0.00,0.04
byte_buf_from_empty_array,TRUE,5,118,0.03,0.01,0.00,0.00,0.00,0.00,0.04
array_list_ensure_capacity,TRUE,6,225,2.07,2.05,0.00,0.00,0.00,0.00,2.09
byte_buf_append_with_lookup,TRUE,5,650,0.84,0.79,0.00,0.00,0.00,0.03,0.87
array_list_pop_front,TRUE,5,287,2.15,2.12,0.00,0.00,0.00,0.02,2.18
array_eq,TRUE,6,1107,2.53,2.50,0.00,0.00,0.00,0.01,2.57
byte_buf_reserve,TRUE,6,112,0.03,0.02,0.00,0.00,0.00,0.00,0.05
array_eq_ignore_case,TRUE,6,2261,2.71,2.67,0.00,0.00,0.00,0.02,2.74
byte_buf_reserve_relative,TRUE,6,162,0.09,0.08,0.00,0.00,0.00,0.00,0.11
byte_buf_reset,TRUE,5,116,0.14,0.13,0.00,0.00,0.00,0.00,0.16
byte_buf_secure_zero,TRUE,5,145,0.12,0.11,0.00,0.00,0.00,0.00,0.14
byte_buf_write_be16,TRUE,5,150,0.08,0.06,0.00,0.00,0.00,0.00,0.09
byte_buf_write_be32,TRUE,5,150,0.07,0.06,0.00,0.00,0.00,0.00,0.09
byte_buf_init_copy_from_cursor,TRUE,6,230,0.53,0.51,0.00,0.00,0.00,0.00,0.55
byte_buf_write_be64,TRUE,5,150,0.06,0.05,0.00,0.00,0.00,0.00,0.08
byte_buf_write_u8,TRUE,5,148,0.07,0.06,0.00,0.00,0.00,0.00,0.10
array_list_swap_contents,TRUE,6,259,2.26,2.24,0.00,0.00,0.00,0.00,2.29
byte_buf_cat,TRUE,8,501,1.73,1.69,0.01,0.00,0.00,0.01,1.78
byte_cursor_advance,TRUE,4,195,0.24,0.23,0.00,0.00,0.00,0.00,0.26
byte_buf_write,TRUE,5,296,0.80,0.77,0.00,0.00,0.00,0.01,0.82
array_list_pop_front_n,TRUE,5,338,3.57,3.51,0.00,0.00,0.00,0.04,3.59
byte_cursor_advance_nospec,TRUE,4,226,0.38,0.36,0.00,0.00,0.00,0.00,0.40
array_list_erase,TRUE,5,249,3.98,3.96,0.00,0.00,0.00,0.00,4.01
byte_buf_from_c_str,TRUE,5,936,1.89,1.86,0.00,0.00,0.00,0.01,1.91
byte_cursor_from_array,TRUE,5,68,0.02,0.01,0.00,0.00,0.00,0.03
byte_cursor_eq_c_str,TRUE,5,303,0.13,0.12,0.00,0.00,0.00,0.15
byte_cursor_eq_c_str_ignore_case,TRUE,5,303,0.14,0.12,0.00,0.00,0.00,0.16
byte_cursor_from_buf,TRUE,5,147,0.05,0.04,0.00,0.00,0.00,0.00,0.07
byte_buf_eq,TRUE,6,1161,2.54,2.51,0.01,0.00,0.00,0.01,2.59
array_list_shrink_to_fit,TRUE,6,276,4.29,4.28,0.00,0.00,0.00,0.00,4.32
array_list_push_back,TRUE,7,308,4.49,4.48,0.00,0.00,0.00,0.00,4.52
byte_cursor_compare_lexical,TRUE,4,763,1.17,1.15,0.00,0.00,0.00,0.00,1.20
byte_buf_eq_ignore_case,TRUE,6,2374,2.70,2.65,0.00,0.00,0.00,0.02,2.74
byte_cursor_left_trim_pred,TRUE,4,349,0.04,0.03,0.00,0.00,0.00,0.00,0.07
byte_cursor_eq_byte_buf,TRUE,5,767,0.66,0.63,0.00,0.00,0.00,0.00,0.69
byte_cursor_from_string,TRUE,5,541,0.40,0.37,0.00,0.00,0.00,0.01,0.42
byte_cursor_read_be16,TRUE,4,233,0.16,0.15,0.00,0.00,0.00,0.00,0.18
byte_buf_write_from_whole_cursor,TRUE,5,386,1.87,1.83,0.00,0.00,0.00,0.02,1.90
byte_cursor_read_be32,TRUE,4,264,0.19,0.17,0.00,0.00,0.00,0.00,0.21
byte_cursor_read_be64,TRUE,4,326,0.35,0.32,0.00,0.00,0.00,0.01,0.36
byte_cursor_right_trim_pred,TRUE,4,331,0.12,0.10,0.00,0.00,0.00,0.00,0.14
byte_cursor_read_u8,TRUE,5,311,0.17,0.14,0.00,0.00,0.00,0.01,0.19
hash_ptr,TRUE,6,21,0.02,0.01,0.00,0.00,0.03
byte_cursor_satisfies_pred,TRUE,4,263,0.05,0.03,0.00,0.00,0.00,0.00,0.07
byte_cursor_eq,TRUE,4,755,1.42,1.39,0.00,0.00,0.00,0.01,1.45
hash_array_ignore_case,TRUE,5,167,0.04,0.02,0.00,0.00,0.00,0.00,0.05
byte_cursor_from_c_str,TRUE,5,799,1.28,1.26,0.00,0.00,0.00,0.01,1.30
byte_cursor_read,TRUE,5,448,1.06,1.03,0.00,0.00,0.00,0.02,1.08
hash_string,TRUE,5,241,0.23,0.21,0.00,0.00,0.00,0.24
hash_byte_cursor_ptr_ignore_case,TRUE,4,171,0.04,0.02,0.00,0.00,0.00,0.00,0.05
