Name,Timing,Result
is_power_of_two_unsat_test,0.964548,passed
ptr_eq_unsat_test,1.00225,passed
array_list_clean_up_unsat_test,1.06002,passed
add_size_saturating_unsat_test,1.0867,passed
nospec_mask_unsat_test,1.10295,passed
add_size_checked_unsat_test,1.21561,passed
round_up_to_power_of_two_unsat_test,1.24811,passed
array_eq_c_str_ignore_case_unsat_test,1.31175,passed
mul_size_checked_unsat_test,1.49604,passed
mul_size_saturating_unsat_test,1.51102,passed
array_list_capacity_unsat_test,1.60282,passed
array_list_get_at_ptr_unsat_test,1.64546,passed
array_list_length_unsat_test,1.66717,passed
array_list_init_static_unsat_test,1.94611,passed
array_list_back_unsat_test,1.99257,passed
array_list_get_at_unsat_test,2.03479,passed
array_list_front_unsat_test,2.03936,passed
array_list_init_dynamic_unsat_test,2.06692,passed
byte_buf_append_unsat_test,1.30698,passed
byte_buf_advance_unsat_test,1.44896,passed
array_list_sort_unsat_test,1.65071,passed
byte_buf_clean_up_secure_unsat_test,1.16508,passed
byte_buf_clean_up_unsat_test,1.18406,passed
array_eq_c_str_unsat_test,2.71533,passed
array_list_pop_back_unsat_test,2.72861,passed
byte_buf_append_dynamic_unsat_test,1.56804,passed
array_list_clear_unsat_test,2.95015,passed
byte_buf_eq_c_str_unsat_test,1.4583,passed
byte_buf_eq_c_str_ignore_case_unsat_test,1.46902,passed
byte_buf_from_array_unsat_test,1.20334,passed
byte_buf_init_unsat_test,1.17289,passed
byte_buf_from_empty_array_unsat_test,1.21862,passed
array_list_ensure_capacity_unsat_test,3.29193,passed
byte_buf_append_with_lookup_unsat_test,2.16896,passed
array_list_pop_front_unsat_test,3.41714,passed
array_eq_unsat_test,3.75126,passed
byte_buf_reserve_unsat_test,1.23412,passed
array_eq_ignore_case_unsat_test,3.99014,passed
byte_buf_reserve_relative_unsat_test,1.32976,passed
byte_buf_reset_unsat_test,1.32777,passed
byte_buf_secure_zero_unsat_test,1.30049,passed
byte_buf_write_be16_unsat_test,1.28477,passed
byte_buf_write_be32_unsat_test,1.26327,passed
byte_buf_init_copy_from_cursor_unsat_test,1.74679,passed
byte_buf_write_be64_unsat_test,1.29024,passed
byte_buf_write_u8_unsat_test,1.29507,passed
array_list_swap_contents_unsat_test,3.64334,passed
byte_buf_cat_unsat_test,3.41425,passed
byte_cursor_advance_unsat_test,1.42612,passed
byte_buf_write_unsat_test,2.04251,passed
array_list_pop_front_n_unsat_test,4.87489,passed
byte_cursor_advance_nospec_unsat_test,1.51146,passed
array_list_erase_unsat_test,5.21436,passed
byte_buf_from_c_str_unsat_test,3.18895,passed
byte_cursor_from_array_unsat_test,1.256,passed
byte_cursor_eq_c_str_unsat_test,1.4986,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,1.51563,passed
byte_cursor_from_buf_unsat_test,1.32135,passed
byte_buf_eq_unsat_test,4.02447,passed
array_list_shrink_to_fit_unsat_test,5.6034,passed
array_list_push_back_unsat_test,5.82645,passed
byte_cursor_compare_lexical_unsat_test,2.47295,passed
byte_buf_eq_ignore_case_unsat_test,4.03381,passed
byte_cursor_left_trim_pred_unsat_test,1.29124,passed
byte_cursor_eq_byte_buf_unsat_test,2.12112,passed
byte_cursor_from_string_unsat_test,1.67503,passed
byte_cursor_read_be16_unsat_test,1.54048,passed
byte_buf_write_from_whole_cursor_unsat_test,3.12548,passed
byte_cursor_read_be32_unsat_test,1.49264,passed
byte_cursor_read_be64_unsat_test,1.54315,passed
byte_cursor_right_trim_pred_unsat_test,1.32753,passed
byte_cursor_read_u8_unsat_test,1.39396,passed
hash_ptr_unsat_test,1.11177,passed
byte_cursor_satisfies_pred_unsat_test,1.24208,passed
byte_cursor_eq_unsat_test,2.87393,passed
hash_array_ignore_case_unsat_test,1.28556,passed
byte_cursor_from_c_str_unsat_test,2.59414,passed
byte_cursor_read_unsat_test,2.35378,passed
hash_string_unsat_test,1.52141,passed
hash_byte_cursor_ptr_ignore_case_unsat_test,1.30649,passed
byte_cursor_eq_ignore_case_unsat_test,3.17031,passed
array_list_copy_unsat_test,7.53713,passed
byte_cursor_trim_pred_unsat_test,2.05879,passed
byte_buf_write_from_whole_buffer_unsat_test,4.43465,passed
hash_callback_string_destroy_unsat_test,1.55418,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,3.70504,passed
byte_cursor_compare_lookup_unsat_test,4.05184,passed
byte_cursor_read_and_fill_buffer_unsat_test,3.31211,passed
hash_table_move_unsat_test,1.45009,passed
hash_table_get_entry_count_unsat_test,1.50558,passed
hash_iter_done_unsat_test,2.34279,passed
hash_c_string_unsat_test,2.89762,passed
hash_table_clean_up_unsat_test,2.24246,passed
hash_table_clear_unsat_test,2.10157,passed
linked_list_init_unsat_test,0.99736,passed
linked_list_remove_unsat_test,1.07078,passed
hash_iter_begin_unsat_test,3.34251,passed
linked_list_prev_unsat_test,0.96837,passed
hash_table_swap_unsat_test,3.07205,passed
linked_list_next_unsat_test,1.12144,passed
linked_list_node_reset_unsat_test,1.09177,passed
hash_byte_cursor_ptr_unsat_test,5.09683,passed
linked_list_insert_after_unsat_test,1.10834,passed
linked_list_insert_before_unsat_test,1.09255,passed
hash_iter_begin_done_unsat_test,5.37766,passed
hash_iter_next_unsat_test,5.46452,passed
string_bytes_unsat_test,1.81626,passed
hash_table_init_unbounded_unsat_test,5.6782,passed
byte_buf_init_copy_unsat_test,12.6773,passed
string_eq_byte_buf_unsat_test,4.92756,passed
hash_table_find_unsat_test,9.64214,passed
array_list_comparator_string_unsat_test,17.3829,passed
string_eq_byte_cursor_unsat_test,5.2884,passed
string_eq_byte_buf_ignore_case_unsat_test,6.30506,passed
linked_list_back_unsat_test,10.7169,passed
string_eq_unsat_test,7.96526,passed
linked_list_end_unsat_test,11.5789,passed
string_destroy_unsat_test,1.36821,passed
string_compare_unsat_test,9.09301,passed
linked_list_begin_unsat_test,12.4485,passed
string_new_from_c_str_unsat_test,2.37592,passed
linked_list_front_unsat_test,12.5084,passed
linked_list_rbegin_unsat_test,10.6162,passed
string_destroy_secure_unsat_test,2.64268,passed
priority_queue_clean_up_unsat_test,1.38472,passed
priority_queue_init_static_unsat_test,1.88962,passed
string_eq_c_str_unsat_test,6.97488,passed
priority_queue_size_unsat_test,2.82053,passed
ring_buffer_clean_up_unsat_test,1.6219,passed
priority_queue_init_dynamic_unsat_test,2.30546,passed
priority_queue_capacity_unsat_test,2.9287,passed
ring_buffer_init_unsat_test,1.50474,passed
priority_queue_top_unsat_test,3.14747,passed
string_eq_byte_cursor_ignore_case_unsat_test,10.3059,passed
hash_callback_string_eq_unsat_test,17.3146,passed
array_eq_c_str_ignore_case2_unsat_test,1.35085,passed
linked_list_rend_unsat_test,13.3664,passed
hash_callback_c_str_eq_unsat_test,17.5639,passed
array_list_capacity2_unsat_test,1.14314,passed
string_eq_ignore_case_unsat_test,7.46916,passed
array_eq_c_str2_unsat_test,2.30578,passed
array_list_back2_unsat_test,2.01922,passed
array_list_set_at_unsat_test,24.356,passed
array_list_init_static2_unsat_test,1.10551,passed
array_eq_ignore_case2_unsat_test,2.70098,passed
array_list_front2_unsat_test,1.88156,passed
byte_buf_write_from_whole_string_unsat_test,21.7372,passed
array_eq2_unsat_test,3.44089,passed
array_list_get_at2_unsat_test,2.16435,passed
array_list_get_at_ptr2_unsat_test,2.07133,passed
array_list_length2_unsat_test,1.98499,passed
array_list_sort2_unsat_test,1.16051,passed
array_list_push_back2_unsat_test,1.89877,passed
byte_buf_advance2_unsat_test,1.35268,passed
byte_buf_append2_unsat_test,1.32937,passed
array_list_ensure_capacity2_unsat_test,3.62455,passed
string_eq_c_str_ignore_case_unsat_test,9.7787,passed
byte_buf_append_dynamic2_unsat_test,1.57915,passed
byte_buf_append_with_lookup2_unsat_test,1.5956,passed
byte_buf_eq_c_str2_unsat_test,1.37891,passed
array_list_pop_back2_unsat_test,3.1908,passed
byte_buf_eq_c_str_ignore_case2_unsat_test,1.49275,passed
string_new_from_array_unsat_test,10.0357,passed
byte_buf_eq2_unsat_test,3.37538,passed
byte_buf_write_be162_unsat_test,1.34841,passed
byte_buf_write_be322_unsat_test,1.3268,passed
byte_buf_write_be642_unsat_test,1.29991,passed
byte_buf_cat2_unsat_test,3.00327,passed
byte_buf_eq_ignore_case2_unsat_test,2.85217,passed
byte_buf_write2_unsat_test,2.07204,passed
byte_buf_write_from_whole_cursor2_unsat_test,1.83502,passed
byte_buf_write_u82_unsat_test,1.26839,passed
array_list_clear2_unsat_test,3.20014,passed
array_list_shrink_to_fit2_unsat_test,4.56841,passed
byte_buf_write_from_whole_buffer2_unsat_test,2.21987,passed
byte_cursor_advance2_unsat_test,1.22568,passed
byte_cursor_read_u8_2_unsat_test,1.43746,passed
array_list_pop_front2_unsat_test,5.70927,passed
linked_list_push_back_unsat_test,20.3109,passed
byte_cursor_from_buf2_unsat_test,1.34719,passed
byte_cursor_read_be32_2_unsat_test,1.45427,passed
byte_cursor_read2_unsat_test,1.98185,passed
byte_cursor_eq_c_str2_unsat_test,1.35212,passed
byte_cursor_eq2_unsat_test,2.09603,passed
byte_cursor_left_trim_pred2_unsat_test,1.27342,passed
byte_cursor_read_be64_2_unsat_test,1.54975,passed
byte_cursor_advance_nospec2_unsat_test,1.28719,passed
byte_cursor_trim_pred2_unsat_test,1.6279,passed
byte_cursor_read_be16_2_unsat_test,1.32582,passed
byte_cursor_eq_c_str_ignore_case2_unsat_test,1.36478,passed
array_list_pop_front_n2_unsat_test,4.5823,passed
byte_cursor_eq_byte_buf_ignore_case2_unsat_test,2.59389,passed
byte_cursor_right_trim_pred2_unsat_test,1.36097,passed
byte_cursor_satisfies_pred2_unsat_test,1.23736,passed
byte_cursor_eq_byte_buf2_unsat_test,1.82604,passed
byte_cursor_compare_lookup2_unsat_test,2.66351,passed
byte_cursor_read_and_fill_buffer2_unsat_test,1.95289,passed
hash_table_get_entry_count2_unsat_test,1.61004,passed
byte_cursor_compare_lexical2_unsat_test,2.01015,passed
hash_iter_done2_unsat_test,1.90108,passed
byte_cursor_eq_ignore_case2_unsat_test,2.7234,passed
linked_list_push_front_unsat_test,24.0074,passed
hash_iter_begin2_unsat_test,3.51638,passed
array_list_erase2_unsat_test,8.78074,passed
hash_iter_next2_unsat_test,4.22647,passed
hash_iter_begin_done2_unsat_test,5.39445,passed
byte_buf_init_copy2_unsat_test,11.3941,passed
hash_table_find2_unsat_test,7.4198,passed
array_list_swap_unsat_test,37.1954,passed
ring_buffer_acquire2_unsat_test,13.081,passed
