job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_selects,hybrid_stores,hybrid_ptr_norm,hybrid_eager_rw_ite,hybrid_row,hybrid_smap_find_hit,hybrid_smap_find_miss,opsem_simp_time,seahorn_total_time,loop_size
sv_comp_bAnd2,TRUE,8,2664,3.74,0.02,n/a,n/a,n/a,n/a,n/a,n/a,3192,1608,0.00,3.60,968800,n/a,n/a,0.05,4.85,n/a
sv_comp_mapavg,TRUE,8,2873,3.77,0.00,n/a,n/a,n/a,n/a,n/a,n/a,3196,1608,0.00,3.65,968800,n/a,n/a,0.05,4.91,n/a
sv_comp_mapsum,TRUE,8,2667,3.79,0.01,n/a,n/a,n/a,n/a,n/a,n/a,3196,1608,0.00,3.66,968800,n/a,n/a,0.05,4.93,n/a
sv_comp_bOr,TRUE,8,2664,4.01,0.02,n/a,n/a,n/a,n/a,n/a,n/a,3192,1608,0.00,3.86,968800,n/a,n/a,0.05,5.17,n/a
sv_comp_xor,TRUE,8,2664,6.45,2.60,n/a,n/a,n/a,n/a,n/a,n/a,3192,1608,0.00,3.71,968800,n/a,n/a,0.05,7.53,n/a
sv_comp_bAnd,TRUE,8,2800,0.55,0.01,n/a,n/a,n/a,n/a,n/a,n/a,8888,556,0.00,0.42,120164,n/a,n/a,0.02,0.91,n/a
sv_comp_mapsum2,TRUE,8,7067,23.37,0.01,n/a,n/a,n/a,n/a,n/a,n/a,7996,4008,0.01,23.04,6022000,n/a,n/a,0.13,29.94,n/a
sv_comp_mapavg2,TRUE,8,7575,23.31,0.00,n/a,n/a,n/a,n/a,n/a,n/a,7996,4008,0.01,22.99,6022000,n/a,n/a,0.13,30.11,n/a
sv_comp_bOr2,TRUE,8,7063,23.30,0.03,n/a,n/a,n/a,n/a,n/a,n/a,7992,4008,0.01,22.95,6022000,n/a,n/a,0.13,30.09,n/a
sv_comp_xor2,TRUE,8,7063,43.31,19.78,n/a,n/a,n/a,n/a,n/a,n/a,7992,4008,0.01,23.17,6022000,n/a,n/a,0.14,49.93,n/a
