job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_selects,hybrid_stores,hybrid_ptr_norm,hybrid_eager_rw_ite,hybrid_row,hybrid_smap_find_hit,hybrid_smap_find_miss,opsem_simp_time,seahorn_total_time,loop_size
sv_comp_bAnd2,TRUE,8,2664,0.20,0.02,1,1606,1604,n/a,n/a,n/a,3192,1608,0.00,0.09,3208,1206,398,0.03,0.35,n/a
sv_comp_mapavg,TRUE,8,2873,0.18,0.00,1,1606,1604,n/a,n/a,n/a,3196,1608,0.01,0.08,3208,1206,398,0.03,0.32,n/a
sv_comp_mapsum,TRUE,8,2667,0.18,0.01,1,1606,1604,n/a,n/a,n/a,3196,1608,0.00,0.08,3208,1206,398,0.03,0.32,n/a
sv_comp_bOr,TRUE,8,2664,0.19,0.01,1,1606,1604,n/a,n/a,n/a,3192,1608,0.00,0.08,3208,1206,398,0.03,0.34,n/a
sv_comp_xor,TRUE,8,2664,2.80,2.62,1,1606,1604,n/a,n/a,n/a,3192,1608,0.00,0.08,3208,1206,398,0.03,2.95,n/a
sv_comp_mapavg2,TRUE,8,7575,0.77,0.00,1,4006,4004,n/a,n/a,n/a,7996,4008,0.01,0.49,8008,3006,998,0.08,1.37,n/a
sv_comp_mapsum2,TRUE,8,7067,0.78,0.00,1,4006,4004,n/a,n/a,n/a,7996,4008,0.01,0.51,8008,3006,998,0.08,1.35,n/a
sv_comp_bOr2,TRUE,8,7063,0.81,0.04,1,4006,4004,n/a,n/a,n/a,7992,4008,0.01,0.51,8008,3006,998,0.08,1.47,n/a
sv_comp_bAnd,TRUE,8,2800,0.11,0.01,1,554,556,n/a,n/a,n/a,8888,556,0.00,0.01,1112,420,136,0.01,0.34,n/a
sv_comp_xor2,TRUE,8,7063,20.14,19.34,1,4006,4004,n/a,n/a,n/a,7992,4008,0.01,0.50,8008,3006,998,0.08,20.74,n/a
